变量名,day,reward
默认值,999,
签到ID,签到天数,奖励
1,3,{14=10;rmb=100;gold=100000}
2,6,{14=15;rmb=150;gold=150000}
3,10,{14=20;rmb=200;gold=200000}
4,15,{14=30;rmb=250;gold=300000}
5,20,{14=40;rmb=300;gold=400000}
6,30,{14=50;rmb=300;gold=500000}
7,40,{14=50;rmb=300;gold=500000}
8,50,{14=50;rmb=300;gold=500000}
9,60,{14=50;rmb=300;gold=500000}
10,70,{14=50;rmb=300;gold=500000}
11,80,{14=50;rmb=300;gold=500000}
12,90,{14=50;rmb=300;gold=500000}
13,100,{14=50;rmb=300;gold=500000}
14,110,{14=50;rmb=300;gold=500000}
15,120,{14=50;rmb=300;gold=500000}
16,130,{14=50;rmb=300;gold=500000}
17,140,{14=50;rmb=300;gold=500000}
18,150,{14=50;rmb=300;gold=500000}
19,160,{14=50;rmb=300;gold=500000}
20,170,{14=50;rmb=300;gold=500000}
21,180,{14=50;rmb=300;gold=500000}
22,190,{14=50;rmb=300;gold=500000}
23,200,{14=50;rmb=300;gold=500000}
24,210,{14=50;rmb=300;gold=500000}
25,220,{14=50;rmb=300;gold=500000}
26,230,{14=50;rmb=300;gold=500000}
27,240,{14=50;rmb=300;gold=500000}
28,250,{14=50;rmb=300;gold=500000}
29,260,{14=50;rmb=300;gold=500000}
30,270,{14=50;rmb=300;gold=500000}
31,280,{14=50;rmb=300;gold=500000}
32,290,{14=50;rmb=300;gold=500000}
33,300,{14=50;rmb=300;gold=500000}
34,310,{14=50;rmb=300;gold=500000}
35,320,{14=50;rmb=300;gold=500000}
36,330,{14=50;rmb=300;gold=500000}
37,340,{14=50;rmb=300;gold=500000}
38,350,{14=50;rmb=300;gold=500000}
39,360,{14=50;rmb=300;gold=500000}
40,370,{14=50;rmb=300;gold=500000}
41,380,{14=50;rmb=300;gold=500000}
42,390,{14=50;rmb=300;gold=500000}
43,400,{14=50;rmb=300;gold=500000}
44,410,{14=50;rmb=300;gold=500000}
45,420,{14=50;rmb=300;gold=500000}
46,430,{14=50;rmb=300;gold=500000}
47,440,{14=50;rmb=300;gold=500000}
48,450,{14=50;rmb=300;gold=500000}
49,460,{14=50;rmb=300;gold=500000}
50,470,{14=50;rmb=300;gold=500000}
51,480,{14=50;rmb=300;gold=500000}
52,490,{14=50;rmb=300;gold=500000}
53,500,{14=50;rmb=300;gold=500000}
54,510,{14=50;rmb=300;gold=500000}
55,520,{14=50;rmb=300;gold=500000}
56,530,{14=50;rmb=300;gold=500000}
57,540,{14=50;rmb=300;gold=500000}
58,550,{14=50;rmb=300;gold=500000}
59,560,{14=50;rmb=300;gold=500000}
60,570,{14=50;rmb=300;gold=500000}
61,580,{14=50;rmb=300;gold=500000}
62,590,{14=50;rmb=300;gold=500000}
63,600,{14=50;rmb=300;gold=500000}
64,610,{14=50;rmb=300;gold=500000}
65,620,{14=50;rmb=300;gold=500000}
66,630,{14=50;rmb=300;gold=500000}
67,640,{14=50;rmb=300;gold=500000}
68,650,{14=50;rmb=300;gold=500000}
69,660,{14=50;rmb=300;gold=500000}
70,670,{14=50;rmb=300;gold=500000}
71,680,{14=50;rmb=300;gold=500000}
72,690,{14=50;rmb=300;gold=500000}
73,700,{14=50;rmb=300;gold=500000}
74,710,{14=50;rmb=300;gold=500000}
75,720,{14=50;rmb=300;gold=500000}
76,730,{14=50;rmb=300;gold=500000}
77,740,{14=50;rmb=300;gold=500000}
78,750,{14=50;rmb=300;gold=500000}
79,760,{14=50;rmb=300;gold=500000}
80,770,{14=50;rmb=300;gold=500000}
81,780,{14=50;rmb=300;gold=500000}
82,790,{14=50;rmb=300;gold=500000}
83,800,{14=50;rmb=300;gold=500000}
84,810,{14=50;rmb=300;gold=500000}
85,820,{14=50;rmb=300;gold=500000}
86,830,{14=50;rmb=300;gold=500000}
87,840,{14=50;rmb=300;gold=500000}
88,850,{14=50;rmb=300;gold=500000}
89,860,{14=50;rmb=300;gold=500000}
90,870,{14=50;rmb=300;gold=500000}
91,880,{14=50;rmb=300;gold=500000}
92,890,{14=50;rmb=300;gold=500000}
93,900,{14=50;rmb=300;gold=500000}
94,910,{14=50;rmb=300;gold=500000}
95,920,{14=50;rmb=300;gold=500000}
96,930,{14=50;rmb=300;gold=500000}
97,940,{14=50;rmb=300;gold=500000}
98,950,{14=50;rmb=300;gold=500000}
99,960,{14=50;rmb=300;gold=500000}
100,970,{14=50;rmb=300;gold=500000}
101,980,{14=50;rmb=300;gold=500000}
102,990,{14=50;rmb=300;gold=500000}
103,1000,{14=50;rmb=300;gold=500000}
104,1010,{14=50;rmb=300;gold=500000}
105,1020,{14=50;rmb=300;gold=500000}
106,1030,{14=50;rmb=300;gold=500000}
107,1040,{14=50;rmb=300;gold=500000}
108,1050,{14=50;rmb=300;gold=500000}
109,1060,{14=50;rmb=300;gold=500000}
110,1070,{14=50;rmb=300;gold=500000}
111,1080,{14=50;rmb=300;gold=500000}
112,1090,{14=50;rmb=300;gold=500000}
113,1100,{14=50;rmb=300;gold=500000}
114,1110,{14=50;rmb=300;gold=500000}
115,1120,{14=50;rmb=300;gold=500000}
116,1130,{14=50;rmb=300;gold=500000}
117,1140,{14=50;rmb=300;gold=500000}
118,1150,{14=50;rmb=300;gold=500000}
119,1160,{14=50;rmb=300;gold=500000}
120,1170,{14=50;rmb=300;gold=500000}
121,1180,{14=50;rmb=300;gold=500000}
122,1190,{14=50;rmb=300;gold=500000}
123,1200,{14=50;rmb=300;gold=500000}
124,1210,{14=50;rmb=300;gold=500000}
125,1220,{14=50;rmb=300;gold=500000}
126,1230,{14=50;rmb=300;gold=500000}
127,1240,{14=50;rmb=300;gold=500000}
128,1250,{14=50;rmb=300;gold=500000}
129,1260,{14=50;rmb=300;gold=500000}
130,1270,{14=50;rmb=300;gold=500000}
131,1280,{14=50;rmb=300;gold=500000}
132,1290,{14=50;rmb=300;gold=500000}
133,1300,{14=50;rmb=300;gold=500000}
134,1310,{14=50;rmb=300;gold=500000}
135,1320,{14=50;rmb=300;gold=500000}
136,1330,{14=50;rmb=300;gold=500000}
137,1340,{14=50;rmb=300;gold=500000}
138,1350,{14=50;rmb=300;gold=500000}
139,1360,{14=50;rmb=300;gold=500000}
140,1370,{14=50;rmb=300;gold=500000}
141,1380,{14=50;rmb=300;gold=500000}
142,1390,{14=50;rmb=300;gold=500000}
143,1400,{14=50;rmb=300;gold=500000}
144,1410,{14=50;rmb=300;gold=500000}
145,1420,{14=50;rmb=300;gold=500000}
146,1430,{14=50;rmb=300;gold=500000}
147,1440,{14=50;rmb=300;gold=500000}
148,1450,{14=50;rmb=300;gold=500000}
149,1460,{14=50;rmb=300;gold=500000}
150,1470,{14=50;rmb=300;gold=500000}
151,1480,{14=50;rmb=300;gold=500000}
152,1490,{14=50;rmb=300;gold=500000}
153,1500,{14=50;rmb=300;gold=500000}
154,1510,{14=50;rmb=300;gold=500000}
155,1520,{14=50;rmb=300;gold=500000}
156,1530,{14=50;rmb=300;gold=500000}
