变量名,gateID,_beizhu,itemID,itemCount,weightMin,weightMax,firstWeight
默认值,,,5000,1,0,0,-1
ID,关卡ID,掉落物品名称,掉落道具,掉落道具数量,权值上限,权值下限,首次权值
1,10101,,5000,1,0.7,0.9,0.5
2,10101,,5001,1,0.7,0.9,0.5
6,10102,,5000,1,0.7,0.9,0.5
7,10102,,5002,1,0.7,0.9,0.5
11,10103,,5000,1,0.7,0.9,0.5
12,10103,,5003,1,0.7,0.9,0.5
16,10104,,5000,1,0.7,0.9,0.5
17,10104,,5001,1,0.7,0.9,0.5
21,10105,,5000,1,0.7,0.9,0.5
22,10105,,5002,1,0.7,0.9,0.5
26,10201,,5000,1,0.7,0.9,0.5
27,10201,,5001,1,0.7,0.9,0.5
31,10202,,5000,1,0.7,0.9,0.5
32,10202,,5001,1,0.7,0.9,0.5
36,10203,,5000,1,0.7,0.9,0.5
37,10203,,5002,1,0.7,0.9,0.5
41,10204,,5000,1,0.7,0.9,0.5
42,10204,,5002,1,0.7,0.9,0.5
46,10205,,5000,1,0.7,0.9,0.5
47,10205,,5003,1,0.7,0.9,0.5
51,10206,,5000,1,0.7,0.9,0.5
52,10206,,5003,1,0.7,0.9,0.5
56,10301,,5000,1,0.7,0.9,0.5
57,10301,,5001,1,0.7,0.9,0.5
61,10302,,5000,1,0.7,0.9,0.5
62,10302,,5001,1,0.7,0.9,0.5
66,10303,,5000,1,0.7,0.9,0.5
67,10303,,5001,1,0.7,0.9,0.5
71,10304,,5000,1,0.7,0.9,0.5
72,10304,,5002,1,0.7,0.9,0.5
76,10305,,5000,1,0.7,0.9,0.5
77,10305,,5002,1,0.7,0.9,0.5
81,10306,,5000,1,0.7,0.9,0.5
82,10306,,5002,1,0.7,0.9,0.5
86,10307,,5000,1,0.7,0.9,0.5
87,10307,,5003,1,0.7,0.9,0.5
91,10308,,5000,1,0.7,0.9,0.5
92,10308,,5003,1,0.7,0.9,0.5
96,10401,,5000,1,0.7,0.9,0.5
97,10401,,5004,1,0.7,0.9,0.5
98,10401,,5002,1,0.1,0.3,0.5
99,10401,,5003,1,0.1,0.3,0.5
101,10402,,5000,1,0.7,0.9,0.5
102,10402,,5004,1,0.7,0.9,0.5
103,10402,,5002,1,0.1,0.3,0.5
104,10402,,5003,1,0.1,0.3,0.5
106,10403,,5000,1,0.7,0.9,0.5
107,10403,,5004,1,0.7,0.9,0.5
108,10403,,5002,1,0.1,0.3,0.5
109,10403,,5003,1,0.1,0.3,0.5
111,10404,,5000,1,0.7,0.9,0.5
112,10404,,5005,1,0.7,0.9,0.5
113,10404,,5003,1,0.1,0.3,0.5
114,10404,,5001,1,0.1,0.3,0.5
116,10405,,5000,1,0.7,0.9,0.5
117,10405,,5005,1,0.7,0.9,0.5
118,10405,,5003,1,0.1,0.3,0.5
119,10405,,5001,1,0.1,0.3,0.5
121,10406,,5000,1,0.7,0.9,0.5
122,10406,,5005,1,0.7,0.9,0.5
123,10406,,5003,1,0.1,0.3,0.5
124,10406,,5001,1,0.1,0.3,0.5
126,10407,,5000,1,0.7,0.9,0.5
127,10407,,5006,1,0.7,0.9,0.5
128,10407,,5001,1,0.1,0.3,0.5
129,10407,,5002,1,0.1,0.3,0.5
131,10408,,5000,1,0.7,0.9,0.5
132,10408,,5006,1,0.7,0.9,0.5
133,10408,,5001,1,0.1,0.3,0.5
134,10408,,5002,1,0.1,0.3,0.5
136,10501,,5000,1,0.7,0.9,0.5
137,10501,,5004,1,0.7,0.9,0.5
141,10502,,5000,1,0.7,0.9,0.5
142,10502,,5004,1,0.7,0.9,0.5
146,10503,,5000,1,0.7,0.9,0.5
147,10503,,5004,1,0.7,0.9,0.5
151,10504,,5000,1,0.7,0.9,0.5
152,10504,,5004,1,0.7,0.9,0.5
156,10505,,5000,1,0.7,0.9,0.5
157,10505,,5005,1,0.7,0.9,0.5
161,10506,,5000,1,0.7,0.9,0.5
162,10506,,5005,1,0.7,0.9,0.5
166,10507,,5000,1,0.7,0.9,0.5
167,10507,,5005,1,0.7,0.9,0.5
171,10508,,5000,1,0.7,0.9,0.5
172,10508,,5006,1,0.7,0.9,0.5
176,10509,,5000,1,0.7,0.9,0.5
177,10509,,5006,1,0.7,0.9,0.5
181,10510,,5000,1,0.7,0.9,0.5
182,10510,,5006,1,0.7,0.9,0.5
186,10601,,5000,1,0.7,0.9,0.5
187,10601,,5007,1,0.7,0.9,0.5
188,10601,,5005,1,0.1,0.3,0.5
189,10601,,5006,1,0.1,0.3,0.5
191,10602,,5000,1,0.7,0.9,0.5
192,10602,,5007,1,0.7,0.9,0.5
193,10602,,5005,1,0.1,0.3,0.5
194,10602,,5006,1,0.1,0.3,0.5
196,10603,,5000,1,0.7,0.9,0.5
197,10603,,5007,1,0.7,0.9,0.5
198,10603,,5005,1,0.1,0.3,0.5
199,10603,,5006,1,0.1,0.3,0.5
201,10604,,5000,1,0.7,0.9,0.5
202,10604,,5007,1,0.7,0.9,0.5
203,10604,,5005,1,0.1,0.3,0.5
204,10604,,5006,1,0.1,0.3,0.5
206,10605,,5000,1,0.7,0.9,0.5
207,10605,,5008,1,0.7,0.9,0.5
208,10605,,5006,1,0.1,0.3,0.5
209,10605,,5004,1,0.1,0.3,0.5
211,10606,,5000,1,0.7,0.9,0.5
212,10606,,5008,1,0.7,0.9,0.5
213,10606,,5006,1,0.1,0.3,0.5
214,10606,,5004,1,0.1,0.3,0.5
216,10607,,5000,1,0.7,0.9,0.5
217,10607,,5008,1,0.7,0.9,0.5
218,10607,,5006,1,0.1,0.3,0.5
219,10607,,5004,1,0.1,0.3,0.5
221,10608,,5000,1,0.7,0.9,0.5
222,10608,,5009,1,0.7,0.9,0.5
223,10608,,5004,1,0.1,0.3,0.5
224,10608,,5005,1,0.1,0.3,0.5
226,10609,,5000,1,0.7,0.9,0.5
227,10609,,5009,1,0.7,0.9,0.5
228,10609,,5004,1,0.1,0.3,0.5
229,10609,,5005,1,0.1,0.3,0.5
231,10610,,5000,1,0.7,0.9,0.5
232,10610,,5009,1,0.7,0.9,0.5
233,10610,,5004,1,0.1,0.3,0.5
234,10610,,5005,1,0.1,0.3,0.5
236,10701,,5000,1,0.7,0.9,0.5
237,10701,,5007,1,0.7,0.9,0.5
238,10701,,5005,1,0.1,0.3,0.5
241,10702,,5000,1,0.7,0.9,0.5
242,10702,,5007,1,0.7,0.9,0.5
