变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,<>
商店ID,备注,商品,购买消耗,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,vip等级限制,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
1,,{70001=1},{rmb=10},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
2,,{70501=1},{gold=1000},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
3,,{70502=1},{rmb=100},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
4,,{70503=1},{rmb=11},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
5,,{75004=1},{gold=1001},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
6,,{71001=1},{rmb=101},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
7,,{71501=1},{rmb=12},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
8,,{71502=1},{gold=1002},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
9,,{72001=1},{rmb=102},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
10,,{72002=1},{rmb=13},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
11,,{72501=1},{gold=1003},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
12,,{74001=1},{rmb=103},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
13,,{74002=1},{rmb=14},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
14,,{74501=1},{gold=1004},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
15,,{74502=1},{rmb=104},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
16,,{74503=1},{rmb=15},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
17,,{75001=1},{gold=1005},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
18,,{75002=1},{gold=1002},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
19,,{75501=1},{rmb=102},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
20,,{75502=1},{rmb=13},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
21,,{75503=1},{gold=1003},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
22,,{75504=1},{gold=1002},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
23,,{76001=1},{rmb=102},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
24,,{76002=1},{rmb=13},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
25,,{76501=1},{gold=1003},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
26,,{76502=1},{rmb=103},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
27,,{72003=1},{rmb=13},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
28,,{74003=1},{gold=1003},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
29,,{75003=1},{rmb=103},-1,0,0,20990101,0,<1;250>,0,0,FALSE,<cn>
