变量名,memberMax,viceChairmanMax,levelUpContrib,taskExpMax,ContribMax,ContribSumMax,openFeature,trainingExp,dailyGift,dailyPacket1,totalCount1,dailyPacket2,totalCount2,dailyPacket3,totalCount3,skillLvMax,notice1,notice1_tw,notice1_en,notice1_vn,notice1_kr,notice1_pt,notice1_th,notice2,notice2_tw,notice2_en,notice2_vn,notice2_kr,notice2_pt,notice2_th,notice3,notice4
默认值,99,2,100,100,1000,100,<>,0,{},{},10,{},10,{},10,2,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
ID,公会成员上限,公会副会长上限,升级所需公会贡献,每周任务获得的经验上限,每日成员贡献上限次数,每日公会主线贡献总上限,开启功能,训练所基准经验,每日礼包,每日红包1,红包个数,每日红包2,红包个数,每日红包3,红包个数,修炼等级上限,公会升级提醒1,公会升级提醒1,公会升级提醒1,公会升级提醒1,公会升级提醒1_韩,公会升级提醒1_韩,公会升级提醒1_韩,公会升级提醒2,公会升级提醒2,公会升级提醒2,公会升级提醒2,公会升级提醒2_韩,公会升级提醒2_韩,公会升级提醒2_韩,公会升级提醒3,公会升级提醒4
1,30,2,6000,60000,5,30000,<training;redpacket;dailygift;contribute>,1,{13=3;21841=1;gold=20000;coin3=100},{gold=1500000},20,{rmb=3000},20,{coin3=1500},20,10,,,,,,,,解锁公会副本,解鎖公會副本,Unlock union dungeon,Mở khóa hầm ngục bang hội,길드 던전 개방,Desbloquear masmorra da associação,ปลดล็อกดันเจี้ยนกิลด์,,
2,31,2,12000,62000,5,31000,<fuben>,1,{13=3;21841=1;gold=25000;coin3=110},{gold=1700000},21,{rmb=3200},21,{coin3=1600},21,10,会员人数上限+1（达到31）,會員人數上限+1（達到31）,Maximum membership +1 (up to 31),Thành viên tối đa +1 (tối đa 31),회원 인원수 한도 +1(31 달성),Associação máxima +1 (até 31),สมาชิกสูงสุด +1 (สูงสุด 31),解鎖捐獻中心,解鎖捐獻中心,Unlock Donation Center,Mở khóa Trung tâm Quyên góp,기부 센터 개방,Desbloquear Centro de Doações,ปลดล็อกศูนย์บริจาค,,
3,32,2,17000,64000,5,32000,<fragdonate>,1.01,{13=4;21841=1;gold=30000;coin3=120},{gold=1900000},22,{rmb=3400},22,{coin3=1700},22,10,会员人数上限+1（达到32）,會員人數上限+1（達到32）,Maximum membership +1 (up to 32),Thành viên tối đa +1 (tối đa 32),회원 인원수 한도 +1(32 달성),Associação máxima +1 (até 32),สมาชิกสูงสุด +1 (สูงสุด 32),"解鎖修煉中心, 公會戰","解鎖修煉中心, 公會戰","Unlock Training Center, union fight","Mở khóa Trung tâm Huấn luyện, chiến đấu công hội","수련 센터 개방, 길드전 개방","Desbloquear Centro de Treinamento, luta da guilda",ปลดล็อกศูนย์ฝึกอบรม การต่อสู้กิลด์,,
4,33,2,30000,66000,5,33000,<unionskill;unionFight;crossunionfight>,1.01,{13=4;21841=1;gold=35000;coin3=130},{gold=2100000},23,{rmb=3600},23,{coin3=1800},23,10,会员人数上限+1（达到33）,會員人數上限+1（達到33）,Maximum membership +1 (up to 33),Thành viên tối đa +1 (tối đa 33),회원 인원수 한도 +1(33 달성),Associação máxima +1 (até 33),สมาชิกสูงสุด +1 (สูงสุด 33),,,,,,,,,
5,34,2,48000,68000,5,34000,<unionqa>,1.02,{13=5;21841=1;gold=40000;coin3=140},{gold=2300000},24,{rmb=3800},24,{coin3=1900},24,20,会员人数上限+1（达到34）,會員人數上限+1（達到34）,Maximum membership +1 (up to 34),Thành viên tối đa +1 (tối đa 34),회원 인원수 한도 +1(34 달성),Associação máxima +1 (até 34),สมาชิกสูงสุด +1 (สูงสุด 34),,,,,,,,,
6,35,2,64000,70000,5,35000,<>,1.02,{13=5;21841=2;gold=45000;coin3=150},{gold=2500000},25,{rmb=4000},25,{coin3=2000},25,20,会员人数上限+1（达到35）,會員人數上限+1（達到35）,Maximum membership +1 (up to 35),Thành viên tối đa +1 (tối đa 35),회원 인원수 한도 +1(35 달성),Associação máxima +1 (até 35),สมาชิกสูงสุด +1 (สูงสุด 35),,,,,,,,,
7,36,2,92000,72000,5,36000,<>,1.03,{13=6;21841=2;gold=50000;coin3=160},{gold=2700000},26,{rmb=4200},26,{coin3=2100},26,20,会员人数上限+1（达到36）,會員人數上限+1（達到36）,Maximum membership +1 (up to 36),Thành viên tối đa +1 (tối đa 36),회원 인원수 한도 +1(36 달성),Associação máxima +1 (até 36),สมาชิกสูงสุด +1 (สูงสุด 36),,,,,,,,,
8,37,2,147000,74000,5,37000,<>,1.03,{13=6;21841=2;gold=55000;coin3=170},{gold=2900000},27,{rmb=4400},27,{coin3=2200},27,20,会员人数上限+1（达到37）,會員人數上限+1（達到37）,Maximum membership +1 (up to 37),Thành viên tối đa +1 (tối đa 37),회원 인원수 한도 +1(37 달성),Associação máxima +1 (até 37),สมาชิกสูงสุด +1 (สูงสุด 37),,,,,,,,,
9,38,2,230000,76000,5,38000,<>,1.04,{13=7;21841=2;gold=60000;coin3=180},{gold=3100000},28,{rmb=4600},28,{coin3=2300},28,30,会员人数上限+1（达到38）,會員人數上限+1（達到38）,Maximum membership +1 (up to 38),Thành viên tối đa +1 (tối đa 38),회원 인원수 한도 +1(38 달성),Associação máxima +1 (até 38),สมาชิกสูงสุด +1 (สูงสุด 38),,,,,,,,,
10,39,2,346000,78000,5,39000,<>,1.04,{13=7;21841=2;gold=65000;coin3=190},{gold=3300000},29,{rmb=4800},29,{coin3=2400},29,30,会员人数上限+1（达到39）,會員人數上限+1（達到39）,Maximum membership +1 (up to 39),Thành viên tối đa +1 (tối đa 39),회원 인원수 한도 +1(39 달성),Associação máxima +1 (até 39),สมาชิกสูงสุด +1 (สูงสุด 39),可設置副會長人數+1,可設置副會長人數+1,Can set one more Assistant Leader+1,Có thể đặt thêm một Phó Hội Trưởng,설정 가능 부회장 수 +1,Pode definir mais um Vice-líder+1,สามารถตั้งรองหัวหน้ากิลด์เพิ่มได้อีกหนึ่งคน+1,,
11,40,3,428000,80000,5,40000,<>,1.05,{13=8;21841=3;gold=70000;coin3=200},{gold=3500000},30,{rmb=5000},30,{coin3=2500},30,30,会员人数上限+1（达到40）,會員人數上限+1（達到40）,Maximum membership +1 (up to 40),Thành viên tối đa +1 (tối đa 40),회원 인원수 한도 +1(40 달성),Associação máxima +1 (até 40),สมาชิกสูงสุด +1 (สูงสุด 40),,,,,,,,,
12,41,3,524000,82000,5,41000,<>,1.05,{13=8;21841=3;gold=75000;coin3=210},{gold=3700000},30,{rmb=5200},30,{coin3=2600},30,30,会员人数上限+1（达到41）,會員人數上限+1（達到41）,Maximum membership +1 (up to 41),Thành viên tối đa +1 (tối đa 41),회원 인원수 한도 +1(41 달성),Associação máxima +1 (até 41),สมาชิกสูงสุด +1 (สูงสุด 41),,,,,,,,,
13,42,3,640000,84000,5,42000,<>,1.06,{13=9;21841=3;gold=80000;coin3=220},{gold=3900000},31,{rmb=5400},31,{coin3=2700},31,40,会员人数上限+1（达到42）,會員人數上限+1（達到42）,Maximum membership +1 (up to 42),Thành viên tối đa +1 (tối đa 42),회원 인원수 한도 +1(42 달성),Associação máxima +1 (até 42),สมาชิกสูงสุด +1 (สูงสุด 42),,,,,,,,,
