变量名,level,skillID,cost,attrValue
默认值,0,1,{coin3=100},""""""
修炼ID,当前等级,技能ID,升级消耗公会币,当前等级加成
1,0,1,{coin3=100},0
2,1,1,{coin3=120},200
3,2,1,{coin3=140},400
4,3,1,{coin3=160},600
5,4,1,{coin3=180},800
6,5,1,{coin3=200},1000
7,6,1,{coin3=220},1200
8,7,1,{coin3=240},1400
9,8,1,{coin3=260},1600
10,9,1,{coin3=280},1800
11,10,1,{coin3=300},2000
12,11,1,{coin3=320},2200
13,12,1,{coin3=340},2400
14,13,1,{coin3=360},2600
15,14,1,{coin3=380},2800
16,15,1,{coin3=400},3000
17,16,1,{coin3=420},3200
18,17,1,{coin3=440},3400
19,18,1,{coin3=460},3600
20,19,1,{coin3=480},3800
21,20,1,{coin3=500},4000
22,21,1,{coin3=520},4200
23,22,1,{coin3=540},4400
24,23,1,{coin3=560},4600
25,24,1,{coin3=580},4800
26,25,1,{coin3=600},5000
27,26,1,{coin3=620},5200
28,27,1,{coin3=640},5400
29,28,1,{coin3=660},5600
30,29,1,{coin3=680},5800
31,30,1,{coin3=700},6000
32,31,1,{coin3=720},6200
33,32,1,{coin3=740},6400
34,33,1,{coin3=760},6600
35,34,1,{coin3=780},6800
36,35,1,{coin3=800},7000
37,36,1,{coin3=820},7200
38,37,1,{coin3=840},7400
39,38,1,{coin3=860},7600
40,39,1,{coin3=880},7800
41,40,1,{coin3=900},8000
42,41,1,{coin3=920},8200
43,42,1,{coin3=940},8400
44,43,1,{coin3=960},8600
45,44,1,{coin3=980},8800
46,45,1,{coin3=1000},9000
47,46,1,{coin3=1020},9200
48,47,1,{coin3=1040},9400
49,48,1,{coin3=1060},9600
50,49,1,{coin3=1080},9800
51,50,1,{coin3=1100},10000
52,51,1,{coin3=1120},10200
53,52,1,{coin3=1140},10400
54,53,1,{coin3=1160},10600
55,54,1,{coin3=1180},10800
56,55,1,{coin3=1200},11000
57,56,1,{coin3=1220},11200
58,57,1,{coin3=1240},11400
59,58,1,{coin3=1260},11600
60,59,1,{coin3=1280},11800
61,60,1,{coin3=1300},12000
62,61,1,{coin3=1320},12200
63,62,1,{coin3=1340},12400
64,63,1,{coin3=1360},12600
65,64,1,{coin3=1380},12800
66,65,1,{coin3=1400},13000
67,66,1,{coin3=1420},13200
68,67,1,{coin3=1440},13400
69,68,1,{coin3=1460},13600
70,69,1,{coin3=1480},13800
71,70,1,{coin3=1500},14000
72,71,1,{coin3=1520},14200
73,72,1,{coin3=1540},14400
74,73,1,{coin3=1560},14600
75,74,1,{coin3=1580},14800
76,75,1,{coin3=1600},15000
77,76,1,{coin3=1620},15200
78,77,1,{coin3=1640},15400
79,78,1,{coin3=1660},15600
80,79,1,{coin3=1680},15800
81,80,1,{coin3=1700},16000
82,81,1,{coin3=1720},16200
83,82,1,{coin3=1740},16400
84,83,1,{coin3=1760},16600
85,84,1,{coin3=1780},16800
86,85,1,{coin3=1800},17000
87,86,1,{coin3=1820},17200
88,87,1,{coin3=1840},17400
89,88,1,{coin3=1860},17600
90,89,1,{coin3=1880},17800
91,90,1,{coin3=1900},18000
92,91,1,{coin3=1920},18200
93,92,1,{coin3=1940},18400
94,93,1,{coin3=1960},18600
95,94,1,{coin3=1980},18800
96,95,1,{coin3=2000},19000
97,96,1,{coin3=2020},19200
98,97,1,{coin3=2040},19400
99,98,1,{coin3=2060},19600
100,99,1,{coin3=2080},19800
101,100,1,{coin3=2100},20000
102,101,1,{coin3=2120},20200
103,102,1,{coin3=2140},20400
104,103,1,{coin3=2160},20600
105,104,1,{coin3=2180},20800
106,105,1,{coin3=2200},21000
107,106,1,{coin3=2220},21200
108,107,1,{coin3=2240},21400
109,108,1,{coin3=2260},21600
110,109,1,{coin3=2280},21800
111,110,1,{coin3=2300},22000
112,111,1,{coin3=2320},22200
113,112,1,{coin3=2340},22400
114,113,1,{coin3=2360},22600
115,114,1,{coin3=2380},22800
116,115,1,{coin3=2400},23000
117,116,1,{coin3=2420},23200
118,117,1,{coin3=2440},23400
119,118,1,{coin3=2460},23600
120,119,1,{coin3=2480},23800
121,120,1,{coin3=2500},24000
122,121,1,{coin3=2520},24200
123,122,1,{coin3=2540},24400
124,123,1,{coin3=2560},24600
125,124,1,{coin3=2580},24800
126,125,1,{coin3=2600},25000
127,126,1,{coin3=2620},25200
128,127,1,{coin3=2640},25400
129,128,1,{coin3=2660},25600
130,129,1,{coin3=2680},25800
131,130,1,{coin3=2700},26000
132,0,2,{coin3=100},0
133,1,2,{coin3=120},40
134,2,2,{coin3=140},80
135,3,2,{coin3=160},120
136,4,2,{coin3=180},160
137,5,2,{coin3=200},200
138,6,2,{coin3=220},240
139,7,2,{coin3=240},280
140,8,2,{coin3=260},320
141,9,2,{coin3=280},360
142,10,2,{coin3=300},400
143,11,2,{coin3=320},440
144,12,2,{coin3=340},480
145,13,2,{coin3=360},520
146,14,2,{coin3=380},560
147,15,2,{coin3=400},600
148,16,2,{coin3=420},640
149,17,2,{coin3=440},680
150,18,2,{coin3=460},720
151,19,2,{coin3=480},760
152,20,2,{coin3=500},800
153,21,2,{coin3=520},840
154,22,2,{coin3=540},880
155,23,2,{coin3=560},920
156,24,2,{coin3=580},960
157,25,2,{coin3=600},1000
158,26,2,{coin3=620},1040
159,27,2,{coin3=640},1080
160,28,2,{coin3=660},1120
161,29,2,{coin3=680},1160
162,30,2,{coin3=700},1200
163,31,2,{coin3=720},1240
164,32,2,{coin3=740},1280
165,33,2,{coin3=760},1320
166,34,2,{coin3=780},1360
167,35,2,{coin3=800},1400
168,36,2,{coin3=820},1440
169,37,2,{coin3=840},1480
170,38,2,{coin3=860},1520
171,39,2,{coin3=880},1560
172,40,2,{coin3=900},1600
173,41,2,{coin3=920},1640
174,42,2,{coin3=940},1680
175,43,2,{coin3=960},1720
176,44,2,{coin3=980},1760
177,45,2,{coin3=1000},1800
178,46,2,{coin3=1020},1840
179,47,2,{coin3=1040},1880
180,48,2,{coin3=1060},1920
181,49,2,{coin3=1080},1960
182,50,2,{coin3=1100},2000
183,51,2,{coin3=1120},2040
184,52,2,{coin3=1140},2080
185,53,2,{coin3=1160},2120
186,54,2,{coin3=1180},2160
187,55,2,{coin3=1200},2200
188,56,2,{coin3=1220},2240
189,57,2,{coin3=1240},2280
190,58,2,{coin3=1260},2320
191,59,2,{coin3=1280},2360
192,60,2,{coin3=1300},2400
193,61,2,{coin3=1320},2440
194,62,2,{coin3=1340},2480
195,63,2,{coin3=1360},2520
196,64,2,{coin3=1380},2560
197,65,2,{coin3=1400},2600
198,66,2,{coin3=1420},2640
199,67,2,{coin3=1440},2680
200,68,2,{coin3=1460},2720
201,69,2,{coin3=1480},2760
202,70,2,{coin3=1500},2800
203,71,2,{coin3=1520},2840
204,72,2,{coin3=1540},2880
205,73,2,{coin3=1560},2920
206,74,2,{coin3=1580},2960
207,75,2,{coin3=1600},3000
208,76,2,{coin3=1620},3040
209,77,2,{coin3=1640},3080
210,78,2,{coin3=1660},3120
211,79,2,{coin3=1680},3160
212,80,2,{coin3=1700},3200
213,81,2,{coin3=1720},3240
214,82,2,{coin3=1740},3280
215,83,2,{coin3=1760},3320
216,84,2,{coin3=1780},3360
217,85,2,{coin3=1800},3400
218,86,2,{coin3=1820},3440
219,87,2,{coin3=1840},3480
220,88,2,{coin3=1860},3520
221,89,2,{coin3=1880},3560
222,90,2,{coin3=1900},3600
223,91,2,{coin3=1920},3640
224,92,2,{coin3=1940},3680
225,93,2,{coin3=1960},3720
226,94,2,{coin3=1980},3760
227,95,2,{coin3=2000},3800
228,96,2,{coin3=2020},3840
229,97,2,{coin3=2040},3880
230,98,2,{coin3=2060},3920
231,99,2,{coin3=2080},3960
232,100,2,{coin3=2100},4000
233,101,2,{coin3=2120},4040
234,102,2,{coin3=2140},4080
235,103,2,{coin3=2160},4120
236,104,2,{coin3=2180},4160
237,105,2,{coin3=2200},4200
238,106,2,{coin3=2220},4240
239,107,2,{coin3=2240},4280
240,108,2,{coin3=2260},4320
241,109,2,{coin3=2280},4360
242,110,2,{coin3=2300},4400
243,111,2,{coin3=2320},4440
244,112,2,{coin3=2340},4480
245,113,2,{coin3=2360},4520
246,114,2,{coin3=2380},4560
247,115,2,{coin3=2400},4600
248,116,2,{coin3=2420},4640
249,117,2,{coin3=2440},4680
250,118,2,{coin3=2460},4720
251,119,2,{coin3=2480},4760
252,120,2,{coin3=2500},4800
253,121,2,{coin3=2520},4840
254,122,2,{coin3=2540},4880
255,123,2,{coin3=2560},4920
256,124,2,{coin3=2580},4960
257,125,2,{coin3=2600},5000
258,126,2,{coin3=2620},5040
259,127,2,{coin3=2640},5080
260,128,2,{coin3=2660},5120
261,129,2,{coin3=2680},5160
262,130,2,{coin3=2700},5200
263,0,3,{coin3=100},0
264,1,3,{coin3=120},40
265,2,3,{coin3=140},80
266,3,3,{coin3=160},120
267,4,3,{coin3=180},160
268,5,3,{coin3=200},200
269,6,3,{coin3=220},240
270,7,3,{coin3=240},280
271,8,3,{coin3=260},320
272,9,3,{coin3=280},360
273,10,3,{coin3=300},400
274,11,3,{coin3=320},440
275,12,3,{coin3=340},480
276,13,3,{coin3=360},520
277,14,3,{coin3=380},560
278,15,3,{coin3=400},600
279,16,3,{coin3=420},640
280,17,3,{coin3=440},680
281,18,3,{coin3=460},720
282,19,3,{coin3=480},760
283,20,3,{coin3=500},800
284,21,3,{coin3=520},840
285,22,3,{coin3=540},880
286,23,3,{coin3=560},920
287,24,3,{coin3=580},960
288,25,3,{coin3=600},1000
289,26,3,{coin3=620},1040
290,27,3,{coin3=640},1080
291,28,3,{coin3=660},1120
292,29,3,{coin3=680},1160
293,30,3,{coin3=700},1200
294,31,3,{coin3=720},1240
295,32,3,{coin3=740},1280
296,33,3,{coin3=760},1320
297,34,3,{coin3=780},1360
298,35,3,{coin3=800},1400
299,36,3,{coin3=820},1440
300,37,3,{coin3=840},1480
301,38,3,{coin3=860},1520
302,39,3,{coin3=880},1560
303,40,3,{coin3=900},1600
304,41,3,{coin3=920},1640
305,42,3,{coin3=940},1680
306,43,3,{coin3=960},1720
307,44,3,{coin3=980},1760
308,45,3,{coin3=1000},1800
309,46,3,{coin3=1020},1840
310,47,3,{coin3=1040},1880
311,48,3,{coin3=1060},1920
312,49,3,{coin3=1080},1960
313,50,3,{coin3=1100},2000
314,51,3,{coin3=1120},2040
315,52,3,{coin3=1140},2080
316,53,3,{coin3=1160},2120
317,54,3,{coin3=1180},2160
318,55,3,{coin3=1200},2200
319,56,3,{coin3=1220},2240
320,57,3,{coin3=1240},2280
321,58,3,{coin3=1260},2320
322,59,3,{coin3=1280},2360
323,60,3,{coin3=1300},2400
324,61,3,{coin3=1320},2440
325,62,3,{coin3=1340},2480
326,63,3,{coin3=1360},2520
327,64,3,{coin3=1380},2560
328,65,3,{coin3=1400},2600
329,66,3,{coin3=1420},2640
330,67,3,{coin3=1440},2680
331,68,3,{coin3=1460},2720
332,69,3,{coin3=1480},2760
333,70,3,{coin3=1500},2800
334,71,3,{coin3=1520},2840
335,72,3,{coin3=1540},2880
336,73,3,{coin3=1560},2920
337,74,3,{coin3=1580},2960
338,75,3,{coin3=1600},3000
339,76,3,{coin3=1620},3040
340,77,3,{coin3=1640},3080
341,78,3,{coin3=1660},3120
342,79,3,{coin3=1680},3160
343,80,3,{coin3=1700},3200
344,81,3,{coin3=1720},3240
345,82,3,{coin3=1740},3280
346,83,3,{coin3=1760},3320
347,84,3,{coin3=1780},3360
348,85,3,{coin3=1800},3400
349,86,3,{coin3=1820},3440
350,87,3,{coin3=1840},3480
351,88,3,{coin3=1860},3520
352,89,3,{coin3=1880},3560
353,90,3,{coin3=1900},3600
354,91,3,{coin3=1920},3640
355,92,3,{coin3=1940},3680
356,93,3,{coin3=1960},3720
357,94,3,{coin3=1980},3760
358,95,3,{coin3=2000},3800
359,96,3,{coin3=2020},3840
360,97,3,{coin3=2040},3880
361,98,3,{coin3=2060},3920
362,99,3,{coin3=2080},3960
363,100,3,{coin3=2100},4000
364,101,3,{coin3=2120},4040
365,102,3,{coin3=2140},4080
366,103,3,{coin3=2160},4120
367,104,3,{coin3=2180},4160
368,105,3,{coin3=2200},4200
369,106,3,{coin3=2220},4240
370,107,3,{coin3=2240},4280
371,108,3,{coin3=2260},4320
372,109,3,{coin3=2280},4360
373,110,3,{coin3=2300},4400
374,111,3,{coin3=2320},4440
375,112,3,{coin3=2340},4480
376,113,3,{coin3=2360},4520
377,114,3,{coin3=2380},4560
378,115,3,{coin3=2400},4600
379,116,3,{coin3=2420},4640
380,117,3,{coin3=2440},4680
381,118,3,{coin3=2460},4720
382,119,3,{coin3=2480},4760
383,120,3,{coin3=2500},4800
384,121,3,{coin3=2520},4840
385,122,3,{coin3=2540},4880
386,123,3,{coin3=2560},4920
387,124,3,{coin3=2580},4960
388,125,3,{coin3=2600},5000
389,126,3,{coin3=2620},5040
390,127,3,{coin3=2640},5080
391,128,3,{coin3=2660},5120
392,129,3,{coin3=2680},5160
393,130,3,{coin3=2700},5200
394,0,4,{coin3=100},0
395,1,4,{coin3=120},20
396,2,4,{coin3=140},40
397,3,4,{coin3=160},60
398,4,4,{coin3=180},80
399,5,4,{coin3=200},100
400,6,4,{coin3=220},120
401,7,4,{coin3=240},140
402,8,4,{coin3=260},160
403,9,4,{coin3=280},180
404,10,4,{coin3=300},200
405,11,4,{coin3=320},220
406,12,4,{coin3=340},240
407,13,4,{coin3=360},260
408,14,4,{coin3=380},280
409,15,4,{coin3=400},300
410,16,4,{coin3=420},320
411,17,4,{coin3=440},340
412,18,4,{coin3=460},360
413,19,4,{coin3=480},380
414,20,4,{coin3=500},400
415,21,4,{coin3=520},420
416,22,4,{coin3=540},440
417,23,4,{coin3=560},460
418,24,4,{coin3=580},480
419,25,4,{coin3=600},500
420,26,4,{coin3=620},520
421,27,4,{coin3=640},540
422,28,4,{coin3=660},560
423,29,4,{coin3=680},580
