变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,<cn;en;tw;kr;vn;pt;th>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,vip等级限制,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
101,,{20751=2},{coin10=2200},-1,0,0,20990101,0,<250;250>,0,0,FALSE,
103,,{22821=2},{coin10=1500},-1,0,0,20990101,0,<250;250>,0,0,FALSE,
104,,{21851=2},{coin10=600},-1,0,0,20990101,0,<250;250>,0,0,FALSE,
105,,{23511=2},{coin10=600},-1,0,0,20990101,0,<250;250>,0,0,FALSE,
111,,{20751=2},{coin10=2200},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
112,,{20721=2},{coin10=1500},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
113,,{22821=2},{coin10=1500},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
114,,{22721=2},{coin10=1500},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
115,,{23591=2},{coin10=1500},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
131,,{21851=2},{coin10=600},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
132,,{23511=2},{coin10=600},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
133,,{22611=2},{coin10=600},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
600,,{15=1},{coin10=200},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
610,,{514=15},{coin10=500},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
620,,{5000=20},{coin10=1000},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
630,,{850=50},{coin10=500},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
640,,{851=20},{coin10=300},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
1001,,{2222=1},{coin10=20000},-1,0,0,20990101,0,<1;250>,4,1,FALSE,
