变量名,name,_name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage,cardSpine,cardSpinePos,cardSpineScale,cardSpineNeedStar,bagCardSpinePos,bagCardSpineScale
默认值,宠物,宠物,宠物,宠物,宠物,宠物,宠物,宠物,,1,1,,FALSE,<>,{x=250;y=300},1000,0,,0,config/portrait/speedranktouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang1/img_25_pkq@.png,config/portrait/simple/img_25_pkq@.png,config/big_hero/normal/img_25_pkq@.png,1,{x=0;y=0},koudai_pikaqiu/pikaqiu.skel,,config/big_hero/standby/img_791_sejla@.png,1.4,{x=100;y=0},<>,<>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=320};'headPos'={'x'=0;'y'=280};'namePos'={'x'=0;'y'=320}},1,<>,0,2,1,1,2,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,{x=0;y=0},1.6,1,{x=0;y=0},1
ID,角色名,角色名,角色名,角色名,角色名,角色名,角色名,角色名,属性类型,修正稀有度,自然属性,第二自然属性,双属性标记,战斗内标记,点击区域,BOSS索引卡牌信息,boss血条数,卡牌/怪物卡牌ID,星级,攻击序列头像,精灵头像,精灵半身图,简化图标,精灵背包卡牌立绘,卡牌立绘缩放,卡牌立绘偏移,资源,皮肤,精灵待机立绘资源,技能半身像截取缩放,技能半身像位置偏移,被动类技能序列,技能序列,合体技目标,合体技技能,各个位置点,血条缩放,ui层特效,击杀mp1恢复,缩放,战斗中缩放修正,修正模式1调整且修正偏移2对技能缩放不影响,养成界面缩放,缩放,皮肤动画缩放,出生时间,复活时间,死亡动画播放时间,死亡音效,单位战斗力,触发buffId,buff持续回合,buff成功率,buff生效等级,buff效果参数1,血量成长,速度成长,攻击力成长,特殊攻击力成长,防御力成长,特殊防御力成长,血量基础加成,速度基础加成,物理伤害基础加成,物理防御基础加成,特殊攻击基础加成,特殊防御基础加成,HP修正,MP1修正,initMp1修正,HP回复修正,MP1回复修正,MP2回复修正,物理攻击修正,特殊攻击修正,物理防御力修正,特殊防御力修正,物理防御忽视修正,特殊防御忽视修正,先手值修正,会心一击修正,会心一击伤害修正,会心一击抗性修正,格挡等级修正,破格挡等级修正,格挡强度修正,闪避修正,命中修正,伤害闪避修正,伤害命中修正,伤害加成修正,伤害减免修正,必杀加成修正,必杀抗性修正,伤害加深,伤害降低,吸血修正,反弹修正,治疗效果修正,属性克制修正,控制率,免控率,效果限制ID,召唤物参与伤害计算,动态立绘,立绘位置,立绘大小,开启动态图鉴需要的星级,动态背包坐标,动态背包大小
1,Bulbasaur,妙蛙种子,妙蛙種子,Bulbasaur,Bulbasaur,이상해씨,Bulbasaur,ฟุชิกิดาเนะ,base,2,4,8,FALSE,<>,{y=300;x=250},1000,0,1,0,config/portrait/speedranktouxiang/img_1_mwzz@.png,config/portrait/jinglingtouxiang/img_1_mwzz@.png,config/portrait/jinglingtouxiang1/img_1_mwzz@.png,config/portrait/simple/img_1_mwzz@.png,config/big_hero/normal/img_1_mwzz@.png,1.4,{y=-30;x=130},koudai_miaowazhongzi/hero_miaowazhongzi.skel,,config/big_hero/standby/img_1_mwzz@.png,1.4,{y=0;x=60},<>,<11;12;13>,,,{lifePos={y=230;x=0};hitPos={y=105;x=0};headPos={y=190;x=0};namePos={y=230;x=0}},1,<>,0,2.1,1,1,1.32,1,1,,,0,,0,<>,<>,<>,<>,<>,42.404,1.017,9.212,9.532,3.692,3.82,1.13,1.13,1.15,1.15,1.19,1.19,886,1000,400,1,1,1,202,253,95,115,0,0,29,0,15000,150,0,0,3000,0,10000,0,10000,150,300,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
2,Ivysaur,妙蛙草,妙蛙草,Ivysaur,Ivysaur,이상해풀,Ivysaur,ฟุชิกิโซ,base,2,4,8,FALSE,<>,{y=300;x=250},1000,0,2,0,config/portrait/speedranktouxiang/img_2_mwc@.png,config/portrait/jinglingtouxiang/img_2_mwc@.png,config/portrait/jinglingtouxiang1/img_2_mwc@.png,config/portrait/simple/img_2_mwc@.png,config/big_hero/normal/img_2_mwc@.png,1.2,{y=70;x=40},koudai_miaowacao/hero_miaowacao.skel,,config/big_hero/standby/img_2_mwc@.png,1.4,{y=0;x=60},<>,<21;22;23>,,,{lifePos={y=250;x=0};hitPos={y=115;x=0};headPos={y=210;x=0};namePos={y=250;x=0}},1,<>,0,2.1,1,1,1.2,1,1,,,0,,0,<>,<>,<>,<>,<>,44.28,1.062,9.452,9.932,3.82,3.98,1.18,1.18,1.18,1.19,1.24,1.24,1057,1000,400,1,1,1,231,291,107,129,0,0,34,0,15000,150,0,0,3000,0,10000,0,10000,150,300,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
3,Venusaur,妙蛙花,妙蛙花,Venusaur,Venusaur,이상해꽃,Venusaur,ฟุชิกิบานะ,base,2,4,8,FALSE,<>,{y=300;x=250},1000,0,3,0,config/portrait/speedranktouxiang/img_3_mwh@.png,config/portrait/jinglingtouxiang/img_3_mwh@.png,config/portrait/jinglingtouxiang1/img_3_mwh@.png,config/portrait/simple/img_3_mwh@.png,config/big_hero/normal/img_3_mwh@.png,1,{y=20;x=-10},koudai_miaowahua/hero_miaowahua.skel,,config/big_hero/standby/img_3_mwh@.png,1.4,{y=0;x=60},<>,<31;32;33>,,,{lifePos={y=260;x=0};hitPos={y=120;x=0};headPos={y=220;x=0};namePos={y=260;x=0}},1,<>,0,2.6,1,1,1.56,1,1,,,0,,0,<>,<>,<>,<>,<>,46.532,1.116,9.932,10.413,4.013,4.173,1.24,1.24,1.24,1.25,1.3,1.3,1361,1000,400,1,1,1,296,361,133,157,0,0,42,0,15000,150,0,0,3000,0,10000,0,10000,150,300,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
4,Mega Venusaur,超级妙蛙花,超級妙蛙花,Mega Venusaur,Mega Venusaur,메가이상해꽃,Mega Venusaur,เมก้าฟุชิกิบานะ,base,3,4,8,FALSE,<>,{y=300;x=250},1000,0,4,0,config/portrait/speedranktouxiang/img_3_cjmwh@.png,config/portrait/jinglingtouxiang/img_3_cjmwh@.png,config/portrait/jinglingtouxiang1/img_3_cjmwh@.png,config/portrait/simple/img_3_cjmwh@.png,config/big_hero/normal/img_3_cjmwh@.png,1.4,{y=90;x=40},koudai_miaowahuamega/hero_miaowahuamega.skel,,config/big_hero/standby/img_3_cjmwh@.png,1.4,{y=0;x=60},<44>,<41;42;43>,,,{lifePos={y=260;x=0};hitPos={y=120;x=0};headPos={y=220;x=0};namePos={y=260;x=0}},1,<>,0,1.9,1,1,1.3,1,1,,,0,,0,<>,<>,<>,<>,<>,49.909,1.197,11.134,11.695,4.719,4.687,1.33,1.33,1.39,1.47,1.46,1.46,1684,1000,400,1,1,1,440,537,237,232,0,0,49,0,15000,500,500,0,3000,0,10000,0,10000,300,700,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
11,Charmander,小火龙,小火龍,Charmander,Charmander,파이리,Charmander,ฮิโตคาเงะ,base,2,2,,FALSE,<>,{y=300;x=250},1000,0,11,0,config/portrait/speedranktouxiang/img_4_xhl@.png,config/portrait/jinglingtouxiang/img_4_xhl@.png,config/portrait/jinglingtouxiang1/img_4_xhl@.png,config/portrait/simple/img_4_xhl@.png,config/big_hero/normal/img_4_xhl@.png,1,{y=0;x=0},koudai_xiaohuolong/hero_xiaohuolong.skel,,config/big_hero/standby/img_4_xhl@.png,1.4,{y=-40;x=50},<>,<111;112;113>,,,{lifePos={y=260;x=0};hitPos={y=120;x=0};headPos={y=220;x=0};namePos={y=260;x=0}},1,<>,0,2.4,1,1,1.4,1,1,,,0,,0,<>,<>,<>,<>,<>,42.029,1.071,9.212,9.452,3.627,3.692,1.12,1.19,1.15,1.13,1.18,1.15,844,1000,400,1,1,1,211,248,87,96,0,0,36,200,15000,0,0,200,3000,0,10000,0,10000,200,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
12,Charmeleon,火恐龙,火恐龍,Charmeleon,Charmeleon,리자드,Charmeleon,ลิซาร์โดะ,base,2,2,,FALSE,<>,{y=300;x=250},1000,0,12,0,config/portrait/speedranktouxiang/img_5_hkl@.png,config/portrait/jinglingtouxiang/img_5_hkl@.png,config/portrait/jinglingtouxiang1/img_5_hkl@.png,config/portrait/simple/img_5_hkl@.png,config/big_hero/normal/img_5_hkl@.png,1.1,{y=0;x=30},koudai_huokonglong/hero_huokonglong.skel,,config/big_hero/standby/img_5_hkl@.png,1.4,{y=-40;x=50},<>,<121;122;123>,,,{lifePos={y=290;x=0};hitPos={y=135;x=0};headPos={y=250;x=0};namePos={y=290;x=0}},1,<>,0,2,1,1,1.2,1,1,,,0,,0,<>,<>,<>,<>,<>,43.905,1.116,9.532,9.932,3.756,3.82,1.17,1.24,1.19,1.17,1.24,1.19,1026,1000,400,1,1,1,238,291,101,109,0,0,42,200,15000,0,0,200,3000,0,10000,0,10000,200,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
13,Charizard,喷火龙,噴火龍,Charizard,Charizard,리자몽,Charizard,ลิซาร์ดอน,base,2,2,10,FALSE,<>,{y=300;x=250},1000,0,13,0,config/portrait/speedranktouxiang/img_6_phl@.png,config/portrait/jinglingtouxiang/img_6_phl@.png,config/portrait/jinglingtouxiang1/img_6_phl@.png,config/portrait/simple/img_6_phl@.png,config/big_hero/normal/img_6_phl@.png,1.1,{y=40;x=35},koudai_penhuolong/hero_penhuolong.skel,,config/big_hero/standby/img_6_phl@.png,1.4,{y=-120;x=50},<>,<131;132;133>,,,{lifePos={y=340;x=0};hitPos={y=160;x=0};headPos={y=300;x=0};namePos={y=340;x=0}},1,<>,0,2.4,1,1,1.44,1,1,,,0,,0,<>,<>,<>,<>,<>,46.156,1.17,10.013,10.573,3.948,4.013,1.23,1.3,1.25,1.23,1.32,1.25,1326,1000,400,1,1,1,304,393,126,136,0,0,50,200,15000,0,0,200,3000,0,10000,0,10000,200,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
14,Mega Charizard X,超级喷火龙X,超級噴火龍X,Mega Charizard X,Mega Charizard X,메가리자몽X,Mega Charizard X,เมก้าริซาร์ดอน X,base,3,2,15,FALSE,<>,{y=300;x=250},1000,0,14,0,config/portrait/speedranktouxiang/img_6_cjphlx@.png,config/portrait/jinglingtouxiang/img_6_cjphlx@.png,config/portrait/jinglingtouxiang1/img_6_cjphlx@.png,config/portrait/simple/img_6_cjphlx@.png,config/big_hero/normal/img_6_cjphlx@.png,1,{y=20;x=-45},koudai_penhuolongmegax/hero_penhuolongmegax.skel,,config/big_hero/standby/img_6_cjphlx@.png,1.4,{y=-120;x=50},<>,<141;142;143>,,,{lifePos={y=340;x=0};hitPos={y=160;x=0};headPos={y=300;x=0};namePos={y=340;x=0}},1,<>,0,2.2,1,1,1.3,1,1,,,0,,0,<>,<>,<>,<>,<>,49.534,1.251,11.935,11.935,4.59,4.301,1.32,1.39,1.49,1.43,1.49,1.34,1644,1000,400,1,1,1,576,576,215,171,0,0,58,700,15000,0,0,500,3000,0,10000,0,10000,700,100,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
15,Mega Charizard Y,超级喷火龙Y,超級噴火龍Y,Mega Charizard Y,Mega Charizard Y,메가리자몽Y,Mega Charizard Y,เมก้าริซาร์ดอน Y,base,3,2,10,FALSE,<>,{y=300;x=250},1000,0,15,0,config/portrait/speedranktouxiang/img_6_cjphly@.png,config/portrait/jinglingtouxiang/img_6_cjphly@.png,config/portrait/jinglingtouxiang1/img_6_cjphly@.png,config/portrait/simple/img_6_cjphly@.png,config/big_hero/normal/img_6_cjphly@.png,2,{y=-95;x=90},koudai_penhuolongmegay/hero_penhuolongmegay.skel,,config/big_hero/standby/img_6_cjphly@.png,1.4,{y=-120;x=50},<>,<151;152;153>,,,{lifePos={y=330;x=0};hitPos={y=155;x=0};headPos={y=290;x=0};namePos={y=330;x=0}},1,<>,0,2,1,1,1.16,1,1,,,0,,0,<>,<>,<>,<>,<>,49.534,1.251,11.214,12.656,4.237,4.622,1.32,1.39,1.4,1.32,1.58,1.44,1644,1000,400,1,1,1,456,718,160,222,0,0,58,200,15000,0,300,500,3000,0,10000,0,10000,500,500,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
