变量名,_vipLevel,icon,icon2,gift,giftLevelLimit,monthGift,oldPrice,newPrice,upSum,dispatchTaskQualityUpd,dispatchTaskCount,megaItemMaxTimes,megaCommonItemMaxTimes,randomTowerPointRate,rmbDrawGemCountLimit,goldDrawGemCountLimit,rmbDrawChipCountLimit,itemDrawChipCountLimit,goldDrawCardCountLimit,drawItemCountLimit,crossArenaFreePWTimes,crossArenaBuyPWMaxTimes,freePWTimes,buyStaminaTimes,buyPWTimes,PWcoldTime,PWpointActive,buyHeroGateTimes,lianJinTimes,lianJinGift,lianJinUpstart,cardbgBuyNum,saodangCountOpen,chatTimes,roleChatTimes,chatTimes_kr,roleChatTimes_kr,chatTimes_en,roleChatTimes_en,chatTimes_tw,roleChatTimes_tw,bossTimeBuyLimit,skillPointRecoverTime,buySkillPointTimes,endlessTowerResetTimes,mysteryRefresh,shopRefreshLimit,fragShopRefreshLimit,explorerShopRefreshLimit,fishingShopRefreshLimit,hammer2048,freeTimes2048,buyTimes2048,freeTimesEatGreenBlock,buyTimesEatGreenBlock,freeTimesGoDown100,buyTimesGoDown100,arenaPassCD,huodongRedPacketSend,huodongRedPacketRob,gymTalentPointBuyTimes,gymBattleBuyTimes,fragExchangeTimes,heldItemExchangeTimes,crossMineRobBuyLimit,crossMineRevengeBuyLimit,huodongCrossRedPacketSend,huodongCrossRedPacketRob
默认值,,,,{},0,{},,,,{},4,,,1,,,,,50,0,,,,,,,0,,5,{},{},,0,1,1,1,1,1,1,1,1,1,300,1,1,300,10,10,10,5,10,3,5,3,5,3,5,30,1,10,5,5,{},{},5,5,1,10
ID,vip等级（保证是ID-1）,icon,icon2,VIP礼包,VIP礼包购买等级限制,VIP月度礼包,原价,现价,累计充值额度,派遣任务品质修正,派遣任务任务数量,进化石转化最大次数,钥石转化最大次数,试炼塔积分加成系数,钻石抽宝石次数,金币抽宝石次数,钻石抽芯片次数,道具抽芯片次数,金币抽卡次数限制,抽道具数量限制,跨服竞技场免费挑战次数,跨服竞技场购买排位赛次数上限,免费排位赛次数,恢复体力次数,购买排位赛次数,排位赛冷却时间,排位赛挑战失败积分2激活,重置困难关卡次数,每日炼金次数,每日炼金礼包序列,炼金暴击几率,卡牌背包最大购买次数,是否开启扫荡多次,聊天次数,私聊聊天次数,聊天次数,私聊聊天次数,聊天次数,私聊聊天次数,聊天次数,私聊聊天次数,世界BOSS购买挑战次数上限,技能点恢复时间,购买技能点次数上限,无尽之塔重置次数,神秘商店刷新次数,商店刷新次数上限,碎片商店刷新次数上限,探险寻宝商店刷新次数上限,钓鱼商店刷新次数上限,2048锤子次数,免费挑战次数,购买挑战次数,吃掉绿块免费挑战次数,吃掉绿块购买挑战次数,下100层免费挑战次数,下100层购买挑战次数,竞技场跳过CD,春节红包发次数,春节红包抢次数,道馆挑战加成购买次数,道馆副本挑战购买次数,卡牌碎片兑换次数,携带道具分解次数,跨服资源战抢夺次数购买上限,跨服资源战报仇次数购买上限,春节跨服红包发次数,春节跨服红包抢次数
1,,ICON/vip0.png,ICON/vip2_0.png,{},0,{},,,0,{1=0.2;2=0.4;3=0.3;4=0.1;5=0},4,20,20,1,100,30,100,30,100,10,5,100,5,3,100,300,0,1,5,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=95;2=5;3=0;5=0;10=0},15,3,50,50,1,1,1,1,1,1,2,300,1,1,0,20,5,20,5,3,3,3,4,3,4,3,15,1,10,5,5,{5=0},{4=0},3,3,1,10
2,,ICON/vip1.png,ICON/vip2_1.png,{5002=5;5001=5;5000=10;5003=5;gold=100000},0,{},680,18,,{1=0.2;2=0.4;3=0.3;4=0.1;5=0},4,20,20,1,100,30,100,30,100,15,5,100,5,4,100,300,0,1,10,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=93;2=5;3=2;5=0;10=0},20,10,60,60,1,1,1,1,1,1,2,300,3,1,0,20,5,20,5,3,3,3,4,3,4,3,15,1,10,5,5,{5=10},{4=1},4,4,1,10
3,,ICON/vip2.png,ICON/vip2_2.png,{13=30;517=5;gold=100000;522=3;100=5},0,{},1080,68,,{1=0.1;2=0.4;3=0.4;4=0.1;5=0},4,20,20,1,100,30,100,30,100,20,5,100,5,5,100,300,0,2,15,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=93;2=5;3=2;5=0;10=0},25,10,80,80,1,1,1,1,1,1,2,300,5,1,0,20,5,20,5,3,3,3,4,3,4,3,15,1,10,5,5,{5=10},{4=1},5,5,1,10
4,,ICON/vip3.png,ICON/vip2_3.png,{23301=50;13=30;gold=200000;501=2},0,{},2880,280,,{1=0.1;2=0.3;3=0.4;4=0.2;5=0},4,20,20,1,100,30,100,30,100,25,5,100,5,6,100,300,0,2,20,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=93;2=5;3=2;5=0;10=0},30,10,100,100,1,1,1,1,1,1,2,60,7,1,0,20,5,20,5,3,3,3,4,3,4,3,15,1,10,5,5,{5=10},{4=1},6,6,1,10
5,,ICON/vip4.png,ICON/vip2_4.png,{23301=100;13=30;gold=200000;19=10},0,{},4880,480,,{1=0.05;2=0.3;3=0.4;4=0.2;5=0.05},4,20,20,1,100,30,100,30,100,30,5,100,5,7,100,300,0,2,25,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=91;2=6;3=3;5=0;10=0},35,50,120,120,1,1,1,1,1,1,2,60,9,1,0,20,5,20,5,3,3,3,4,3,4,3,15,1,10,5,5,{5=20},{4=2},7,7,1,10
6,,ICON/vip5.png,ICON/vip2_5.png,{13=30;gold=200000;202=1;232=1},0,{},6880,680,,{1=0.05;2=0.3;3=0.4;4=0.2;5=0.05},4,20,20,1,100,30,100,30,100,35,5,100,5,8,100,300,1,3,30,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=91;2=6;3=3;5=0;10=0},40,50,140,140,1,1,1,1,1,1,2,60,12,1,0,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=20},{4=2},8,8,1,10
7,,ICON/vip6.png,ICON/vip2_6.png,{23301=150;13=30;gold=200000},0,{},8880,880,,{1=0;2=0.25;3=0.4;4=0.25;5=0.1},4,20,20,1.1,100,30,100,30,100,40,5,100,5,9,100,300,1,3,35,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=91;2=6;3=3;5=0;10=0},45,50,160,160,1,1,1,1,1,1,2,60,16,1,1,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=20},{4=2},9,9,1,10
8,,ICON/vip7.png,ICON/vip2_7.png,{13=30;gold=200000;card={id=1303};2004=1;2221=1},0,{},12880,1280,,{1=0;2=0.25;3=0.4;4=0.25;5=0.1},4,20,20,1.1,100,30,100,30,100,45,5,100,5,10,100,300,1,3,40,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=88;2=7;3=4;5=1;10=0},50,50,180,180,1,1,1,1,1,1,2,60,20,1,1,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=30},{4=3},10,10,1,10
