变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,isWorldEnter,chapterType,res,baseMap,describe,ownerId,openLevel,seq,heroMapId,nightmareMapId,starAwardConds,starAwardIDs
默认值,"""""","""""","""""","""""","""""","""""","""""",FALSE,,,,,,,<>,,,,
ID,名称,名稱,名称,名称_越南,名称_韩,名称_韩,名称_韩,是否是世界入口点,章节类型1:普通2:精英3:噩梦,资源,场景地图,描述,所属世界,开放等级,索引序列,开启精英,开启噩梦,星级奖励数量序列,星级奖励ID序列
1,,,,,,,,TRUE,,SJDT_1.json,,,,1,<11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55>,,,,
11,真新镇,真新鎮,Pallet Town,Thị trấn Pallet,태초마을,Cidade de Pallet,เมืองมาซาระ,FALSE,1,GKDT_ptgk1.json,city/gate/map/img_zxz.png,,1,1,<10101;10102;10103;10104;10105>,111,211,<0;6;15>,<0;1111;1112>
12,神秘部落,神秘部落,Mysterious Tribe,Bộ lạc Bí ẩn,신비한 부족,Tribo Misteriosa,เผ่าลึกลับ,FALSE,1,GKDT_ptgk2.json,city/gate/map/img_smbl.png,,1,1,<10201;10202;10203;10204;10205;10206>,112,212,<0;9;18>,<0;1121;1122>
13,废弃城市,廢棄城市,Abandoned City,Thành phố Bị bỏ hoang,버려진 도시,Cidade Abandonada,เมืองร้าง,FALSE,1,GKDT_ptgk3.json,city/gate/map/img_fqcs.png,,1,1,<10301;10302;10303;10304;10305;10306;10307;10308>,113,213,<8;16;24>,<1131;1132;1133>
14,度假岛,度假島,Resort Island,Đảo Nghỉ dưỡng,휴양섬,Ilha Resort,เกาะพักร้อน,FALSE,1,GKDT_ptgk4.json,city/gate/map/img_djd.png,,1,1,<10401;10402;10403;10404;10405;10406;10407;10408>,114,214,<8;16;24>,<1141;1142;1143>
15,砂石镇,砂石鎮,Sandstone Town,Thị trấn Cát Sỏi,모래돌 마을,Vila Sandstone,เมืองหินทราย,FALSE,1,GKDT_ptgk5.json,city/gate/map/img_xbxz.png,,1,1,<10501;10502;10503;10504;10505;10506;10507;10508;10509;10510>,115,215,<10;20;30>,<1151;1152;1153>
16,雪原,雪原,Snowfield,Cánh đồng Tuyết,설원,Campo de Neve,ทุ่งหิมะ,FALSE,1,GKDT_ptgk6.json,city/gate/map/img_spcj.png,,1,26,<10601;10602;10603;10604;10605;10606;10607;10608;10609;10610>,116,216,<10;20;30>,<1161;1162;1163>
17,波尼岛,波尼島,Poni Island,Đảo Poni,포니섬,Ilha Poni,เกาะโพนี,FALSE,1,GKDT_ptgk7.json,city/gate/map/img_bnd.png,,1,30,<10701;10702;10703;10704;10705;10706;10707;10708;10709;10710>,117,217,<10;20;30>,<1171;1172;1173>
18,乌拉乌拉岛,烏拉烏拉島,Ula'ula Island,Đảo Ula'ula,울라울라섬,Ilha Ula'ula,เกาะอุลาอุลา,FALSE,1,GKDT_ptgk8.json,city/gate/map/img_gbxs.png,,1,33,<10801;10802;10803;10804;10805;10806;10807;10808;10809;10810>,118,218,<10;20;30>,<1181;1182;1183>
19,阿卡拉岛,阿卡拉島,Akala Island,Đảo Akala,아칼라섬,Ilha Akala,เกาะอาคาลา,FALSE,1,GKDT_ptgk9.json,city/gate/map/img_akld.png,,1,37,<10901;10902;10903;10904;10905;10906;10907;10908;10909;10910>,119,219,<10;20;30>,<1191;1192;1193>
20,美乐美乐岛,美樂美樂島,Melemele Island,Đảo Melemele,멜레멜레섬,Ilha Melemele,เกาะเมเลเมเล,FALSE,1,GKDT_ptgk10.json,city/gate/map/img_mlmld.png,,1,40,<11001;11002;11003;11004;11005;11006;11007;11008;11009;11010>,120,220,<10;20;30>,<1201;1202;1203>
21,训练家学校,訓練家學校,Trainer School,Trường học Nhà huấn luyện,트레이너 스쿨,Escola de Treinadores,โรงเรียนเทรนเนอร์,FALSE,1,GKDT_ptgk11.json,city/gate/map/img_alldqxx.png,,1,45,<11101;11102;11103;11104;11105;11106;11107;11108;11109;11110>,121,221,<10;20;30>,<1211;1212;1213>
22,好奥乐市,好奧樂市,Hau'oli City,Thành phố Hau'oli,하우올리시티,Cidade de Hau'oli,เมืองเฮาโอลิ,FALSE,1,GKDT_ptgk12.json,city/gate/map/img_llajdhz.png,,1,50,<11201;11202;11203;11204;11205;11206;11207;11208;11209;11210>,122,222,<10;20;30>,<1221;1222;1223>
23,对战开拓区,對戰開拓區,Battle Frontier,Khu vực Chiến đấu Biên giới,배틀프런티어,Fronteira da Batalha,แบทเทิลฟรอนเทียร์,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_dzktq.png,,1,55,<11301;11302;11303;11304;11305;11306;11307;11308;11309;11310>,123,223,<10;20;30>,<1231;1232;1233>
24,圆朱市,圓朱市,Ecruteak City,Thành phố Ecruteak,인주시티,Cidade de Ecruteak,เมืองเอ็นจู,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_yzs.png,,1,60,<11401;11402;11403;11404;11405;11406;11407;11408;11409;11410>,124,224,<10;20;30>,<1241;1242;1243>
25,古代祭坛,古代祭壇,Ancient Altar,Bàn thờ Cổ đại,고대 제단,Altar Antigo,แท่นบูชาโบราณ,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_jt.png,,1,65,<11501;11502;11503;11504;11505;11506;11507;11508;11509;11510>,125,225,<10;20;30>,<1251;1252;1253>
26,凛冽冻原,凜冽凍原,Frigid Tundra,Cánh đồng Băng giá,혹한의 동토,Tundra Gelada,ทุ่งทุนดราเยือกแข็ง,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_by.png,,1,70,<11601;11602;11603;11604;11605;11606;11607;11608;11609;11610>,126,226,<10;20;30>,<1261;1262;1263>
27,游乐园,遊樂園,Amusement Park,Công viên Giải trí,놀이공원,Parque de Diversões,สวนสนุก,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_yly.png,,1,75,<11701;11702;11703;11704;11705;11706;11707;11708;11709;11710>,127,227,<10;20;30>,<1271;1272;1273>
28,饲育家学校,培育家學校,Breeder School,Trường học Người nhân giống,사육사 학교,Escola de Criadores,โรงเรียนผู้เพาะพันธุ์,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_syjxx.png,,1,80,<11801;11802;11803;11804;11805;11806;11807;11808;11809;11810>,128,228,<10;20;30>,<1281;1282;1283>
29,马戏团,馬戲團,Circus,Rạp xiếc,서커스단,Circo,คณะละครสัตว์,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_mxt.png,,1,85,<11901;11902;11903;11904;11905;11906;11907;11908;11909;11910>,129,229,<10;20;30>,<1291;1292;1293>
30,暗影山,暗影山,Shadow Mountain,Núi Bóng tối,그림자 산,Montanha das Sombras,ภูเขาเงา,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_ays.png,,1,90,<12001;12002;12003;12004;12005;12006;12007;12008;12009;12010>,130,230,<10;20;30>,<1301;1302;1303>
31,香薰市,香薰市,Aromassee,Thành phố Aromassee,아로마시티,Aromassee,เมืองอโรมัสซี,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_xxs.png,,1,95,<12101;12102;12103;12104;12105;12106;12107;12108;12109;12110>,131,231,<10;20;30>,<1311;1312;1313>
32,枯叶市,枯葉市,Vermilion City,Thành phố Vermilion,갈색시티,Cidade de Vermilion,เมืองคุจิบะ,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_kys.png,,1,100,<12201;12202;12203;12204;12205;12206;12207;12208;12209;12210>,132,232,<10;20;30>,<1321;1322;1323>
33,孔普斯镇,孔普斯鎮,Compus Town,Thị trấn Compus,콤푸스 마을,Vila Compus,เมืองคอมปัส,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_yly.png,,1,105,<12301;12302;12303;12304;12305;12306;12307;12308;12309;12310>,133,233,<10;20;30>,<1331;1332;1333>
34,灯火市,燈火市,Lumiose City,Thành phố Lumiose,미르시티,Cidade de Lumiose,เมืองมิอาร์,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_syjxx.png,,1,110,<12401;12402;12403;12404;12405;12406;12407;12408;12409;12410>,134,234,<10;20;30>,<1341;1342;1343>
35,加布月镇,加布月鎮,Gabumoon Town,Thị trấn Gabumoon,가부문 마을,Vila Gabumoon,เมืองกาบุมูน,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_mxt.png,,1,115,<12501;12502;12503;12504;12505;12506;12507;12508;12509;12510>,135,235,<10;20;30>,<1351;1352;1353>
36,菜草镇,菜草鎮,Greensod Town,Thị trấn Greensod,채초 마을,Vila Greensod,เมืองไช่เฉ่า,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_ays.png,,1,120,<12601;12602;12603;12604;12605;12606;12607;12608;12609;12610>,136,236,<10;20;30>,<1361;1362;1363>
37,钟探镇,鐘探鎮,Bellchime Town,Thị trấn Bellchime,종탐 마을,Vila Bellchime,เมืองจงท่าน,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_xxs.png,,1,125,<12701;12702;12703;12704;12705;12706;12707;12708;12709;12710>,137,237,<10;20;30>,<1371;1372;1373>
38,马拉町,馬拉町,Mela Town,Thị trấn Mela,마라 마을,Vila Mela,เมืองมาระ,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_kys.png,,1,130,<12801;12802;12803;12804;12805;12806;12807;12808;12809;12810>,138,238,<10;20;30>,<1381;1382;1383>
39,焰摩镇,焰摩鎮,Flamora Town,Thị trấn Flamora,염마 마을,Vila Flamora,เมืองเฟลมโมรา,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_syjxx.png,,1,135,<12901;12902;12903;12904;12905;12906;12907;12908;12909;12910>,139,239,<10;20;30>,<1391;1392;1393>
40,冻冻镇,凍凍鎮,Frozefield Town,Thị trấn Frozefield,동동 마을,Vila Frozefield,เมืองโฟรซฟิลด์,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_mxt.png,,1,140,<13001;13002;13003;13004;13005;13006;13007;13008;13009;13010>,140,240,<10;20;30>,<1401;1402;1403>
41,宴宿镇,宴宿鎮,Festa Town,Thị trấn Festa,연숙 마을,Vila Festa,เมืองเฟสต้า,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_ays.png,,1,145,<13101;13102;13103;13104;13105;13106;13107;13108;13109;13110>,141,241,<10;20;30>,<1411;1412;1413>
42,白铸镇,白鑄鎮,Blancast Town,Thị trấn Blancast,백주 마을,Vila Blancast,เมืองบลองคาสต์,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_xxs.png,,1,150,<13201;13202;13203;13204;13205;13206;13207;13208;13209;13210>,142,242,<10;20;30>,<1421;1422;1423>
43,安溪镇,安溪鎮,Anxi Town,Thị trấn Anxi,안계 마을,Vila Anxi,เมืองอันซี,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_kys.png,,1,155,<13301;13302;13303;13304;13305;13306;13307;13308;13309;13310>,143,243,<10;20;30>,<1431;1432;1433>
44,橙花学院,橙花學院,Naranja Academy,Học viện Naranja,오렌지아카데미,Academia Laranja,สถาบันอคาเดมีส้ม,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_yly.png,,1,160,<13401;13402;13403;13404;13405;13406;13407;13408;13409;13410>,144,244,<10;20;30>,<1450;1451;1452>
45,橙华镇,橙華市,Petalburg City,Thành phố Petalburg,등화도시,Cidade de Petalburg,เมืองโทกะ,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_syjxx.png,,1,165,<13501;13502;13503;13504;13505;13506;13507;13508;13509;13510>,145,245,<10;20;30>,<1453;1454;1455>
46,桌台市,桌台市,Mesagoza,Thành phố Mesagoza,테이블시티,Mesagoza,เมืองเทเบิล,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_mxt.png,,1,170,<13601;13602;13603;13604;13605;13606;13607;13608;13609;13610>,146,246,<10;20;30>,<1456;1457;1458>
47,水影镇,水影鎮,Watervue Town,Thị trấn Watervue,수영 마을,Vila Watervue,เมืองวอเตอร์วู,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_ays.png,,1,175,<13701;13702;13703;13704;13705;13706;13707;13708;13709;13710>,147,247,<10;20;30>,<1459;1460;1461>
