变量名,huodongID,pointRequire,award,boxIcon,desc,desc_en
默认值,,0,{},1,无奖励吗,无奖励吗
ID,活动版本号,积分需求,奖励,宝箱图标,奖励描述,奖励描述
1,20191030,30,{rmb=1000;21271=10},1,钻石1000+凤王碎片*10,无奖励吗
2,20191030,100,{rmb=1000;21271=15},1,钻石1000+凤王碎片*15,无奖励吗
3,20191030,300,{rmb=1000;21271=20},2,钻石1000+凤王碎片*20,无奖励吗
4,20191030,1000,{rmb=1000;21271=25},2,钻石1000+凤王碎片*25,无奖励吗
5,20191030,2000,{rmb=1000;21271=30},3,钻石1000+凤王碎片*30,无奖励吗
6,20191030,3500,{rmb=1000;21271=50},3,钻石1000+凤王碎片*50,无奖励吗
7,20191030,5000,{rmb=1000;31301=1},3,钻石1000+七彩凤羽*1,无奖励吗
11,1001,10,{501=1;gold=80000;21891=1},1,无奖励吗,无奖励吗
12,1001,30,{501=1;gold=80000;21891=2},1,无奖励吗,无奖励吗
13,1001,100,{501=1;gold=100000;21891=3},1,无奖励吗,无奖励吗
14,1001,200,{501=1;gold=120000;21891=3},2,无奖励吗,无奖励吗
15,1001,400,{501=2;gold=140000;21891=5},2,无奖励吗,无奖励吗
16,1001,600,{501=2;gold=160000;21891=5},2,无奖励吗,无奖励吗
17,1001,900,{501=2;gold=180000;21891=10},3,无奖励吗,无奖励吗
18,1001,1200,{501=2;gold=200000;21891=10},3,无奖励吗,无奖励吗
19,1001,1500,{501=3;gold=220000;21891=15},3,无奖励吗,无奖励吗
21,1002,30,{501=1;21251=2;gold=60000},1,无奖励吗,无奖励吗
22,1002,100,{501=2;21251=2;gold=80000},1,无奖励吗,无奖励吗
23,1002,300,{501=2;21251=3;gold=100000},1,无奖励吗,无奖励吗
24,1002,600,{501=3;21251=3;gold=120000},2,无奖励吗,无奖励吗
25,1002,1200,{501=3;21251=5;gold=140000},2,无奖励吗,无奖励吗
26,1002,1800,{501=4;21251=5;gold=160000},2,无奖励吗,无奖励吗
27,1002,2700,{501=5;21251=10;gold=180000},3,无奖励吗,无奖励吗
28,1002,3600,{501=6;21251=10;gold=200000},3,无奖励吗,无奖励吗
29,1002,5000,{501=8;21251=15;gold=220000},3,无奖励吗,无奖励吗
31,1003,30,{501=1;21421=2;gold=60000},1,无奖励吗,无奖励吗
32,1003,100,{501=2;21421=2;gold=80000},1,无奖励吗,无奖励吗
33,1003,300,{501=2;21421=3;gold=100000},1,无奖励吗,无奖励吗
34,1003,600,{501=3;21421=3;gold=120000},2,无奖励吗,无奖励吗
35,1003,1200,{501=3;21421=5;gold=140000},2,无奖励吗,无奖励吗
36,1003,1800,{501=4;21421=5;gold=160000},2,无奖励吗,无奖励吗
37,1003,2700,{501=5;21421=10;gold=180000},3,无奖励吗,无奖励吗
38,1003,3600,{501=6;21421=10;gold=200000},3,无奖励吗,无奖励吗
39,1003,5000,{501=8;21421=15;gold=220000},3,无奖励吗,无奖励吗
41,1004,30,{501=1;21901=2;gold=60000},1,无奖励吗,无奖励吗
42,1004,100,{501=2;21901=2;gold=80000},1,无奖励吗,无奖励吗
43,1004,300,{501=2;21901=3;gold=100000},1,无奖励吗,无奖励吗
44,1004,600,{501=3;21901=3;gold=120000},2,无奖励吗,无奖励吗
45,1004,1200,{501=3;21901=5;gold=140000},2,无奖励吗,无奖励吗
46,1004,1800,{501=4;21901=5;gold=160000},2,无奖励吗,无奖励吗
47,1004,2700,{501=5;21901=10;gold=180000},3,无奖励吗,无奖励吗
48,1004,3600,{501=6;21901=10;gold=200000},3,无奖励吗,无奖励吗
49,1004,5000,{501=8;21901=15;gold=220000},3,无奖励吗,无奖励吗
51,1005,30,{22231=3;501=1;gold=60000},1,无奖励吗,无奖励吗
52,1005,100,{22231=5;501=2;gold=80000},1,无奖励吗,无奖励吗
53,1005,300,{22231=5;501=2;gold=100000},1,无奖励吗,无奖励吗
54,1005,600,{22231=7;501=3;gold=120000},2,无奖励吗,无奖励吗
55,1005,1200,{22231=10;501=3;gold=140000},2,无奖励吗,无奖励吗
56,1005,1800,{22231=10;501=4;gold=160000},2,无奖励吗,无奖励吗
57,1005,2700,{22231=15;501=5;gold=180000},3,无奖励吗,无奖励吗
58,1005,3600,{22231=15;501=6;gold=200000},3,无奖励吗,无奖励吗
59,1005,5000,{22231=30;501=8;gold=220000},3,无奖励吗,无奖励吗
61,1006,30,{22241=3;501=1;gold=60000},1,无奖励吗,无奖励吗
62,1006,100,{22241=5;501=2;gold=80000},1,无奖励吗,无奖励吗
63,1006,300,{22241=5;501=2;gold=100000},1,无奖励吗,无奖励吗
64,1006,600,{22241=7;501=3;gold=120000},2,无奖励吗,无奖励吗
65,1006,1200,{22241=10;501=3;gold=140000},2,无奖励吗,无奖励吗
66,1006,1800,{22241=10;501=4;gold=160000},2,无奖励吗,无奖励吗
67,1006,2700,{22241=15;501=5;gold=180000},3,无奖励吗,无奖励吗
68,1006,3600,{22241=15;501=6;gold=200000},3,无奖励吗,无奖励吗
69,1006,5000,{22241=30;501=8;gold=220000},3,无奖励吗,无奖励吗
71,1007,30,{501=1;gold=60000;21921=3},1,无奖励吗,无奖励吗
72,1007,100,{501=2;gold=80000;21921=5},1,无奖励吗,无奖励吗
73,1007,300,{501=2;gold=100000;21921=5},1,无奖励吗,无奖励吗
74,1007,600,{501=3;gold=120000;21921=7},2,无奖励吗,无奖励吗
75,1007,1200,{501=3;gold=140000;21921=10},2,无奖励吗,无奖励吗
76,1007,1800,{501=4;gold=160000;21921=10},2,无奖励吗,无奖励吗
77,1007,2700,{501=5;gold=180000;21921=15},3,无奖励吗,无奖励吗
78,1007,3600,{501=6;gold=200000;21921=15},3,无奖励吗,无奖励吗
79,1007,5000,{501=8;gold=220000;21921=30},3,无奖励吗,无奖励吗
81,1008,30,{501=1;gold=60000;22401=3},1,无奖励吗,无奖励吗
82,1008,100,{501=2;gold=80000;22401=5},1,无奖励吗,无奖励吗
83,1008,300,{501=2;gold=100000;22401=5},1,无奖励吗,无奖励吗
84,1008,600,{501=3;gold=120000;22401=7},2,无奖励吗,无奖励吗
85,1008,1200,{501=3;gold=140000;22401=10},2,无奖励吗,无奖励吗
86,1008,1800,{501=4;gold=160000;22401=10},2,无奖励吗,无奖励吗
87,1008,2700,{501=5;gold=180000;22401=15},3,无奖励吗,无奖励吗
88,1008,3600,{501=6;gold=200000;22401=15},3,无奖励吗,无奖励吗
89,1008,5000,{501=8;gold=220000;22401=30},3,无奖励吗,无奖励吗
91,1009,30,{22471=3;501=1;gold=60000},1,无奖励吗,无奖励吗
92,1009,100,{22471=5;501=2;gold=80000},1,无奖励吗,无奖励吗
93,1009,300,{22471=5;501=2;gold=100000},1,无奖励吗,无奖励吗
94,1009,600,{22471=7;501=3;gold=120000},2,无奖励吗,无奖励吗
95,1009,1200,{22471=10;501=3;gold=140000},2,无奖励吗,无奖励吗
96,1009,1800,{22471=10;501=4;gold=160000},2,无奖励吗,无奖励吗
97,1009,2700,{22471=15;501=5;gold=180000},3,无奖励吗,无奖励吗
98,1009,3600,{22471=15;501=6;gold=200000},3,无奖励吗,无奖励吗
99,1009,5000,{22471=30;501=8;gold=220000},3,无奖励吗,无奖励吗
100,1010,30,{501=1;23151=3;gold=60000},1,无奖励吗,无奖励吗
101,1010,100,{501=2;23151=5;gold=80000},1,无奖励吗,无奖励吗
102,1010,300,{501=2;23151=5;gold=100000},1,无奖励吗,无奖励吗
103,1010,600,{501=3;23151=7;gold=120000},2,无奖励吗,无奖励吗
104,1010,1200,{501=3;23151=10;gold=140000},2,无奖励吗,无奖励吗
105,1010,1800,{501=4;23151=10;gold=160000},2,无奖励吗,无奖励吗
106,1010,2700,{501=5;23151=15;gold=180000},3,无奖励吗,无奖励吗
107,1010,3600,{501=6;23151=15;gold=200000},3,无奖励吗,无奖励吗
108,1010,5000,{501=8;23151=30;gold=220000},3,无奖励吗,无奖励吗
110,1011,30,{501=1;gold=60000;20641=3},1,无奖励吗,无奖励吗
111,1011,100,{501=2;gold=80000;20641=5},1,无奖励吗,无奖励吗
112,1011,300,{501=2;gold=100000;20641=5},1,无奖励吗,无奖励吗
113,1011,600,{501=3;gold=120000;20641=7},2,无奖励吗,无奖励吗
114,1011,1200,{501=3;gold=140000;20641=10},2,无奖励吗,无奖励吗
115,1011,1800,{501=4;gold=160000;20641=10},2,无奖励吗,无奖励吗
116,1011,2700,{501=5;gold=180000;20641=15},3,无奖励吗,无奖励吗
117,1011,3600,{501=6;gold=200000;20641=15},3,无奖励吗,无奖励吗
118,1011,5000,{501=8;gold=220000;20641=30},3,无奖励吗,无奖励吗
120,1012,30,{501=1;23771=3;gold=60000},1,无奖励吗,无奖励吗
121,1012,100,{501=2;23771=5;gold=80000},1,无奖励吗,无奖励吗
122,1012,300,{501=2;23771=5;gold=100000},1,无奖励吗,无奖励吗
123,1012,600,{501=3;23771=7;gold=120000},2,无奖励吗,无奖励吗
124,1012,1200,{501=3;23771=10;gold=140000},2,无奖励吗,无奖励吗
125,1012,1800,{501=4;23771=10;gold=160000},2,无奖励吗,无奖励吗
126,1012,2700,{501=5;23771=15;gold=180000},3,无奖励吗,无奖励吗
127,1012,3600,{501=6;23771=15;gold=200000},3,无奖励吗,无奖励吗
128,1012,5000,{501=8;23771=30;gold=220000},3,无奖励吗,无奖励吗
130,1013,30,{23841=3;501=1;gold=60000},1,无奖励吗,无奖励吗
131,1013,100,{23841=5;501=2;gold=80000},1,无奖励吗,无奖励吗
