变量名,huodongID,level,needExp,normalAward,eliteAward,specialAward,texiao
默认值,,,,{},{},0,<>
ID,活动版本ID,等级,升下一级所需经验,普通奖励,进阶奖励,特殊展示,特效展示序号
1,1001,1,100,{gold=1000000},{rmb=200},0,<>
2,1001,2,100,{coin4=30},{520=2},0,<>
3,1001,3,100,{14=50},{15=20;16=30},0,<>
4,1001,4,100,{19=2},{801=1;19=10},0,<>
5,1001,5,100,{gold=1000000},{gold=3000000},0,<>
6,1001,6,100,{coin4=500},{520=1;coin4=2000},0,<>
7,1001,7,100,{532=20},{533=10},0,<>
8,1001,8,100,{940=5},{942=5;941=5},0,<>
9,1001,9,100,{rmb=100},{rmb=300},0,<>
10,1001,10,100,{920=1},{921=2},1,<1;2>
11,1001,11,100,{520=2},{521=2},0,<>
12,1001,12,100,{20011=10},{card={id=13}},0,<>
13,1001,13,100,{gold=1000000},{rmb=200},0,<>
14,1001,14,100,{coin4=30},{520=2},0,<>
15,1001,15,100,{14=50},{15=20;16=30},0,<>
16,1001,16,100,{19=2},{801=1;19=10},0,<>
17,1001,17,100,{gold=1000000},{gold=3000000},0,<>
18,1001,18,100,{coin4=500},{520=1;coin4=2000},0,<>
19,1001,19,100,{800=5},{800=10;801=5},0,<>
20,1001,20,100,{940=5},{942=5;941=5},1,<1;2;3>
21,1001,21,100,{rmb=100},{rmb=300},0,<>
22,1001,22,100,{920=1},{921=2},0,<>
23,1001,23,100,{520=2},{521=2},0,<>
24,1001,24,100,{20011=10},{card={id=13}},0,<>
25,1001,25,100,{gold=1000000},{rmb=200},0,<>
26,1001,26,100,{coin4=30},{520=2},0,<>
27,1001,27,100,{14=50},{15=20;16=30},0,<>
28,1001,28,100,{19=2},{801=1;19=10},0,<>
29,1001,29,100,{gold=1000000},{gold=3000000},0,<>
30,1001,30,100,{coin4=500},{520=1;coin4=2000},1,<1;2;3>
31,1001,31,100,{800=5},{800=10;801=5},0,<>
32,1001,32,100,{940=5},{942=5;941=5},0,<>
33,1001,33,100,{rmb=100},{rmb=300},0,<>
34,1001,34,100,{920=1},{921=2},0,<>
35,1001,35,100,{520=2},{521=2},0,<>
36,1001,36,100,{20011=10},{card={id=13}},0,<>
37,1001,37,100,{gold=1000000},{rmb=200},0,<>
38,1001,38,100,{coin4=30},{520=2},0,<>
39,1001,39,100,{14=50},{15=20;16=30},0,<>
40,1001,40,100,{19=2},{801=1;19=10},1,<1;2;3>
41,1001,41,100,{gold=1000000},{gold=3000000},0,<>
42,1001,42,100,{coin4=500},{520=1;coin4=2000},0,<>
43,1001,43,100,{800=5},{800=10;801=5},0,<>
44,1001,44,100,{940=5},{942=5;941=5},0,<>
45,1001,45,100,{rmb=100},{rmb=300},0,<>
46,1001,46,100,{920=1},{921=2},0,<>
47,1001,47,100,{520=2},{521=2},0,<>
48,1001,48,100,{20011=10},{card={id=13}},0,<>
49,1001,49,100,{gold=1000000},{rmb=200},0,<>
50,1001,50,100,{coin4=30},{520=2},1,<1;2>
51,1001,51,100,{14=50},{15=20;16=30},0,<>
52,1001,52,100,{19=2},{801=1;19=10},0,<>
53,1001,53,100,{gold=1000000},{gold=3000000},0,<>
54,1001,54,100,{coin4=500},{520=1;coin4=2000},0,<>
55,1001,55,100,{800=5},{800=10;801=5},0,<>
56,1001,56,100,{940=5},{942=5;941=5},0,<>
57,1001,57,100,{rmb=100},{rmb=300},0,<>
58,1001,58,100,{920=1},{921=2},0,<>
59,1001,59,100,{520=2},{521=2},0,<>
60,1001,60,100,{20011=10},{card={id=13}},1,<1;2>
61,1001,61,100,{gold=1000000},{rmb=200},0,<>
62,1001,62,100,{coin4=30},{520=2},0,<>
63,1001,63,100,{14=50},{15=20;16=30},0,<>
64,1001,64,100,{19=2},{801=1;19=10},0,<>
65,1001,65,100,{gold=1000000},{gold=3000000},0,<>
66,1001,66,100,{coin4=500},{520=1;coin4=2000},0,<>
67,1001,67,100,{800=5},{800=10;801=5},0,<>
68,1001,68,100,{940=5},{942=5;941=5},0,<>
69,1001,69,100,{rmb=100},{rmb=300},0,<>
70,1001,70,100,{920=1},{921=2},1,<1;2>
71,1001,71,100,{520=2},{521=2},0,<>
72,1001,72,100,{20011=10},{card={id=13}},0,<>
73,1001,73,100,{gold=1000000},{rmb=200},0,<>
74,1001,74,100,{coin4=30},{520=2},0,<>
75,1001,75,100,{14=50},{15=20;16=30},0,<>
76,1001,76,100,{19=2},{801=1;19=10},0,<>
77,1001,77,100,{gold=1000000},{gold=3000000},0,<>
78,1001,78,100,{coin4=500},{520=1;coin4=2000},0,<>
79,1001,79,100,{800=5},{800=10;801=5},0,<>
80,1001,80,100,{940=5},{942=5;941=5},1,<1;2;3>
81,1001,81,100,{rmb=100},{rmb=300},0,<>
82,1001,82,100,{920=1},{921=2},0,<>
83,1001,83,100,{520=2},{521=2},0,<>
84,1001,84,100,{20011=10},{card={id=13}},0,<>
85,1001,85,100,{gold=1000000},{rmb=200},0,<>
86,1001,86,100,{coin4=30},{520=2},0,<>
87,1001,87,100,{14=50},{15=20;16=30},0,<>
88,1001,88,100,{19=2},{801=1;19=10},0,<>
89,1001,89,100,{gold=1000000},{gold=3000000},0,<>
90,1001,90,100,{coin4=500},{520=1;coin4=2000},1,<1;2;3>
91,1001,91,100,{800=5},{800=10;801=5},0,<>
92,1001,92,100,{940=5},{942=5;941=5},0,<>
93,1001,93,100,{rmb=100},{rmb=300},0,<>
94,1001,94,100,{920=1},{921=2},0,<>
95,1001,95,100,{520=2},{521=2},0,<>
96,1001,96,100,{20011=10},{card={id=13}},0,<>
97,1001,97,100,{gold=1000000},{rmb=200},0,<>
98,1001,98,100,{coin4=30},{520=2},0,<>
99,1001,99,100,{14=50},{15=20;16=30},0,<>
100,1001,100,100,{19=2},{801=1;19=10},1,<1;2;3>
101,1001,101,100,{gold=1000000},{gold=3000000},0,<>
102,1001,102,100,{coin4=500},{520=1;coin4=2000},0,<>
103,1001,103,100,{800=5},{800=10;801=5},0,<>
104,1001,104,100,{940=5},{942=5;941=5},0,<>
105,1001,105,100,{rmb=100},{rmb=300},0,<>
106,1001,106,100,{920=1},{921=2},0,<>
107,1001,107,100,{520=2},{521=2},0,<>
108,1001,108,100,{20011=10},{card={id=13}},0,<>
109,1001,109,100,{gold=1000000},{rmb=200},0,<>
110,1001,110,100,{coin4=30},{520=2},1,<>
111,1001,111,100,{14=50},{15=20;16=30},0,<>
112,1001,112,100,{19=2},{801=1;19=10},0,<>
113,1001,113,100,{gold=1000000},{gold=3000000},0,<>
114,1001,114,100,{coin4=500},{520=1;coin4=2000},0,<>
115,1001,115,100,{800=5},{800=10;801=5},0,<>
116,1001,116,100,{940=5},{942=5;941=5},0,<>
117,1001,117,100,{rmb=100},{rmb=300},0,<>
118,1001,118,100,{920=1},{921=2},0,<>
119,1001,119,100,{520=2},{521=2},0,<>
120,1001,120,100,{20011=10},{card={id=13}},1,<>
