变量名,huodongID,name,type,target,item
默认值,0,"""""",0,0,{}
ID,活动版本ID,礼包名字,礼包类型(1重聚礼包;2相逢有时),礼包对象(礼包类型1时为空;1回归玩家 2老玩家),礼包内容
1,101016,重聚礼包,1,0,{500=10;rmb=1200;514=50}
2,101016,绑定礼包,2,1,{519=3;rmb=300;gold=500000}
3,101016,绑定礼包,2,2,{520=3;rmb=300;gold=300000}
4,101017,重聚礼包,1,0,{500=20;rmb=1500;514=100}
5,101017,绑定礼包,2,1,{519=3;rmb=400;gold=500000}
6,101017,绑定礼包,2,2,{520=3;rmb=300;gold=300000}
7,101018,重聚礼包,1,0,{500=30;rmb=1800;514=150}
8,101018,绑定礼包,2,1,{519=3;rmb=500;gold=500000}
9,101018,绑定礼包,2,2,{520=3;rmb=300;gold=300000}
101,1001,重聚礼包,1,0,{503=3;gold=300000;rmb=100;519=3}
102,1001,绑定礼包,2,1,{502=2;501=1;rmb=50;gold=300000}
103,1001,绑定礼包,2,2,{502=2;501=1;rmb=50;gold=300000}
201,1002,重聚礼包,1,0,{503=3;gold=300000;rmb=150;519=3}
202,1002,绑定礼包,2,1,{502=2;501=1;rmb=50;gold=300000}
203,1002,绑定礼包,2,2,{502=2;501=1;rmb=50;gold=300000}
301,1003,重聚礼包,1,0,{503=3;gold=300000;rmb=200;519=3}
302,1003,绑定礼包,2,1,{502=2;501=1;rmb=50;gold=300000}
303,1003,绑定礼包,2,2,{502=2;501=1;rmb=50;gold=300000}
401,1004,重聚礼包,1,0,{503=3;gold=300000;rmb=250;519=3}
402,1004,绑定礼包,2,1,{502=2;501=1;rmb=50;gold=300000}
403,1004,绑定礼包,2,2,{502=2;501=1;rmb=50;gold=300000}
