变量名,huodongID,needLevel,desc,desc_tw,desc_en,desc_vn,desc_kr,award
默认值,0,1,"""""","""""","""""","""""","""""",{}
ID,活动版本ID,要求等级,描述,描述,描述,描述_越南,描述_韩,奖励
1,8001,1,vip1可领取,,,,,{21006=100;52=100;card=30041;gold=10000}
2,8001,2,vip2可领取,,,,,{21006=100;52=100;card=30041;gold=10000}
3,8001,3,vip3可领取,,,,,{21006=100;52=100;card=30041;gold=10000}
4,8001,4,vip4可领取,,,,,{21006=100;52=100;card=30041;gold=10000}
5,8001,5,vip5可领取,,,,,{21006=100;52=100;card=30041;gold=10000}
6,8001,6,vip6可领取,,,,,{21006=100;52=100;card=30041;gold=10000}
7,8001,7,vip7可领取,,,,,{21006=100;52=100;card=30041;gold=10000}
8,8001,8,vip8可领取,,,,,{21006=100;52=100;card=30041;gold=10000}
9,8001,9,vip9可领取,,,,,{21006=100;52=100;card=30041;gold=10000}
10,8001,10,vip10可领取,,,,,{21006=100;52=100;card=30041;gold=10000}
11,8001,11,vip11可领取,,,,,{21006=100;52=100;card=30041;gold=10000}
12,8001,12,vip12可领取,,,,,{21006=100;52=100;card=30041;gold=10000}
13,8001,13,vip13可领取,,,,,{21006=100;52=100;card=30041;gold=10000}
14,8001,14,vip14可领取,,,,,{21006=100;52=100;card=30041;gold=10000}
15,8001,15,vip15可领取,,,,,{21006=100;52=100;card=30041;gold=10000}
