变量名,name,name_tw,name_en,name_vn,name_kr,languages,cardID,icon,desc,desc_tw,desc_en,desc_kr,desc1,desc1_tw,desc1_en,desc1_kr,quality,type,stackMax,effBtn,pageTag,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_kr,effect,sortType,sortValue
默认值,"""""","""""","""""","""""","""""",<cn;tw;en;vn;th;kr>,0,config/portrait/jinglingtouxiang/img_25_pkq@.png,一种无法合成精灵特殊的碎片,"""""","""""","""""",主要用于进行精灵Z觉醒，但也可以用来提升极限属性，甚至作为超进化材料,"""""","""""","""""",4,5,9999,<1>,<3>,"""""","""""","""""","""""","""""","""""","""""",可在精灵Z觉醒里兑换获得,"""""","""""","""""",{drawcard=false;gain=false},0,0
碎片ID,碎片名称,碎片名称,碎片名称,碎片名称,碎片名称,语言区域,卡牌ID,碎片图标,描述,描述,描述,描述_韩,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息_韩,碎片品质,碎片类型(1卡牌碎片2装备碎片3道具碎片4携带道具碎片5专属觉醒碎片6通用觉醒碎片),堆叠上限,功能按键,特殊页签显示,产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),前三个都没就读描述,前三個都沒就讀描述,前三个都没就读描述,前三个都没就读描述_韩,分别表示在抽卡，恭喜获得,排序类型,排序价值
50001,妙蛙种子·Z觉醒碎片,,,,,<cn;tw;en;vn;th;kr>,1,config/portrait/jinglingtouxiang/img_1_mwzz@.png,用于提升妙蛙种子的Z觉醒养成,,,,用于提升妙蛙种子的Z觉醒养成,,,,4,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,,,,{drawcard=false;gain=false},0,0
50011,小火龙·Z觉醒碎片,,,,,<cn;tw;en;vn;th;kr>,11,config/portrait/jinglingtouxiang/img_4_xhl@.png,用于提升小火龙的Z觉醒养成,,,,用于提升小火龙的Z觉醒养成,,,,4,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,,,,{drawcard=false;gain=false},0,0
50021,杰尼龟·Z觉醒碎片,,,,,<cn;tw;en;vn;th;kr>,21,config/portrait/jinglingtouxiang/img_7_jng@.png,用于提升杰尼龟的Z觉醒养成,,,,用于提升杰尼龟的Z觉醒养成,,,,4,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,,,,{drawcard=false;gain=false},0,0
50031,绿毛虫·Z觉醒碎片,,,,,<cn;tw;en;vn;th;kr>,31,config/portrait/jinglingtouxiang/img_10_lmc@.png,用于提升绿毛虫的Z觉醒养成,,,,用于提升绿毛虫的Z觉醒养成,,,,3,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,,,,{drawcard=false;gain=false},0,0
50041,大针蜂·Z觉醒碎片,,,,,<cn;tw;en;vn;th;kr>,41,config/portrait/jinglingtouxiang/img_15_dzf@.png,用于提升大针蜂的Z觉醒养成,,,,用于提升大针蜂的Z觉醒养成,,,,3,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,,,,{drawcard=false;gain=false},0,0
50051,波波·Z觉醒碎片,,,,,<cn;tw;en;vn;th;kr>,51,config/portrait/jinglingtouxiang/img_16_bb@.png,用于提升波波的Z觉醒养成,,,,用于提升波波的Z觉醒养成,,,,4,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,,,,{drawcard=false;gain=false},0,0
50054,超级大比鸟Z觉醒碎片,,,,,<cn;tw;en;vn;th;kr>,54,config/portrait/jinglingtouxiang/img_18_cjdbn@.png,用于提升超级大比鸟Z觉醒养成,,,,用于提升超级大比鸟Z觉醒养成,,,,5,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,,,,{drawcard=false;gain=false},0,0
50061,小拉达·Z觉醒碎片,,,,,<cn;tw;en;vn;th;kr>,61,config/portrait/jinglingtouxiang/img_19_xld@.png,用于提升小拉达的Z觉醒养成,,,,用于提升小拉达的Z觉醒养成,,,,3,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,,,,{drawcard=false;gain=false},0,0
