变量名,level,type,point,award,icon,boxIcon,spine
默认值,0,0,0,{},"""""","""""",""""""
ID,成就等级,成就分类 0=成就总览 1=人物成长 2=精灵收集 3=精灵培养 4=副本活动 5=竞技挑战 6=社交,所需成就点,等级奖励,等级图标,宝箱图标,spine动画
1,0,0,0,{},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
2,1,0,100,{gold=22000;rmb=50},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
3,2,0,300,{gold=22000;rmb=50},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
4,3,0,500,{gold=22000;rmb=50},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
5,4,0,700,{gold=22000;rmb=50},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
6,5,0,900,{gold=44000;rmb=100},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
7,6,0,1200,{gold=44000;rmb=100},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
8,7,0,1500,{gold=44000;rmb=100},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
9,8,0,1800,{gold=44000;rmb=100},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
10,9,0,2100,{gold=44000;rmb=100},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
11,10,0,2400,{gold=66000;rmb=150},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
12,11,0,2700,{gold=66000;rmb=150},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie1_effect
13,12,0,3000,{gold=66000;rmb=150},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie1_effect
14,13,0,3500,{gold=66000;rmb=150},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie1_effect
15,14,0,4000,{gold=66000;rmb=150},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie1_effect
16,15,0,4500,{gold=88000;rmb=200},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie1_effect
17,16,0,5000,{gold=88000;rmb=200},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie1_effect
18,17,0,5500,{gold=88000;rmb=200},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie1_effect
19,18,0,6000,{gold=88000;rmb=200},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie1_effect
20,19,0,6500,{gold=88000;rmb=200},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie2_effect
21,20,0,7000,{gold=110000;rmb=250},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie2_effect
22,21,0,7500,{gold=110000;rmb=250},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie2_effect
23,22,0,8000,{gold=110000;rmb=250},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie2_effect
24,23,0,8500,{gold=110000;rmb=250},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie2_effect
25,24,0,9000,{gold=110000;rmb=250},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie2_effect
26,25,0,9500,{gold=132000;rmb=300},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie2_effect
27,26,0,10000,{gold=132000;rmb=300},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie2_effect
28,27,0,10500,{gold=132000;rmb=300},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie3_effect
29,28,0,11000,{gold=132000;rmb=300},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie3_effect
30,29,0,11500,{gold=132000;rmb=300},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie3_effect
31,30,0,12000,{gold=154000;rmb=350},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie3_effect
32,31,0,12500,{gold=154000;rmb=350},city/task/achievement/icon_cjdw4.png,config/item/box/box_4_4.png,jinjie3_effect
33,32,0,13000,{gold=154000;rmb=350},city/task/achievement/icon_cjdw4.png,config/item/box/box_4_4.png,jinjie3_effect
34,33,0,13500,{gold=154000;rmb=350},city/task/achievement/icon_cjdw4.png,config/item/box/box_4_4.png,jinjie3_effect
35,34,0,14000,{gold=154000;rmb=350},city/task/achievement/icon_cjdw4.png,config/item/box/box_4_4.png,jinjie3_effect
36,35,0,14500,{gold=176000;rmb=400},city/task/achievement/icon_cjdw4.png,config/item/box/box_4_4.png,jinjie4_effect
37,36,0,15000,{gold=176000;rmb=400},city/task/achievement/icon_cjdw4.png,config/item/box/box_4_4.png,jinjie4_effect
38,37,0,15500,{gold=176000;rmb=400},city/task/achievement/icon_cjdw4.png,config/item/box/box_4_4.png,jinjie4_effect
39,38,0,16000,{gold=176000;rmb=400},city/task/achievement/icon_cjdw4.png,config/item/box/box_4_4.png,jinjie4_effect
