变量名,equip_id,stage,costGold,costItemMap
默认值,,1,0,{}
进阶,装备id,进阶阶段,进阶金币消耗,进阶道具消耗
10001,11001,1,5000,{100=1}
10002,11001,2,10000,{100=1}
10003,11001,3,15000,{100=1}
10004,11001,4,20000,{5005=4;5004=4;5006=4;100=1}
10005,11001,5,25000,{5009=4;5007=4;5008=4;100=1}
10006,11001,6,30000,{5010=6;5012=6;5011=6;100=1}
10007,11001,7,35000,{5010=8;5012=8;5011=8;100=2}
10008,11001,8,40000,{5014=10;5015=10;5013=10;100=2}
10009,11001,9,50000,{5014=12;5015=12;5013=12;100=4}
10010,11001,10,60000,{5016=16;5017=16;5018=16;100=4}
10011,11001,11,80000,{5016=20;5017=20;5018=20;100=6}
10012,11001,12,100000,{5021=32;5020=32;5019=32;100=6}
10013,11001,13,120000,{5021=48;5020=48;5019=48;100=9}
10014,11001,14,140000,{5024=72;5023=72;5022=72;100=12}
10015,11001,15,160000,{5024=108;5023=108;5022=108;100=18}
10016,11001,16,180000,{5025=144;5026=144;5027=144;100=24}
10017,11001,17,200000,{5028=200;5030=200;5029=200;100=30}
10018,11001,18,220000,{5032=300;5031=300;5033=300;100=36}
10019,11001,19,240000,{5034=400;5035=400;5036=400;100=42}
10020,11001,20,260000,{5037=440;5039=440;5038=440;100=48}
10021,11001,21,300000,{5040=480;5042=480;5041=480;100=54}
10022,11001,22,350000,{5043=520;5045=520;5044=520;100=60}
10023,11001,23,400000,{5048=560;5047=560;5046=560;100=66}
10024,11001,24,450000,{5049=600;5050=600;5051=600;100=72}
10025,11001,25,500000,{5053=640;5054=640;5052=640;100=78}
10026,11001,26,550000,{5055=680;5057=680;100=84;5056=680}
10027,11001,27,600000,{5058=720;5059=720;100=90;5060=720}
10028,11001,28,650000,{5061=760;5063=760;100=96;5062=760}
10029,11001,29,700000,{5064=800;5065=800;100=102;5066=800}
10030,11001,30,750000,{5067=840;5069=840;100=108;5068=840}
10031,11001,31,800000,{5070=880;5072=880;100=114;5071=880}
10032,11001,32,850000,{5075=920;100=120;5073=920;5074=920}
10033,11001,33,900000,{5077=960;5078=960;100=126;5076=960}
10034,11001,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
10035,11001,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
10036,11001,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
10037,11001,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
10038,11001,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
10039,11001,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
10040,11001,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
10041,11001,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
10042,11001,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
