变量名,levelExp,staminaMax,staminaGive,rmbGoldGive,featureUnlock,featureUnlock_tw,featureUnlock_en,featureUnlock_vn,benchUnlock,lianJinGold,cardLevelMax,equipAdvanceMax,runeUnlock,unionTrainingFix,explorePointMax,skillPointMax,languages
默认值,,,,,"""""","""""","""""","""""",-1,,,,0,1,,20,<cn;tw;en;vn;th;kr;pt>
等级,升级经验,体力上限,升级回复体力值,升级赠送元宝数量,升级后解锁的功能,升级后解锁的功能,升级后解锁的功能,升级后解锁的功能,升级后解锁的替补阵位,炼金获得的金币数量,卡牌等级上限,装备强化等级上限,升级后解锁符文位,公会训练经验修正,探索点恢复上限,技能点上限,语言区域
1,6,60,12,0,,,,,-1,23200,1,1,0,10,20,20,
2,6,62,12,0,,,,,-1,23600,2,2,0,10,20,20,
3,6,64,12,0,,,,,-1,24000,3,3,0,10,20,20,
4,6,66,12,0,,,,,-1,24400,4,4,0,10,20,20,
5,6,68,12,0,,,,,-1,24800,5,5,0,10,20,20,
6,6,70,12,0,,,,,-1,25200,6,6,0,10,20,20,
7,6,72,12,0,,,,,-1,25600,7,7,0,10,20,20,
8,12,74,12,0,,,,,-1,26000,8,8,0,10,20,20,
9,12,76,12,0,,,,,-1,26400,9,9,0,10,20,20,
10,12,78,12,0,,,,,0,26800,10,10,0,10,20,25,
11,18,80,12,0,,,,,-1,27200,11,11,0,10,20,25,
12,30,82,12,0,,,,,-1,27600,12,12,0,10,20,25,
13,40,84,12,0,,,,,-1,28000,13,13,0,10,20,25,
14,50,86,12,0,,,,,-1,28400,14,14,0,10,20,25,
15,60,88,12,0,,,,,1,28800,15,15,0,10,20,25,
16,70,90,12,0,,,,,-1,29200,16,16,0,10,20,25,
17,80,92,12,0,,,,,-1,29600,17,17,0,10,20,25,
18,90,94,12,0,,,,,-1,30000,18,18,0,10,20,25,
19,100,96,12,0,,,,,-1,30400,19,19,0,10,20,25,
20,120,98,12,0,,,,,2,30800,20,20,0,10,20,30,
21,150,100,12,0,,,,,-1,31200,21,21,0,10,20,30,
22,190,101,15,0,,,,,-1,31600,22,22,0,10,20,30,
23,250,102,15,0,,,,,-1,32000,23,23,0,10,20,30,
24,320,103,15,0,,,,,-1,32400,24,24,0,10,20,30,
25,360,104,60,0,,,,,-1,32800,25,25,0,10,20,30,
26,400,105,60,0,,,,,-1,33200,26,26,0,10,20,30,
27,450,106,60,0,,,,,-1,33600,27,27,0,10,20,30,
28,500,107,60,0,,,,,-1,34000,28,28,1,10,20,30,
29,550,108,60,0,,,,,-1,34400,29,29,0,10,20,30,
30,600,109,60,0,,,,,-1,34800,30,30,0,10,20,35,
31,640,110,60,0,,,,,-1,35200,31,31,0,18,20,35,
32,670,111,60,0,,,,,-1,35600,32,32,0,18,20,35,
33,690,112,60,0,,,,,-1,36000,33,33,2,18,20,35,
34,710,113,60,0,,,,,-1,36400,34,34,0,18,20,35,
35,730,114,60,0,,,,,-1,36800,35,35,0,18,20,35,
