变量名,range,award
默认值,,{}
ID,区间,结算奖励
1,<1;2>,{54=3;4001=5;gold=200000;4101=5}
2,<2;3>,{54=2;4001=4;gold=100000;4101=4}
3,<3;4>,{54=2;4001=4;gold=100000;4101=4}
4,<4;5>,{54=2;4001=4;gold=100000;4101=4}
5,<5;6>,{54=2;4001=4;gold=100000;4101=4}
6,<6;7>,{54=1;4001=3;gold=80000;4101=3;53=3}
7,<7;8>,{54=1;4001=3;gold=80000;4101=3;53=3}
8,<8;9>,{54=1;4001=3;gold=80000;4101=3;53=3}
9,<9;10>,{54=1;4001=3;gold=80000;4101=3;53=3}
10,<10;11>,{54=1;4001=3;gold=80000;4101=3;53=3}
11,<11;21>,{54=1;4001=2;gold=70000;4101=2;53=2}
12,<21;51>,{54=1;4001=2;gold=70000;4101=2;53=2}
13,<51;101>,{54=1;4001=2;gold=60000;4101=2}
14,<101;201>,{54=1;4001=2;gold=60000;4101=2}
15,<201;501>,{53=4;4002=3;gold=50000;4103=3}
16,<501;1001>,{53=3;4002=2;gold=40000;4103=2}
17,<1001;2001>,{53=2;4002=1;gold=30000;4103=1}
18,<2001;5001>,{53=2;4002=1;gold=30000;4103=1}
19,<5001;10001>,{53=2;4002=1;gold=30000;4103=1}
20,<10001;9999999>,{53=2;4002=1;gold=30000;4103=1}
