变量名,effortSeqID,needLevel,advance,advanceLimit,advanceLimit_kr,advanceLimit_en,advanceLimit_tw,hp,speed,damage,defence,specialDamage,specialDefence,attrEffect
默认值,1,1,1,6,6,6,6,0,0,0,0,0,0,""""""
ID,cards索引ID,卡牌需要等级,阶段,阶段上限,阶段上限,阶段上限,阶段上限,生命,速度,物攻,物防,特攻,特防,阶段效果属性加成（六种）最终值
1,1,1,1,10,10,10,10,2000,50,430,170,430,170,0
2,1,10,2,10,10,10,10,2400,60,510,210,510,210,2%
3,1,20,3,10,10,10,10,3000,70,640,260,640,260,4%
4,1,30,4,10,10,10,10,3800,90,810,330,810,330,6%
5,1,40,5,10,10,10,10,4000,100,850,340,850,340,8%
6,1,50,6,10,10,10,10,5200,120,1110,440,1110,440,10%
7,1,60,7,10,10,10,10,6600,160,1410,560,1410,560,12%
8,1,70,8,10,10,10,10,8200,200,1750,700,1750,700,14%
9,1,80,9,10,10,10,10,10000,240,2140,860,2140,860,17%
10,1,90,10,10,10,10,10,12000,290,2560,1030,2560,1030,20%
11,1,95,11,10,10,10,10,14000,340,2980,1200,2980,1200,23%
12,1,100,12,10,10,10,10,16000,390,3400,1370,3400,1370,26%
13,1,105,13,10,10,10,10,18000,440,3820,1540,3820,1540,29%
14,1,110,14,10,10,10,10,20000,490,4240,1710,4240,1710,32%
15,1,115,15,10,10,10,10,22000,540,4660,1880,4660,1880,35%
16,1,120,16,10,10,10,10,24000,590,5080,2050,5080,2050,38%
17,1,125,17,10,10,10,10,26000,640,5500,2220,5500,2220,41%
18,1,130,18,10,10,10,10,28000,690,5920,2390,5920,2390,44%
19,1,135,19,10,10,10,10,30000,740,6340,2560,6340,2560,47%
20,1,140,20,10,10,10,10,32000,790,6760,2730,6760,2730,50%
21,1,145,21,10,10,10,10,34000,840,7180,2900,7180,2900,53%
22,1,150,22,10,10,10,10,36000,890,7600,3070,7600,3070,57%
23,1,155,23,10,10,10,10,38000,940,8020,3240,8020,3240,61%
24,1,160,24,10,10,10,10,40000,990,8440,3410,8440,3410,65%
25,1,165,25,10,10,10,10,42000,1040,8860,3580,8860,3580,69%
26,1,170,26,10,10,10,10,44000,1090,9280,3750,9280,3750,73%
27,1,175,27,10,10,10,10,46000,1140,9700,3920,9700,3920,77%
28,1,180,28,10,10,10,10,48000,1190,10120,4090,10120,4090,81%
29,1,185,29,10,10,10,10,50000,1240,10540,4260,10540,4260,85%
30,1,190,30,10,10,10,10,52000,1290,10960,4430,10960,4430,89%
31,1,195,31,10,10,10,10,54000,1340,11380,4600,11380,4600,93%
32,1,200,32,10,10,10,10,56000,1390,11800,4770,11800,4770,97%
101,2,1,1,15,15,15,15,2000,50,430,170,430,170,0
102,2,10,2,15,15,15,15,2400,60,510,210,510,210,2%
103,2,20,3,15,15,15,15,3000,70,640,260,640,260,4%
104,2,30,4,15,15,15,15,3800,90,810,330,810,330,6%
105,2,40,5,15,15,15,15,4000,100,850,340,850,340,8%
106,2,50,6,15,15,15,15,5200,120,1110,440,1110,440,10%
107,2,60,7,15,15,15,15,6600,160,1410,560,1410,560,12%
108,2,70,8,15,15,15,15,8200,200,1750,700,1750,700,14%
109,2,80,9,15,15,15,15,10000,240,2140,860,2140,860,17%
110,2,90,10,15,15,15,15,12000,290,2560,1030,2560,1030,20%
111,2,95,11,15,15,15,15,14000,340,2980,1200,2980,1200,23%
112,2,100,12,15,15,15,15,16000,390,3400,1370,3400,1370,26%
113,2,105,13,15,15,15,15,18000,440,3820,1540,3820,1540,29%
114,2,110,14,15,15,15,15,20000,490,4240,1710,4240,1710,32%
115,2,115,15,15,15,15,15,22000,540,4660,1880,4660,1880,35%
116,2,120,16,15,15,15,15,24000,590,5080,2050,5080,2050,38%
117,2,125,17,15,15,15,15,26000,640,5500,2220,5500,2220,41%
118,2,130,18,15,15,15,15,28000,690,5920,2390,5920,2390,44%
119,2,135,19,15,15,15,15,30000,740,6340,2560,6340,2560,47%
120,2,140,20,15,15,15,15,32000,790,6760,2730,6760,2730,50%
121,2,145,21,15,15,15,15,34000,840,7180,2900,7180,2900,53%
122,2,150,22,15,15,15,15,36000,890,7600,3070,7600,3070,57%
123,2,155,23,15,15,15,15,38000,940,8020,3240,8020,3240,61%
124,2,160,24,15,15,15,15,40000,990,8440,3410,8440,3410,65%
125,2,165,25,15,15,15,15,42000,1040,8860,3580,8860,3580,69%
126,2,170,26,15,15,15,15,44000,1090,9280,3750,9280,3750,73%
127,2,175,27,15,15,15,15,46000,1140,9700,3920,9700,3920,77%
128,2,180,28,15,15,15,15,48000,1190,10120,4090,10120,4090,81%
129,2,185,29,15,15,15,15,50000,1240,10540,4260,10540,4260,85%
130,2,190,30,15,15,15,15,52000,1290,10960,4430,10960,4430,89%
131,2,195,31,15,15,15,15,54000,1340,11380,4600,11380,4600,93%
132,2,200,32,15,15,15,15,56000,1390,11800,4770,11800,4770,97%
1101,3,1,1,20,20,20,20,2000,50,430,170,430,170,0
1102,3,10,2,20,20,20,20,2400,60,510,210,510,210,2%
1103,3,20,3,20,20,20,20,3000,70,640,260,640,260,4%
1104,3,30,4,20,20,20,20,3800,90,810,330,810,330,6%
1105,3,40,5,20,20,20,20,4000,100,850,340,850,340,8%
1106,3,50,6,20,20,20,20,5200,120,1110,440,1110,440,10%
1107,3,60,7,20,20,20,20,6600,160,1410,560,1410,560,12%
1108,3,70,8,20,20,20,20,8200,200,1750,700,1750,700,14%
1109,3,80,9,20,20,20,20,10000,240,2140,860,2140,860,17%
1110,3,90,10,20,20,20,20,12000,290,2560,1030,2560,1030,20%
1111,3,95,11,20,20,20,20,14000,340,2980,1200,2980,1200,23%
1112,3,100,12,20,20,20,20,16000,390,3400,1370,3400,1370,26%
1113,3,105,13,20,20,20,20,18000,440,3820,1540,3820,1540,29%
1114,3,110,14,20,20,20,20,20000,490,4240,1710,4240,1710,32%
1115,3,115,15,20,20,20,20,22000,540,4660,1880,4660,1880,35%
1116,3,120,16,20,20,20,20,24000,590,5080,2050,5080,2050,38%
1117,3,125,17,20,20,20,20,26000,640,5500,2220,5500,2220,41%
1118,3,130,18,20,20,20,20,28000,690,5920,2390,5920,2390,44%
1119,3,135,19,20,20,20,20,30000,740,6340,2560,6340,2560,47%
1120,3,140,20,20,20,20,20,32000,790,6760,2730,6760,2730,50%
1121,3,145,21,20,20,20,20,34000,840,7180,2900,7180,2900,53%
1122,3,150,22,20,20,20,20,36000,890,7600,3070,7600,3070,57%
1123,3,155,23,20,20,20,20,38000,940,8020,3240,8020,3240,61%
1124,3,160,24,20,20,20,20,40000,990,8440,3410,8440,3410,65%
