变量名,_beizhu,starSkillList,cardExchangeRate,fragExchangeRate,universalCards
默认值,,<>,0,0,<>
ID,资质,满星极限技能ID,整卡可兑换极限点,1极限点需要多少碎片,万能整卡CardID消耗
1,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
11,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
21,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
31,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
41,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
51,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
61,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
71,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
81,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
91,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
101,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
111,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
121,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
131,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
151,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
161,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
171,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
181,,<>,0,0,<>
191,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
201,,<>,0,0,<>
211,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
212,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
221,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
231,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
241,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
251,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
252,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
253,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
254,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
261,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
271,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
281,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
291,,<>,0,0,<>
301,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
311,,<>,0,0,<>
321,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
323,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
331,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
341,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
351,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
361,,<>,0,0,<>
371,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
381,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
391,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
401,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
411,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
412,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
431,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
432,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
441,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
442,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
451,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
461,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
471,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
481,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
491,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
501,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
511,,<>,0,0,<>
521,,<>,0,0,<>
531,,<>,0,0,<>
541,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
551,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
561,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
562,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
571,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
581,,<>,0,0,<>
591,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
601,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
