变量名,suitID,suitName,suitName_tw,suitName_en,suitName_vn,suitName_kr,suitName_pt,suitName_th,suitIcon,suitNum,suitQuality,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3
默认值,0,"""""","""""","""""","""""","""""","""""","""""","""config/chip/suit/img_gj_1_00.png""",0,1,0,0,"""""",0,"""""",0,""""""
ID,套装id,套装名字,描述,描述,描述,描述,描述,描述,套装icon,套装散件数量,套装品质,套装效果技能,套装属性类型1,套装属性数值1,套装属性类型2,套装属性数值2,套装属性类型3,套装属性数值3
,,,,,,,,,,,,,,,,,,
1,1,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/suit/img_gj_1_00.png,2,2,,7,3%,8,3%,,
2,1,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/suit/img_gj_1_00.png,4,2,66001,,,,,,
3,1,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/suit/img_gj_1_00.png,2,3,,7,4%,8,4%,,
4,1,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/suit/img_gj_1_00.png,4,3,66002,,,,,,
5,1,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/suit/img_gj_1_00.png,2,4,,7,5%,8,5%,,
6,1,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/suit/img_gj_1_00.png,4,4,66003,,,,,,
7,1,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/suit/img_gj_1_00.png,2,5,,7,6%,8,6%,,
8,1,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/suit/img_gj_1_00.png,4,5,66004,,,,,,
9,1,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/suit/img_gj_1_00.png,2,6,,7,9%,8,9%,,
10,1,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/suit/img_gj_1_00.png,4,6,66005,,,,,,
11,2,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/suit/img_gj_2_00.png,2,2,,7,3%,8,3%,,
12,2,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/suit/img_gj_2_00.png,4,2,66006,,,,,,
13,2,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/suit/img_gj_2_00.png,2,3,,7,4%,8,4%,,
14,2,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/suit/img_gj_2_00.png,4,3,66007,,,,,,
15,2,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/suit/img_gj_2_00.png,2,4,,7,5%,8,5%,,
16,2,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/suit/img_gj_2_00.png,4,4,66008,,,,,,
17,2,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/suit/img_gj_2_00.png,2,5,,7,6%,8,6%,,
18,2,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/suit/img_gj_2_00.png,4,5,66009,,,,,,
19,2,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/suit/img_gj_2_00.png,2,6,,7,9%,8,9%,,
20,2,蛙刺,蛙刺,Frog Thorn,Gai Ếch,개구리 가시,Espinho de Sapo,กบหนาม,config/chip/suit/img_gj_2_00.png,4,6,66010,,,,,,
21,3,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/suit/img_gj_3_00.png,2,2,,7,3%,8,3%,,
22,3,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/suit/img_gj_3_00.png,4,2,66011,,,,,,
23,3,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/suit/img_gj_3_00.png,2,3,,7,4%,8,4%,,
24,3,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/suit/img_gj_3_00.png,4,3,66012,,,,,,
25,3,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/suit/img_gj_3_00.png,2,4,,7,5%,8,5%,,
26,3,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/suit/img_gj_3_00.png,4,4,66013,,,,,,
27,3,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/suit/img_gj_3_00.png,2,5,,7,6%,8,6%,,
28,3,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/suit/img_gj_3_00.png,4,5,66014,,,,,,
29,3,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/suit/img_gj_3_00.png,2,6,,7,9%,8,9%,,
30,3,狼行者,狼行者,Lone Wolf,Sói Đơn Độc,외로운 늑대,Lobo Solitário,หมาป่าเดียวดาย,config/chip/suit/img_gj_3_00.png,4,6,66015,,,,,,
31,4,龟甲,龜甲,Tortoise Shell,Mai Rùa,거북 등껍질,casco de tartaruga,กระดองเต่า,config/chip/suit/img_fy_1_00.png,2,2,,1,4%,,,,
32,4,龟甲,龜甲,Tortoise Shell,Mai Rùa,거북 등껍질,casco de tartaruga,กระดองเต่า,config/chip/suit/img_fy_1_00.png,4,2,66016,,,,,,
33,4,龟甲,龜甲,Tortoise Shell,Mai Rùa,거북 등껍질,casco de tartaruga,กระดองเต่า,config/chip/suit/img_fy_1_00.png,2,3,,1,5%,,,,
34,4,龟甲,龜甲,Tortoise Shell,Mai Rùa,거북 등껍질,casco de tartaruga,กระดองเต่า,config/chip/suit/img_fy_1_00.png,4,3,66017,,,,,,
35,4,龟甲,龜甲,Tortoise Shell,Mai Rùa,거북 등껍질,casco de tartaruga,กระดองเต่า,config/chip/suit/img_fy_1_00.png,2,4,,1,6.50%,,,,
36,4,龟甲,龜甲,Tortoise Shell,Mai Rùa,거북 등껍질,casco de tartaruga,กระดองเต่า,config/chip/suit/img_fy_1_00.png,4,4,66018,,,,,,
37,4,龟甲,龜甲,Tortoise Shell,Mai Rùa,거북 등껍질,casco de tartaruga,กระดองเต่า,config/chip/suit/img_fy_1_00.png,2,5,,1,8%,,,,
38,4,龟甲,龜甲,Tortoise Shell,Mai Rùa,거북 등껍질,casco de tartaruga,กระดองเต่า,config/chip/suit/img_fy_1_00.png,4,5,66019,,,,,,
39,4,龟甲,龜甲,Tortoise Shell,Mai Rùa,거북 등껍질,casco de tartaruga,กระดองเต่า,config/chip/suit/img_fy_1_00.png,2,6,,1,12%,,,,
40,4,龟甲,龜甲,Tortoise Shell,Mai Rùa,거북 등껍질,casco de tartaruga,กระดองเต่า,config/chip/suit/img_fy_1_00.png,4,6,66020,,,,,,
41,5,拳盾,拳盾,Fist shield,Khiên Quyền,주먹 방패,Escudo de punho,โล่หมัด,config/chip/suit/img_fy_2_00.png,2,2,,1,4%,,,,
42,5,拳盾,拳盾,Fist shield,Khiên Quyền,주먹 방패,Escudo de punho,โล่หมัด,config/chip/suit/img_fy_2_00.png,4,2,66021,,,,,,
43,5,拳盾,拳盾,Fist shield,Khiên Quyền,주먹 방패,Escudo de punho,โล่หมัด,config/chip/suit/img_fy_2_00.png,2,3,,1,5%,,,,
44,5,拳盾,拳盾,Fist shield,Khiên Quyền,주먹 방패,Escudo de punho,โล่หมัด,config/chip/suit/img_fy_2_00.png,4,3,66022,,,,,,
45,5,拳盾,拳盾,Fist shield,Khiên Quyền,주먹 방패,Escudo de punho,โล่หมัด,config/chip/suit/img_fy_2_00.png,2,4,,1,6.50%,,,,
46,5,拳盾,拳盾,Fist shield,Khiên Quyền,주먹 방패,Escudo de punho,โล่หมัด,config/chip/suit/img_fy_2_00.png,4,4,66023,,,,,,
47,5,拳盾,拳盾,Fist shield,Khiên Quyền,주먹 방패,Escudo de punho,โล่หมัด,config/chip/suit/img_fy_2_00.png,2,5,,1,8%,,,,
48,5,拳盾,拳盾,Fist shield,Khiên Quyền,주먹 방패,Escudo de punho,โล่หมัด,config/chip/suit/img_fy_2_00.png,4,5,66024,,,,,,
49,5,拳盾,拳盾,Fist shield,Khiên Quyền,주먹 방패,Escudo de punho,โล่หมัด,config/chip/suit/img_fy_2_00.png,2,6,,1,12%,,,,
50,5,拳盾,拳盾,Fist shield,Khiên Quyền,주먹 방패,Escudo de punho,โล่หมัด,config/chip/suit/img_fy_2_00.png,4,6,66025,,,,,,
51,6,蛇灵,蛇靈,Snake Soul,Hồn Rắn,뱀의 영혼,Alma de cobra,วิญญาณงู,config/chip/suit/img_fy_3_00.png,2,2,,1,4%,,,,
52,6,蛇灵,蛇靈,Snake Soul,Hồn Rắn,뱀의 영혼,Alma de cobra,วิญญาณงู,config/chip/suit/img_fy_3_00.png,4,2,66026,,,,,,
53,6,蛇灵,蛇靈,Snake Soul,Hồn Rắn,뱀의 영혼,Alma de cobra,วิญญาณงู,config/chip/suit/img_fy_3_00.png,2,3,,1,5%,,,,
54,6,蛇灵,蛇靈,Snake Soul,Hồn Rắn,뱀의 영혼,Alma de cobra,วิญญาณงู,config/chip/suit/img_fy_3_00.png,4,3,66027,,,,,,
55,6,蛇灵,蛇靈,Snake Soul,Hồn Rắn,뱀의 영혼,Alma de cobra,วิญญาณงู,config/chip/suit/img_fy_3_00.png,2,4,,1,6.50%,,,,
56,6,蛇灵,蛇靈,Snake Soul,Hồn Rắn,뱀의 영혼,Alma de cobra,วิญญาณงู,config/chip/suit/img_fy_3_00.png,4,4,66028,,,,,,
57,6,蛇灵,蛇靈,Snake Soul,Hồn Rắn,뱀의 영혼,Alma de cobra,วิญญาณงู,config/chip/suit/img_fy_3_00.png,2,5,,1,8%,,,,
58,6,蛇灵,蛇靈,Snake Soul,Hồn Rắn,뱀의 영혼,Alma de cobra,วิญญาณงู,config/chip/suit/img_fy_3_00.png,4,5,66029,,,,,,
59,6,蛇灵,蛇靈,Snake Soul,Hồn Rắn,뱀의 영혼,Alma de cobra,วิญญาณงู,config/chip/suit/img_fy_3_00.png,2,6,,1,12%,,,,
60,6,蛇灵,蛇靈,Snake Soul,Hồn Rắn,뱀의 영혼,Alma de cobra,วิญญาณงู,config/chip/suit/img_fy_3_00.png,4,6,66030,,,,,,
61,7,超能,超能,Psychic,Tâm Linh,사이킥,Psíquico,พลังจิต,config/chip/suit/img_kz_1_00.png,2,2,,1,3%,7,2%,8,2%
62,7,超能,超能,Psychic,Tâm Linh,사이킥,Psíquico,พลังจิต,config/chip/suit/img_kz_1_00.png,4,2,66031,,,,,,
63,7,超能,超能,Psychic,Tâm Linh,사이킥,Psíquico,พลังจิต,config/chip/suit/img_kz_1_00.png,2,3,,1,4%,7,3%,8,3%
64,7,超能,超能,Psychic,Tâm Linh,사이킥,Psíquico,พลังจิต,config/chip/suit/img_kz_1_00.png,4,3,66032,,,,,,
65,7,超能,超能,Psychic,Tâm Linh,사이킥,Psíquico,พลังจิต,config/chip/suit/img_kz_1_00.png,2,4,,1,5%,7,4%,8,4%
66,7,超能,超能,Psychic,Tâm Linh,사이킥,Psíquico,พลังจิต,config/chip/suit/img_kz_1_00.png,4,4,66033,,,,,,
67,7,超能,超能,Psychic,Tâm Linh,사이킥,Psíquico,พลังจิต,config/chip/suit/img_kz_1_00.png,2,5,,1,7.50%,7,5%,8,5%
68,7,超能,超能,Psychic,Tâm Linh,사이킥,Psíquico,พลังจิต,config/chip/suit/img_kz_1_00.png,4,5,66034,,,,,,
69,7,超能,超能,Psychic,Tâm Linh,사이킥,Psíquico,พลังจิต,config/chip/suit/img_kz_1_00.png,2,6,,1,9%,7,6%,8,6%
70,7,超能,超能,Psychic,Tâm Linh,사이킥,Psíquico,พลังจิต,config/chip/suit/img_kz_1_00.png,4,6,66035,,,,,,
