变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,<cn;en;tw;kr;pt;th;vn>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,vip等级限制,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
1,,{11=5},{coin6=1500},5,12,0,20990101,0,<1;210>,0,0,FALSE,<>
2,,{12=10},{coin6=300},-1,0,0,20990101,0,<1;210>,0,0,FALSE,<>
3,,{13=5},{coin6=1500},-1,0,0,20990101,0,<1;210>,0,0,FALSE,<>
4,,{14=10},{coin6=600},-1,0,0,20990101,0,<1;210>,0,0,FALSE,<>
5,,{15=5},{coin6=900},-1,0,0,20990101,0,<1;210>,0,0,FALSE,<>
6,,{16=10},{coin6=1000},-1,0,0,20990101,0,<1;210>,4,1,FALSE,<>
7,,{19=5},{coin7=90},-1,0,0,20990101,0,<1;210>,3,1,FALSE,<>
8,,{800=3},{coin7=60},-1,0,0,20990101,0,<1;210>,2,1,FALSE,<>
9,,{2209=1},{coin7=2000},-1,0,0,20990101,0,<1;210>,1,1,FALSE,<>
10,,{900=30},{coin7=100},5,1,0,20990101,0,<1;210>,1,1,FALSE,<>
101,,{21891=2},{coin6=1000},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
102,,{21251=2},{coin6=1000},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
103,,{22071=2},{coin6=600},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
104,,{23501=2},{coin6=600},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
111,,{21891=2},{coin7=120},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
112,,{21251=2},{coin7=120},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
113,,{22071=2},{coin7=70},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
114,,{23501=2},{coin7=70},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
201,,{21891=2},{coin6=1000},-1,0,0,20990101,0,<1;210>,0,0,FALSE,
202,,{21251=2},{coin6=1000},-1,0,0,20990101,0,<1;210>,0,0,FALSE,
203,,{20741=2},{coin6=1000},-1,0,0,20990101,0,<1;210>,0,0,FALSE,
204,,{21811=2},{coin6=1000},-1,0,0,20990101,0,<1;210>,0,0,FALSE,
205,,{20711=2},{coin6=1000},-1,0,0,20990101,0,<1;210>,0,0,FALSE,
206,,{23661=2},{coin6=1000},-1,0,0,20990101,0,<1;210>,0,0,FALSE,
221,,{22071=2},{coin6=600},-1,0,0,20990101,0,<1;210>,0,0,FALSE,
222,,{23501=2},{coin6=600},-1,0,0,20990101,0,<1;210>,0,0,FALSE,
223,,{22591=2},{coin6=600},-1,0,0,20990101,0,<1;210>,0,0,FALSE,
301,,{21891=2},{coin7=120},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
302,,{21251=2},{coin7=120},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
303,,{20741=2},{coin7=120},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
304,,{21811=2},{coin7=120},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
321,,{22071=2},{coin7=72},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
322,,{23501=2},{coin7=72},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
323,,{22591=2},{coin7=72},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
600,,{15=1},{coin6=200},-1,0,0,20990101,0,<1;210>,0,0,FALSE,
610,,{514=10},{coin6=500},-1,0,0,20990101,0,<1;210>,0,0,FALSE,
620,,{5000=10},{coin6=1000},-1,0,0,20990101,0,<1;210>,0,0,FALSE,
1001,,{6050=1},{coin6=32000},-1,0,0,20990101,0,<1;210>,3,5,FALSE,
1101,,{2214=1},{coin6=24000},-1,0,0,20990101,0,<1;210>,4,1,FALSE,
