变量名,daysRange,fightingPoint,level,num
默认值,<>,0,1,12000
ID,开服天数区间（左闭右开）,机器人标杆战力,机器人战队等级,机器人数量
1,<1;50>,412500,58,12000
2,<50;54>,412500,59,12000
3,<54;58>,412500,60,12000
4,<58;62>,440000,61,12000
5,<62;66>,467500,62,12000
6,<66;70>,495000,63,12000
7,<70;74>,522500,64,12000
8,<74;78>,550000,65,12000
9,<78;82>,577500,66,12000
10,<82;86>,605000,67,12000
11,<86;90>,632500,68,12000
12,<90;94>,660000,69,12000
13,<94;98>,687500,70,12000
14,<98;102>,715000,71,12000
15,<102;106>,742500,72,12000
16,<106;110>,770000,73,12000
17,<110;114>,797500,74,12000
18,<114;118>,825000,75,12000
19,<118;122>,852500,76,12000
20,<122;126>,880000,77,12000
21,<126;130>,907500,78,12000
22,<130;134>,935000,79,12000
23,<134;138>,962500,80,12000
24,<138;142>,990000,81,12000
25,<142;146>,1017500,82,12000
26,<146;150>,1045000,83,12000
27,<150;154>,1072500,84,12000
28,<154;158>,1100000,85,12000
29,<158;162>,1127500,86,12000
30,<162;166>,1155000,87,12000
31,<166;170>,1182500,88,12000
32,<170;174>,1210000,89,12000
33,<174;178>,1237500,90,12000
34,<178;182>,1265000,91,12000
35,<182;186>,1292500,92,12000
36,<186;200>,1320000,93,12000
37,<200;500>,1347500,94,12000
38,<500;1500>,1375000,95,12000
