变量名,_num,_num2,range,fightC
默认值,,,<>,1
ID,数量,阵容,玩家排名区间（左闭右开）,机器标杆战力修正
1,,,<1;11>,1.65
2,,,<11;51>,1.6
3,,,<51;90>,1.55
4,,,<90;130>,1.5
5,,,<130;170>,1.45
6,,,<170;210>,1.4
7,,,<210;250>,1.35
8,,,<250;300>,1.3
9,,,<300;350>,1.25
10,,,<350;400>,1.2
11,,,<400;450>,1.15
12,,,<450;500>,1.1
13,,,<500;800>,1.05
14,,,<800;1100>,1
15,,,<1100;1400>,0.95
16,,,<1400;1700>,0.9
17,,,<1700;2000>,0.85
18,,,<2000;2800>,0.8
19,,,<2800;3600>,0.75
20,,,<3600;4400>,0.7
21,,,<4400;5200>,0.65
22,,,<5200;6000>,0.6
23,,,<6000;7000>,0.55
24,,,<7000;8000>,0.5
25,,,<8000;9000>,0.45
26,,,<9000;10000>,0.4
27,,,<10000;9999999>,0.35
