变量名,level,fightStart,fightEnd,advanceStart,advanceEnd,starStart,starEnd,skillLevel,hpC,damageC,defenceC,specialDamageC,specialDefenceC,speedC
默认值,0,0,0,0,0,0,0,0,1.1,1.3,1.3,1.3,1.3,1
序号ID,怪物基准等级,机器人战力上限,机器人战力下限,怪物阶数上限,怪物阶数下限,怪物星级上限,怪物星级下限,怪物技能等级,血量修正,攻击修正,防御修正,特攻修正,特防修正,速度修正
1,50,1,15000,3,4,3,4,50,1.1,1.3,1.3,1.3,1.3,1
2,50,15000,20000,3,4,3,4,50,1.1,1.3,1.3,1.3,1.3,1
3,50,20000,25000,3,4,3,4,50,1.1,1.3,1.3,1.3,1.3,1
4,50,25000,30000,3,4,3,4,50,1.1,1.3,1.3,1.3,1.3,1
5,50,30000,35000,3,4,3,4,50,1.1,1.3,1.3,1.3,1.3,1
6,50,35000,40000,4,5,4,5,50,1.1,1.3,1.3,1.3,1.3,1
7,50,40000,45000,4,5,4,5,50,1.1,1.3,1.3,1.3,1.3,1
8,50,45000,50000,4,5,4,5,50,1.1,1.3,1.3,1.3,1.3,1
9,50,50000,55000,4,5,4,5,50,1.1,1.3,1.3,1.3,1.3,1
10,50,55000,60000,4,5,4,5,50,1.1,1.3,1.3,1.3,1.3,1
11,50,60000,65000,5,6,4,5,50,1.1,1.3,1.3,1.3,1.3,1
12,50,65000,70000,5,6,4,5,50,1.1,1.3,1.3,1.3,1.3,1
13,50,70000,75000,5,6,4,5,50,1.1,1.3,1.3,1.3,1.3,1
14,50,75000,80000,5,6,4,5,50,1.1,1.3,1.3,1.3,1.3,1
15,50,80000,85000,5,6,4,5,50,1.1,1.3,1.3,1.3,1.3,1
16,50,85000,90000,6,7,5,6,50,1.1,1.3,1.3,1.3,1.3,1
17,50,90000,95000,6,7,5,6,50,1.1,1.3,1.3,1.3,1.3,1
18,50,95000,100000,6,7,5,6,50,1.1,1.3,1.3,1.3,1.3,1
19,50,100000,105000,6,7,5,6,50,1.1,1.3,1.3,1.3,1.3,1
20,50,105000,110000,6,7,5,6,50,1.1,1.3,1.3,1.3,1.3,1
21,50,110000,115000,7,8,5,6,50,1.1,1.3,1.3,1.3,1.3,1
22,50,115000,120000,7,8,5,6,50,1.1,1.3,1.3,1.3,1.3,1
23,50,120000,125000,7,8,5,6,50,1.1,1.3,1.3,1.3,1.3,1
24,50,125000,130000,7,8,5,6,50,1.1,1.3,1.3,1.3,1.3,1
25,50,130000,135000,7,8,5,6,50,1.1,1.3,1.3,1.3,1.3,1
26,50,135000,140000,8,9,6,7,50,1.1,1.3,1.3,1.3,1.3,1
27,50,140000,145000,8,9,6,7,50,1.1,1.3,1.3,1.3,1.3,1
28,50,145000,150000,8,9,6,7,50,1.1,1.3,1.3,1.3,1.3,1
29,50,150000,155000,8,9,6,7,50,1.1,1.3,1.3,1.3,1.3,1
30,50,155000,160000,8,9,6,7,50,1.1,1.3,1.3,1.3,1.3,1
31,51,160000,180000,9,10,6,7,51,1.1,1.3,1.3,1.3,1.3,1
32,52,180000,200000,9,10,6,7,52,1.1,1.3,1.3,1.3,1.3,1
33,53,200000,220000,9,10,6,7,53,1.1,1.3,1.3,1.3,1.3,1
34,54,220000,240000,9,10,6,7,54,1.1,1.3,1.3,1.3,1.3,1
35,55,240000,260000,9,10,6,7,55,1.1,1.3,1.3,1.3,1.3,1
36,56,260000,280000,10,11,7,8,56,1.1,1.3,1.3,1.3,1.3,1
37,57,280000,300000,10,11,7,8,57,1.1,1.3,1.3,1.3,1.3,1
38,58,300000,320000,10,11,7,8,58,1.1,1.3,1.3,1.3,1.3,1
39,59,320000,340000,10,11,7,8,59,1.1,1.3,1.3,1.3,1.3,1
40,60,340000,360000,10,11,7,8,60,1.1,1.3,1.3,1.3,1.3,1
41,61,360000,380000,11,12,7,8,61,1.1,1.3,1.3,1.3,1.3,1
42,62,380000,400000,11,12,7,8,62,1.1,1.3,1.3,1.3,1.3,1
43,63,400000,420000,11,12,7,8,63,1.1,1.3,1.3,1.3,1.3,1
44,64,420000,440000,11,12,7,8,64,1.1,1.3,1.3,1.3,1.3,1
45,65,440000,460000,11,12,7,8,65,1.1,1.3,1.3,1.3,1.3,1
46,66,460000,480000,12,13,8,9,66,1.1,1.3,1.3,1.3,1.3,1
47,67,480000,500000,12,13,8,9,67,1.1,1.3,1.3,1.3,1.3,1
48,68,500000,520000,12,13,8,9,68,1.1,1.3,1.3,1.3,1.3,1
49,69,520000,540000,12,13,8,9,69,1.1,1.3,1.3,1.3,1.3,1
50,70,540000,560000,12,13,8,9,70,1.1,1.3,1.3,1.3,1.3,1
51,71,560000,580000,13,14,8,9,71,1.1,1.3,1.3,1.3,1.3,1
52,72,580000,600000,13,14,8,9,72,1.1,1.3,1.3,1.3,1.3,1
53,73,600000,620000,13,14,8,9,73,1.1,1.3,1.3,1.3,1.3,1
54,74,620000,640000,13,14,8,9,74,1.1,1.3,1.3,1.3,1.3,1
55,75,640000,660000,13,14,8,9,75,1.1,1.3,1.3,1.3,1.3,1
56,76,660000,680000,14,15,9,10,76,1.1,1.3,1.3,1.3,1.3,1
57,77,680000,700000,14,15,9,10,77,1.1,1.3,1.3,1.3,1.3,1
58,78,700000,720000,14,15,9,10,78,1.1,1.3,1.3,1.3,1.3,1
59,79,720000,740000,14,15,9,10,79,1.1,1.3,1.3,1.3,1.3,1
60,80,740000,760000,14,15,9,10,80,1.1,1.3,1.3,1.3,1.3,1
61,81,760000,780000,15,16,9,10,81,1.1,1.3,1.3,1.3,1.3,1
62,82,780000,800000,15,16,9,10,82,1.1,1.3,1.3,1.3,1.3,1
63,83,800000,820000,15,16,9,10,83,1.1,1.3,1.3,1.3,1.3,1
64,84,820000,840000,15,16,9,10,84,1.1,1.3,1.3,1.3,1.3,1
65,85,840000,860000,15,16,9,10,85,1.1,1.3,1.3,1.3,1.3,1
66,86,860000,880000,16,17,10,11,86,1.1,1.3,1.3,1.3,1.3,1
67,87,880000,900000,16,17,10,11,87,1.1,1.3,1.3,1.3,1.3,1
68,88,900000,920000,16,17,10,11,88,1.1,1.3,1.3,1.3,1.3,1
69,89,920000,940000,16,17,10,11,89,1.1,1.3,1.3,1.3,1.3,1
70,90,940000,960000,16,17,10,11,90,1.1,1.3,1.3,1.3,1.3,1
