变量名,realNum,totalNum
默认值,,
ID,真实玩家数量区间,总人数
1,100,150
2,200,250
3,300,400
4,400,500
5,500,600
6,600,700
7,700,800
8,800,1000
9,900,1100
10,1000,1200
11,1100,1300
12,1200,1400
13,1300,1500
14,1400,1600
15,1500,1700
16,1600,1800
17,1700,1900
18,1800,2000
19,1900,2100
20,2000,2200
21,2100,2300
22,2200,2400
23,2300,2500
24,2400,2600
25,2500,2700
26,2600,2800
27,2700,2900
28,2800,3000
29,2900,3100
30,3000,3200
31,3100,3300
32,3200,3400
33,3300,3500
34,3400,3600
35,3500,3700
36,3600,3800
37,3700,3900
38,3800,4000
39,3900,4100
40,4000,4200
41,4100,4300
42,4200,4400
43,4300,4500
44,4400,4600
45,4500,4700
46,4600,4800
47,4700,4900
48,4800,5000
49,4900,5100
50,5000,5200
51,5100,5300
52,5200,5400
53,5300,5500
54,5400,5600
55,5500,5700
56,5600,5800
57,5700,5900
58,5800,6000
59,5900,6100
60,6000,6200
61,6100,6300
62,6200,6400
63,6300,6500
64,6400,6600
65,6500,6700
66,6600,6800
67,6700,6900
68,6800,7000
69,6900,7100
70,7000,7200
71,7100,7300
72,7200,7400
73,7300,7500
74,7400,7600
75,7500,7700
76,7600,7800
77,7700,7900
78,7800,8000
79,7900,8100
80,8000,8200
81,8100,8300
82,8200,8400
83,8300,8500
84,8400,8600
85,8500,8700
86,8600,8800
87,8700,8900
88,8800,9000
89,8900,9100
90,9000,9200
91,9100,9300
92,9200,9400
93,9300,9500
94,9400,9600
95,9500,9700
96,9600,9800
97,9700,9900
98,9800,10000
99,9900,10100
100,10000,10200
101,10100,10300
102,10200,10400
103,10300,10500
104,10400,10600
105,10500,10700
106,10600,10800
107,10700,10900
108,10800,11000
109,10900,11100
110,11000,11200
111,11100,11300
112,11200,11400
113,11300,11500
114,11400,11600
115,11500,11700
116,11600,11800
117,11700,11900
118,11800,12000
119,11900,12100
120,12000,12200
121,12100,12300
122,12200,12400
123,12300,12500
124,12400,12600
125,12500,12700
126,12600,12800
127,12700,12900
128,12800,13000
129,12900,13100
130,13000,13200
131,13100,13300
132,13200,13400
133,13300,13500
134,13400,13600
135,13500,13700
136,13600,13800
137,13700,13900
138,13800,14000
139,13900,14100
140,14000,14200
141,14100,14300
142,14200,14400
143,14300,14500
144,14400,14600
145,14500,14700
146,14600,14800
147,14700,14900
148,14800,15000
149,14900,15100
150,15000,15200
151,15100,15300
152,15200,15400
153,15300,15500
154,15400,15600
155,15500,15700
156,15600,15800
157,15700,15900
158,15800,16000
159,15900,16100
160,16000,16200
161,16100,16300
162,16200,16400
163,16300,16500
164,16400,16600
165,16500,16700
166,16600,16800
167,16700,16900
168,16800,17000
169,16900,17100
170,17000,17200
171,17100,17300
172,17200,17400
173,17300,17500
174,17400,17600
175,17500,17700
176,17600,17800
177,17700,17900
178,17800,18000
179,17900,18100
180,18000,18200
181,18100,18300
182,18200,18400
183,18300,18500
184,18400,18600
185,18500,18700
186,18600,18800
187,18700,18900
188,18800,19000
189,18900,19100
190,19000,19200
191,19100,19300
192,19200,19400
193,19300,19500
194,19400,19600
195,19500,19700
196,19600,19800
197,19700,19900
198,19800,20000
199,19900,20100
200,20000,20200
201,20100,20300
202,20200,20400
203,20300,20500
204,20400,20600
205,20500,20700
206,20600,20800
207,20700,20900
208,20800,21000
209,20900,21100
210,21000,21200
211,21100,21300
212,21200,21400
213,21300,21500
214,21400,21600
215,21500,21700
216,21600,21800
217,21700,21900
218,21800,22000
219,21900,22100
220,22000,22200
221,22100,22300
222,22200,22400
223,22300,22500
224,22400,22600
225,22500,22700
226,22600,22800
227,22700,22900
228,22800,23000
229,22900,23100
230,23000,23200
231,23100,23300
232,23200,23400
233,23300,23500
234,23400,23600
235,23500,23700
236,23600,23800
237,23700,23900
238,23800,24000
239,23900,24100
240,24000,24200
241,24100,24300
242,24200,24400
243,24300,24500
244,24400,24600
245,24500,24700
246,24600,24800
247,24700,24900
248,24800,25000
249,24900,25100
250,25000,25200
251,25100,25300
252,25200,25400
253,25300,25500
254,25400,25600
255,25500,25700
256,25600,25800
257,25700,25900
258,25800,26000
259,25900,26100
260,26000,26200
261,26100,26300
262,26200,26400
263,26300,26500
264,26400,26600
265,26500,26700
266,26600,26800
267,26700,26900
268,26800,27000
269,26900,27100
270,27000,27200
271,27100,27300
272,27200,27400
273,27300,27500
274,27400,27600
275,27500,27700
276,27600,27800
277,27700,27900
278,27800,28000
279,27900,28100
280,28000,28200
281,28100,28300
282,28200,28400
283,28300,28500
284,28400,28600
285,28500,28700
286,28600,28800
287,28700,28900
288,28800,29000
289,28900,29100
290,29000,29200
291,29100,29300
292,29200,29400
293,29300,29500
294,29400,29600
295,29500,29700
296,29600,29800
297,29700,29900
298,29800,30000
299,29900,30100
300,30000,30200
301,30100,30300
302,30200,30400
303,30300,30500
304,30400,30600
305,30500,30700
306,30600,30800
307,30700,30900
308,30800,31000
309,30900,31100
310,31000,31200
311,31100,31300
312,31200,31400
313,31300,31500
314,31400,31600
315,31500,31700
316,31600,31800
317,31700,31900
318,31800,32000
319,31900,32100
320,32000,32200
321,32100,32300
322,32200,32400
323,32300,32500
324,32400,32600
325,32500,32700
326,32600,32800
327,32700,32900
328,32800,33000
329,32900,33100
330,33000,33200
331,33100,33300
332,33200,33400
333,33300,33500
334,33400,33600
335,33500,33700
336,33600,33800
337,33700,33900
338,33800,34000
339,33900,34100
340,34000,34200
341,34100,34300
342,34200,34400
343,34300,34500
344,34400,34600
345,34500,34700
346,34600,34800
347,34700,34900
348,34800,35000
349,34900,35100
350,35000,35200
351,35100,35300
352,35200,35400
353,35300,35500
354,35400,35600
355,35500,35700
356,35600,35800
357,35700,35900
358,35800,36000
359,35900,36100
360,36000,36200
361,36100,36300
362,36200,36400
363,36300,36500
364,36400,36600
365,36500,36700
366,36600,36800
367,36700,36900
368,36800,37000
369,36900,37100
370,37000,37200
371,37100,37300
372,37200,37400
373,37300,37500
374,37400,37600
375,37500,37700
376,37600,37800
377,37700,37900
378,37800,38000
379,37900,38100
380,38000,38200
381,38100,38300
382,38200,38400
383,38300,38500
384,38400,38600
385,38500,38700
386,38600,38800
387,38700,38900
388,38800,39000
389,38900,39100
390,39000,39200
391,39100,39300
392,39200,39400
393,39300,39500
394,39400,39600
395,39500,39700
396,39600,39800
397,39700,39900
398,39800,40000
399,39900,40100
400,40000,40200
401,40100,40300
402,40200,40400
403,40300,40500
404,40400,40600
405,40500,40700
406,40600,40800
407,40700,40900
408,40800,41000
409,40900,41100
410,41000,41200
411,41100,41300
412,41200,41400
413,41300,41500
414,41400,41600
415,41500,41700
416,41600,41800
417,41700,41900
418,41800,42000
419,41900,42100
420,42000,42200
421,42100,42300
422,42200,42400
423,42300,42500
424,42400,42600
425,42500,42700
426,42600,42800
427,42700,42900
428,42800,43000
429,42900,43100
430,43000,43200
431,43100,43300
432,43200,43400
433,43300,43500
434,43400,43600
435,43500,43700
436,43600,43800
437,43700,43900
438,43800,44000
439,43900,44100
440,44000,44200
441,44100,44300
442,44200,44400
443,44300,44500
444,44400,44600
445,44500,44700
446,44600,44800
447,44700,44900
448,44800,45000
449,44900,45100
450,45000,45200
451,45100,45300
452,45200,45400
453,45300,45500
454,45400,45600
455,45500,45700
456,45600,45800
457,45700,45900
458,45800,46000
459,45900,46100
460,46000,46200
461,46100,46300
462,46200,46400
463,46300,46500
464,46400,46600
465,46500,46700
466,46600,46800
467,46700,46900
468,46800,47000
469,46900,47100
470,47000,47200
471,47100,47300
472,47200,47400
473,47300,47500
474,47400,47600
475,47500,47700
476,47600,47800
477,47700,47900
478,47800,48000
479,47900,48100
480,48000,48200
481,48100,48300
482,48200,48400
483,48300,48500
484,48400,48600
485,48500,48700
486,48600,48800
487,48700,48900
488,48800,49000
489,48900,49100
490,49000,49200
491,49100,49300
492,49200,49400
493,49300,49500
494,49400,49600
495,49500,49700
496,49600,49800
497,49700,49900
498,49800,50000
499,49900,50100
500,50000,50200
501,50100,50300
502,50200,50400
503,50300,50500
504,50400,50600
505,50500,50700
506,50600,50800
507,50700,50900
508,50800,51000
509,50900,51100
510,51000,51200
511,51100,51300
512,51200,51400
513,51300,51500
514,51400,51600
515,51500,51700
516,51600,51800
517,51700,51900
518,51800,52000
519,51900,52100
520,52000,52200
521,52100,52300
522,52200,52400
523,52300,52500
524,52400,52600
525,52500,52700
526,52600,52800
527,52700,52900
528,52800,53000
529,52900,53100
530,53000,53200
531,53100,53300
532,53200,53400
533,53300,53500
534,53400,53600
535,53500,53700
