变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,type,group,groupWeight,quality,icon,weight,skillID,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th
默认值,"""""","""""","""""","""""","""""","""""","""""",1,,,1,"""""",100,1,"""""","""""","""""","""""","""""","""""",""""""
ID,描述,描述,描述,描述,描述,描述,描述,类型,组别,同组别提升权重,品质-底与标题1.绿.2.黄.3.蓝4.橙.5.粉.6.紫.7.红,图标,随机权重,被动技能ID,描述,描述,描述,描述,描述,描述,描述
1,无双I,無雙I,Warriors I,Chiến Binh I,전사 I,Guerreiros I,นักรบฉัน,101,1,300,7,city/adventure/random_tower/icon/icon_gj.png,,81001,己方全体精灵双攻提升10%，持续全场#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果额外获得5%）#L0##C0xFF3D3D#,己方全體精靈雙攻提升10%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果額外獲得5%）#L0##C0xFF3D3D#,"Dual ATK of all allied Pokémon increases by 10%, lasts for the whole battle#L0##C0xFF3D3D#(When possessing other effects of the same series, the effect gains an additional 5%)#L0##C0xFF3D3D#","Toàn bộ Pokémon phe ta tăng 10% cả hai Công, kéo dài cả trận#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, hiệu quả nhận thêm 5%)#L0##C0xFF3D3D#","아군 전체 포켓몬의 양공이 10% 증가하며, 전투 내내 지속됩니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 효과가 추가로 5% 증가)#L0##C0xFF3D3D#","poder de ataque duplo de todos os elfos do seu lado é aumentado em 10%, durando por todo o campo. #L0##C0xFF3D3D# (Quando você tem outros efeitos da mesma série, o efeito será aumentado em mais 5%) #L0##C0xFF3D3D#",พลังโจมตีสองเท่าของเอลฟ์ทั้งหมดในฝ่ายของคุณเพิ่มขึ้น 10% ตลอดทั้งสนาม #L0##C0xFF3D3D# (เมื่อคุณมีเอฟเฟกต์อื่นๆ จากซีรีส์เดียวกัน เอฟเฟกต์จะเพิ่มขึ้นอีก 5%) #L0##C0xFF3D3D#
2,无双II,無雙II,Warriors II,Chiến Binh II,전사 II,Guerreiros II,นักรบ 2,201,1,200,7,city/adventure/random_tower/icon/icon_gj.png,,81002,己方后排精灵双攻提升15%，持续全场#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果额外获得8%）#L0##C0xFF3D3D#,己方後排精靈雙攻提升15%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果額外獲得8%）#L0##C0xFF3D3D#,"Dual ATK of allied back-row Pokémon increases by 15%, lasts for the whole battle#L0##C0xFF3D3D#(When possessing other effects of the same series, the effect gains an additional 8%)#L0##C0xFF3D3D#","Pokémon hàng sau phe ta tăng 15% cả hai Công, kéo dài cả trận#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, hiệu quả nhận thêm 8%)#L0##C0xFF3D3D#","아군 후열 포켓몬의 양공이 15% 증가하며, 전투 내내 지속됩니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 효과가 추가로 8% 증가)#L0##C0xFF3D3D#","O ataque duplo dos seus próprios elfos da última fileira aumenta em 15%, durando por todo o campo #L0##C0xFF3D3D# (Quando outros efeitos da mesma série estiverem disponíveis, o efeito ganhará 8% adicionais) #L0##C0xFF3D3D #",การโจมตีสองครั้งจากเอลฟ์แถวหลังของคุณเพิ่มขึ้น 15% มีผลตลอดทั้งสนาม #L0##C0xFF3D3D# (เมื่อมีเอฟเฟกต์อื่นๆ จากซีรีส์เดียวกัน เอฟเฟกต์จะได้รับเพิ่มเติม 8%) #L0##C0xFF3D3D #
3,无双III,無雙III,Warriors III,Chiến Binh III,전사 III,Guerreiros III,นักรบ 3,301,1,100,7,city/adventure/random_tower/icon/icon_gj.png,,81003,己方攻击最高的单位双攻提升20%#L0##C0xFF3D3D#（同时拥有无双I、无双II、无双III效果翻倍）#L0##C0xFF3D3D#,己方攻擊最高的單位雙攻提升20%#L0##C0xFF3D3D#（同時擁有無雙I、無雙II、無雙III效果翻倍）#L0##C0xFF3D3D#,"Dual ATK of the allied unit with the highest ATK increases by 20%#L0##C0xFF3D3D#(The effect is doubled when possessing Warriors I, Warriors II, and Warriors III simultaneously)#L0##C0xFF3D3D#","Đơn vị có Công cao nhất phe ta tăng 20% cả hai Công#L0##C0xFF3D3D#(Khi sở hữu đồng thời hiệu ứng Vô Song I, Vô Song II, Vô Song III, hiệu quả tăng gấp đôi)#L0##C0xFF3D3D#","아군 공격력이 가장 높은 유닛의 양공이 20% 증가합니다#L0##C0xFF3D3D#(무쌍I, 무쌍II, 무쌍III 효과를 동시에 보유 시 효과 두 배)#L0##C0xFF3D3D#","O ataque duplo da unidade com o maior ataque do seu lado é aumentado em 20% #L0##C0xFF3D3D# (O efeito de ter Musou I, Musou II e Musou III ao mesmo tempo é dobrado) #L0##C0xFF3D3D#","การโจมตีสองครั้งของหน่วยที่มีการโจมตีสูงสุดในฝั่งของคุณจะเพิ่มขึ้น 20% #L0##C0xFF3D3D# (เอฟเฟกต์ของการมี Musou I, Musou II และ Musou III ในเวลาเดียวกันจะเพิ่มขึ้นเป็นสองเท่า) #L0##C0xFF3D3D#"
4,冷血I,冷血I,Cold Blood I,Máu Lạnh I,냉혈 I,Sangue Frio I,เลือดเย็น ฉัน,201,2,300,4,city/adventure/random_tower/icon/icon_bj.png,,81004,己方后排暴击率提升10%#L0##C0xFF3D3D#（拥有其他同一系列，效果翻倍）#L0##C0xFF3D3D#,己方後排暴擊率提升10%#L0##C0xFF3D3D#（擁有其他同一系列，效果翻倍）#L0##C0xFF3D3D#,Crit Rate of allied back-row Pokémon increases by 10%#L0##C0xFF3D3D#(The effect is doubled when possessing other effects of the same series)#L0##C0xFF3D3D#,"Tỷ lệ Bạo kích của Pokémon hàng sau phe ta tăng 10%#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, hiệu quả tăng gấp đôi)#L0##C0xFF3D3D#","아군 후열의 치명타 확률이 10% 증가합니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 효과 두 배)#L0##C0xFF3D3D#","A taxa de acerto crítico da sua própria fileira de trás é aumentada em 10% #L0##C0xFF3D3D# (Se você tiver outros membros da mesma série, o efeito é dobrado) #L0##C0xFF3D3D#",อัตราการโจมตีคริติคอลของแถวหลังของคุณเองเพิ่มขึ้น 10% #L0##C0xFF3D3D# (หากคุณมีสมาชิกคนอื่นจากซีรีส์เดียวกัน ผลจะเพิ่มเป็นสองเท่า) #L0##C0xFF3D3D#
5,冷血II,冷血II,Cold Blood II,Máu Lạnh II,냉혈 II,Sangue Frio II,เลือดเย็น 2,301,2,200,4,city/adventure/random_tower/icon/icon_bj.png,,81005,己方后排暴击伤害提升20%#L0##C0xFF3D3D#（拥有其他同一系列，效果翻倍）#L0##C0xFF3D3D#,己方後排暴擊傷害提升20%#L0##C0xFF3D3D#（擁有其他同一系列，效果翻倍）#L0##C0xFF3D3D#,Crit DMG of allied back-row Pokémon increases by 20%#L0##C0xFF3D3D#(The effect is doubled when possessing other effects of the same series)#L0##C0xFF3D3D#,"Sát thương Bạo kích của Pokémon hàng sau phe ta tăng 20%#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, hiệu quả tăng gấp đôi)#L0##C0xFF3D3D#","아군 후열의 치명타 피해가 20% 증가합니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 효과 두 배)#L0##C0xFF3D3D#","O dano de acerto crítico da sua própria fileira de trás é aumentado em 20% #L0##C0xFF3D3D# (Se houver outros membros da mesma série, o efeito é dobrado) #L0##C0xFF3D3D#",ความเสียหายจากการโจมตีคริติคอลของแถวหลังของคุณเองเพิ่มขึ้น 20% #L0##C0xFF3D3D# (หากมีสมาชิกคนอื่นจากซีรีส์เดียวกัน เอฟเฟกต์จะเพิ่มเป็นสองเท่า) #L0##C0xFF3D3D#
6,嗜血I,嗜血I,Bloodthirsty I,Khát Máu I,피의 갈증 I,Sanguinário I,กระหายเลือด ฉัน,1201,3,300,7,city/adventure/random_tower/icon/icon_xx.png,,81006,己方后排吸血率提升8%#L0##C0xFF3D3D#（拥有其他同一系列，吸血效果提升4%）#L0##C0xFF3D3D#,己方後排吸血率提升8%#L0##C0xFF3D3D#（擁有其他同一系列，吸血效果提升4%）#L0##C0xFF3D3D#,"Lifesteal Rate of allied back-row Pokémon increases by 8%#L0##C0xFF3D3D#(When possessing other effects of the same series, the lifesteal effect increases by 4%)#L0##C0xFF3D3D#","Tỷ lệ hút máu của Pokémon hàng sau phe ta tăng 8%#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, hiệu quả hút máu tăng 4%)#L0##C0xFF3D3D#","아군 후열의 흡혈률이 8% 증가합니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 흡혈 효과가 4% 증가)#L0##C0xFF3D3D#","taxa de roubo de sangue da sua própria linha de trás aumenta em 8%#L0##C0xFF3D3D#(Se houver outros membros da mesma linha, o efeito de roubo de sangue aumenta em 4%)#L0##C0xFF3D3D#",อัตราการขโมยเลือดของแถวหลังของคุณเพิ่มขึ้น 8%#L0##C0xFF3D3D#(หากมีสมาชิกคนอื่นในแถวเดียวกัน เอฟเฟกต์การขโมยเลือดจะเพิ่มขึ้น 4%)#L0##C0xFF3D3D#
7,嗜血II,嗜血II,Bloodthirsty II,Khát Máu II,피의 갈증 II,Sanguinário II,กระหายเลือด II,1301,3,200,7,city/adventure/random_tower/icon/icon_xx.png,,81007,己方攻击时附带偷取5%双攻，最高可叠加2层#L0##C0xFF3D3D#（拥有其他同一系列，效果翻倍）#L0##C0xFF3D3D#,己方攻擊時附帶偷取5%雙攻，最高可疊加2層#L0##C0xFF3D3D#（擁有其他同一系列，效果翻倍）#L0##C0xFF3D3D#,"When an ally attacks, it steals 5% of the target's dual ATK, stacks up to 2 times#L0##C0xFF3D3D#(The effect is doubled when possessing other effects of the same series)#L0##C0xFF3D3D#","Khi phe ta tấn công, cướp 5% cả hai Công, cộng dồn tối đa 2 lần#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, hiệu quả tăng gấp đôi)#L0##C0xFF3D3D#","아군 공격 시 대상의 양공 5%를 훔치며, 최대 2스택까지 중첩됩니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 효과 두 배)#L0##C0xFF3D3D#","Quando seu próprio lado ataca, ele também rouba 5% do ataque duplo, que pode ser sobreposto em até 2 camadas #L0##C0xFF3D3D# (Se você tiver outros da mesma série, o efeito é dobrado) #L0##C0xFF3D3D#",เมื่อฝั่งของคุณโจมตี มันจะขโมย 5% ของการโจมตีสองครั้ง ซึ่งสามารถซ้อนทับได้สูงสุด 2 ชั้น #L0##C0xFF3D3D# (หากคุณมีตัวอื่นในซีรีส์เดียวกัน ผลจะเพิ่มเป็นสองเท่า) #L0##C0xFF3D3D#
8,锋芒I,鋒芒I,Edge I,Sắc Bén I,칼날 I,Borda I,เอจ ฉัน,101,4,300,7,city/adventure/random_tower/icon/icon_sh1.png,,81008,己方全体精灵伤害加成提升10%，持续全场#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果额外获得5%）#L0##C0xFF3D3D#,己方全體精靈傷害加成提升10%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果額外獲得5%）#L0##C0xFF3D3D#,"Damage bonus of all allied Pokémon increases by 10%, lasts for the whole battle#L0##C0xFF3D3D#(When possessing other effects of the same series, the effect gains an additional 5%)#L0##C0xFF3D3D#","Thưởng sát thương của toàn bộ Pokémon phe ta tăng 10%, kéo dài cả trận#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, hiệu quả nhận thêm 5%)#L0##C0xFF3D3D#","아군 전체 포켓몬의 피해 보너스가 10% 증가하며, 전투 내내 지속됩니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 효과가 추가로 5% 증가)#L0##C0xFF3D3D#","O bônus de dano de todos os elfos do seu lado é aumentado em 10%, durando por todo o campo. #L0##C0xFF3D3D# (Quando você tem outros efeitos da mesma série, este efeito ganhará 5% adicionais) #L0##C0xFF3D3D#",โบนัสความเสียหายของเอลฟ์ทั้งหมดในฝั่งของคุณเพิ่มขึ้น 10% ตลอดทั้งสนาม #L0##C0xFF3D3D# (เมื่อคุณมีเอฟเฟกต์อื่นๆ จากซีรีส์เดียวกัน เอฟเฟกต์นี้จะได้รับเพิ่มเติม 5%) #L0##C0xFF3D3D#
