变量名,day,time,weight1,randLib1,weight2,randLib2
默认值,0,0,0,{},0,{}
ID,第几天,刷新时间,刷新权值1,随机库1,刷新权值2,随机库2
1,1,1230,90,{11=1},90,{11=1}
2,1,1530,90,{12=1},90,{12=1}
3,1,1830,90,{13=1},90,{13=1}
4,1,2130,90,{22=1},90,{22=1}
11,2,1230,90,{31=1},90,{31=1}
12,2,1530,90,{32=1},90,{32=1}
13,2,1830,90,{33=1},90,{33=1}
14,2,2130,90,{33=1},90,{33=1}
21,3,1230,90,{41=1},90,{41=1}
22,3,1530,90,{42=1},90,{42=1}
23,3,1830,90,{43=1},90,{43=1}
24,3,2130,90,{43=1},90,{43=1}
31,1,500,90,{5=5},90,{5=5}
32,2,500,90,{5=5},90,{5=5}
33,3,500,90,{5=5},90,{5=5}
