变量名,cardId,_name,_rarity,level,advance,star,skillLevels,abilities,nvalue,fetters,equipAdvance,equipStar,equipLevel,equipAwake,speedRate,languages,hp,damage,specialDamage,defence,specialDefence,strikeLevel,strikeDamage,strikeResistance,blockLevel,breakBlockLevel,blockPower,damageAdd,damageSub,mainSkillAdd,mainSkillSub
默认值,0,"""""",,80,17,12,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;speed=31;damage=31;defence=31;specialDamage=31;specialDefence=31},TRUE,16,5,90,5,0,<cn;kr;tw;en;pt;th;vn>,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
ID,卡牌ID,名字,修正稀有度,等级,阶数,星数,技能等级,潜能等级,个体值,羁绊,饰品阶数,饰品星级,饰品等级,饰品觉醒等级,速度值继承比例,语言区域,血量,物攻,特攻,物防,特防,暴击等级,暴击伤害,暴击抗性,格挡等级,破格挡等级,格挡强度,伤害加成,伤害减免,大招伤害加成,大招伤害抗性
1001,3,,,100,21,12,<100;100;100;100;100;100>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,20,5,90,5,0,,160%,160%,160%,160%,160%,,,,,,,,,,
1002,13,,,100,21,12,<100;100;100;100;100;100>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,20,5,90,5,0,,160%,160%,160%,160%,160%,,,,,,,,,,
1003,23,,,100,21,12,<100;100;100;100;100;100>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,20,5,90,5,0,,160%,160%,160%,160%,160%,,,,,,,,,,
1004,53,,,100,21,12,<100;100;100;100;100;100>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,20,5,90,5,0,,160%,160%,160%,160%,160%,,,,,,,,,,
1005,93,,,100,21,12,<100;100;100;100;100;100>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,20,5,90,5,0,,160%,160%,160%,160%,160%,,,,,,,,,,
1006,133,,,100,21,12,<100;100;100;100;100;100>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,20,5,90,5,0,,160%,160%,160%,160%,160%,,,,,,,,,,
1007,163,,,90,19,12,<90;90;90;90;90;90>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,18,5,90,5,0,,120%,120%,120%,120%,120%,,,,,,,,,,
1008,222,,,100,21,12,<100;100;100;100;100;100>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,20,5,90,5,0,,160%,160%,160%,160%,160%,,,,,,,,,,
1009,242,,,90,19,12,<90;90;90;90;90;90>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,18,5,90,5,0,,120%,120%,120%,120%,120%,,,,,,,,,,
1010,263,,,90,19,12,<90;90;90;90;90;90>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,18,5,90,5,0,,120%,120%,120%,120%,120%,,,,,,,,,,
1011,273,,,100,21,12,<100;100;100;100;100;100>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,20,5,90,5,0,,160%,160%,160%,160%,160%,,,,,,,,,,
1012,283,,,100,21,12,<100;100;100;100;100;100>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,20,5,90,5,0,,160%,160%,160%,160%,160%,,,,,,,,,,
1013,303,,,100,21,12,<100;100;100;100;100;100>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,20,5,90,5,0,,160%,160%,160%,160%,160%,,,,,,,,,,
1014,333,,,90,19,12,<90;90;90;90;90;90>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,18,5,90,5,0,,120%,120%,120%,120%,120%,,,,,,,,,,
1015,341,,,100,21,12,<100;100;100;100;100;100>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,20,5,90,5,0,,160%,160%,160%,160%,160%,,,,,,,,,,
1016,372,,,100,21,12,<100;100;100;100;100;100>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,20,5,90,5,0,,160%,160%,160%,160%,160%,,,,,,,,,,
1017,382,,,90,19,12,<90;90;90;90;90;90>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,18,5,90,5,0,,120%,120%,120%,120%,120%,,,,,,,,,,
1018,393,,,90,19,12,<90;90;90;90;90;90>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,18,5,90,5,0,,120%,120%,120%,120%,120%,,,,,,,,,,
1019,402,,,90,19,12,<90;90;90;90;90;90>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,18,5,90,5,0,,120%,120%,120%,120%,120%,,,,,,,,,,
1020,462,,,100,21,12,<100;100;100;100;100;100>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,20,5,90,5,0,,160%,160%,160%,160%,160%,,,,,,,,,,
1021,463,,,100,21,12,<100;100;100;100;100;100>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,20,5,90,5,0,,160%,160%,160%,160%,160%,,,,,,,,,,
1022,464,,,100,21,12,<100;100;100;100;100;100>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,20,5,90,5,0,,160%,160%,160%,160%,160%,,,,,,,,,,
1023,472,,,100,21,12,<100;100;100;100;100;100>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,20,5,90,5,0,,160%,160%,160%,160%,160%,,,,,,,,,,
1024,482,,,100,21,12,<100;100;100;100;100;100>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,20,5,90,5,0,,160%,160%,160%,160%,160%,,,,,,,,,,
1025,493,,,90,19,12,<90;90;90;90;90;90>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,18,5,90,5,0,,120%,120%,120%,120%,120%,,,,,,,,,,
1026,552,,,100,21,12,<100;100;100;100;100;100>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,20,5,90,5,0,,160%,160%,160%,160%,160%,,,,,,,,,,
1027,572,,,90,19,12,<90;90;90;90;90;90>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,18,5,90,5,0,,120%,120%,120%,120%,120%,,,,,,,,,,
1028,593,,,90,19,12,<90;90;90;90;90;90>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,18,5,90,5,0,,120%,120%,120%,120%,120%,,,,,,,,,,
1029,603,,,90,19,12,<90;90;90;90;90;90>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,18,5,90,5,0,,120%,120%,120%,120%,120%,,,,,,,,,,
1030,631,,,90,19,12,<90;90;90;90;90;90>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,18,5,90,5,0,,120%,120%,120%,120%,120%,,,,,,,,,,
1031,641,,,90,19,12,<90;90;90;90;90;90>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{specialDefence=31;defence=31;damage=31;hp=31;specialDamage=31;speed=31},TRUE,18,5,90,5,0,,120%,120%,120%,120%,120%,,,,,,,,,,
