变量名,rankMax,award,version
默认值,,{},0
ID,最大排名,排名奖励,奖励版本
1,1,{521=20;coin3=3000;gold=900000},0
2,2,{521=10;coin3=2000;gold=750000},0
3,3,{521=9;coin3=1000;gold=675000},0
4,4,{521=8;coin3=800;gold=600000},0
5,8,{521=7;coin3=650;gold=525000},0
6,16,{521=6;coin3=550;gold=450000},0
7,32,{521=5;coin3=450;gold=420000},0
8,64,{521=5;coin3=400;gold=390000},0
9,100,{521=4;coin3=360;gold=360000},0
10,200,{521=4;coin3=320;gold=330000},0
11,300,{521=4;coin3=290;gold=300000},0
12,500,{521=3;coin3=250;gold=270000},0
13,1000,{521=3;coin3=200;gold=255000},0
14,2000,{521=3;coin3=180;gold=240000},0
15,9999,{521=2;coin3=160;gold=225000},0
