变量名,_yyId,_beizhu,card1,res1,resScale1,resPos1,titleRes1,posRes1,card2,res2,resScale2,resPos2,titleRes2,posRes2
默认值,,,,,1,{x=0;y=0},"""""","""""",,,1,{x=0;y=0},"""""",""""""
ID,活动ID,备注,卡牌ID,立绘,立绘缩放,立绘偏移位子,卡牌名字美术字资源,定位美术字资源,卡牌ID,立绘,立绘缩放,立绘偏移位子,卡牌名字美术字资源,定位美术字资源
1,,,1971,config/big_hero/normal/img_383_gld@.png,2.618,{y=0;x=0},common/txt/txt_gld.png,common/txt/txt_dw_gld.png,,,1,{y=0;x=0},,
2,,,1971,config/big_hero/normal/img_383_gld@.png,2.618,{y=0;x=0},common/txt/txt_gld.png,common/txt/txt_dw_gld.png,1961,,2,{y=0;x=0},common/txt/txt_gok.png,common/txt/txt_dw_gok.png
3,,,1971,config/big_hero/normal/img_383_gld@.png,1,{y=0;x=0},common/txt/txt_gld.png,common/txt/txt_dw_gld.png,,,1,{y=0;x=0},,
4,,,1261,config/big_hero/normal/img_249_lqy@.png,2.618,{y=0;x=0},common/txt/txt_lqy.png,common/txt/txt_dw_lqy.png,,,1,{y=0;x=0},,
5,,,3631,config/big_hero/standby/img_719_dax@.png,2.33,{y=0;x=0},common/txt/txt_dax.png,common/txt/txt_dw_dax.png,,,1,{y=0;x=0},,
6,,,1971,config/big_hero/normal/img_383_gld@.png,2.618,{y=0;x=0},common/txt/txt_gld.png,common/txt/txt_dw_gld.png,,,1,{y=0;x=0},,
7,,,1981,config/big_hero/normal/img_384_lkz@.png,2.618,{y=0;x=0},common/txt/txt_lkz.png,common/txt/txt_dw_lkz.png,,,1,{y=0;x=0},,
8,,,1261,config/big_hero/normal/img_249_lqy@.png,2.618,{y=0;x=0},common/txt/txt_lqy.png,common/txt/txt_dw_lqy.png,,,1,{y=0;x=0},,
9,,,2431,config/big_hero/normal/img_491_dkly@.png,1.6,{y=0;x=0},common/txt/txt_dkly.png,common/txt/txt_dw_dkly.png,3631,config/big_hero/standby/img_719_dax@.png,2.33,{y=0;x=0},common/txt/txt_dax.png,common/txt/txt_dw_dax.png
10,,,2381,config/big_hero/normal/img_486_ljqks@.png,2.33,{y=0;x=0},common/txt/txt_ljqks.png,common/txt/txt_dw_ljqks.png,1261,config/big_hero/normal/img_249_lqy@.png,2.14,{y=0;x=0},common/txt/txt_lqy.png,common/txt/txt_dw_lqy.png
