变量名,eventID,_name,delay,sound,damageSeg,hpSeg,segInterval,shaker,music,zOrder ,move,show,effectType,effectRes,effectArgs,otherEventIDs,follow,onlyTargetShow,jumpFlag,control
默认值,,,,,,,,{beginT=0;endT=100;disx=15;disy=20;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
ID,spine里的eventID,技能过程名,延迟,音效（废弃）,伤害分段,加血分段,伤害或加血时间间隔,震动,背景音乐,调整目标的层级，格式：<{delay=0;zorder=999;lastTime=500};{}> zorder：可正可负.层级值越大，层级越接近玩家的眼睛位置.lastTime：持续时间，配置该字段，一段时间后会自动恢复原来的层级. 示例： <{delay=0;zorder=-999;lastTime=2000};{}>  ,移动（teamClose=per，让目标往中间靠拢，per是靠近的比例值，原始距离为目前和它周围的几个目标的间距）,显示隐藏,特效类型（0-播放本体spine动作; 1-以res为资源路径创建新的特效）,特效资源或动作名.对应到前面的effectType字段，如果是动作，填对应的动作名.如果是创建新资源，填特效资源路径 lugushou/qietu.skel,特效参数是对新创建资源才有效的参数.配置格式： {offsetX=0;offsetY=0;delay=2000;addTolayer=-1;zorder=6;aniName=genggui_skill2;aniLoop=false;lastTime=60000;screenPos=0} delay表示延迟时间，和其它字段的一样. addToLayer 有两个值，1表示在 角色上层， -1表示在角色下层.默认可以不填，放在下层;offsetxy相对目标的位置偏移/zorder层级(0代表目标本身那层，直接填0会在目标上层显示.值越大层越靠近玩家眼睛)/flytime飞行时间(可以让特效飞行的)/flyXY飞行距离偏移/存活时间 （时间单位都是ms)  ,相关的其他帧事件id组，不能填自己，或者互相调用,跟随骨骼：{bones=<Hitman_move;Hitman_move1;Hitman_move2>},仅显示本次过程段中的目标,大招跳过,单位身上挂件{lifeBar:血条}
90,90,,1000,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,,,,,,TRUE,TRUE,
91,91,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,,,,,,TRUE,,
111,1001,,,,<0.5;0.5>,,<0;166.6>,{isRepeat=true;disy=10;endT=100;beginT=0;interval=0;count=1;disx=10},,,,,,,,,,FALSE,,{lifeBar={show=true}}
121,1003,,,,<0.3;0.3;0.4>,,<0;166.6;166.6>,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,,,,,,FALSE,,{lifeBar={show=true}}
131,1006,,,,<0.1;0.1;0.1;0.1;0.2;0.2;0.2>,,<0;1433.3;133.3;133.3;166.6;166.6;200>,{isRepeat=true;disy=30;endT=100;beginT=0;interval=0;count=1;disx=20},,,,,,,,,,TRUE,,
132,1091,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,<{zorder=999;delay=0;lastTime=9999}>,<{absY=680;absX=1680;delay=0;t=0};{absY=880;absX=1000;delay=2280;t=80};{absY=-500;scale=1.4;delay=2420;absX=1350;t=0};{absY=700;scale=1.4;delay=2460;absX=1350;t=170};{t=900;scale=0.8;delay=2620;absX=1350;rot=5;absY=800}>,<{hide=true;delay=825;lastTime=800};{hide=true;delay=2420;lastTime=100}>,,,,<90;1092>,,TRUE,,
133,1092,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/sudu_bj.skel,{scale=1;screenPos=0;offsetY=-350;addTolayer=-1;aniLoop=false;zorder=1;offsetX=-350;lastTime=4833.3;aniName=miaowazhongzi_skill2},,,TRUE,,
211,2001,,,,<0.5;0.5>,,<0;133.3>,{isRepeat=true;disy=10;endT=100;beginT=0;interval=0;count=1;disx=10},,,,,,,,,,FALSE,,{lifeBar={show=true}}
221,2003,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;100;100;100;100>,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,,,,,,FALSE,,{lifeBar={show=true}}
231,2008,,,,<0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.1;0.1>,,<0;133.3;133.3;133.3;133.3;133.3;1233.3;133.3;133.3;433.3;133.3;100;133.3;100;133.3;133.3;100;100>,{isRepeat=true;disy=30;endT=100;beginT=0;interval=0;count=1;disx=20},,,,,,,,,,TRUE,,
232,2091,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,<{absY=600;scale=1.2;delay=0;absX=1700;t=0}>,<{hide=true;delay=0;lastTime=4500}>,,,,<90;2092>,,TRUE,,
233,2092,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/moren_bj.skel,{scale=1;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=false;zorder=1;offsetX=0;lastTime=8166.6;aniName=miaowacao_skill2},,,TRUE,,
311,3001,,,,<1>,,<0>,{isRepeat=true;disy=10;endT=100;beginT=0;interval=0;count=1;disx=10},,,,,,,,,,FALSE,,{lifeBar={show=true}}
321,3002,,,,<0.3;0.3;0.4>,,<0;466.6;833.3>,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,,,,,,FALSE,,{lifeBar={show=true}}
331,3005,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1>,,<0;100;100;100;100;100;100;100;100;100>,{isRepeat=true;disy=30;endT=100;beginT=0;interval=0;count=1;disx=20},,,,,,,,,,TRUE,,
332,3091,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,<{zorder=10;delay=0;lastTime=6000}>,<{absY=550;scale=1.3;delay=0;absX=1900;t=0}>,<{hide=true;delay=0;lastTime=6000}>,,,,<90;3092;3093>,,TRUE,,
333,3092,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/tiankong.skel,{scale=0.75;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=false;zorder=99;offsetX=0;lastTime=7833.3;delay=0;aniName=miaowahua_skill2},,,TRUE,,
334,3093,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/huangtu.skel,{scale=0.75;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=false;zorder=99;offsetX=0;lastTime=7833.3;delay=0;aniName=miaowahua_skill2},,,TRUE,,
411,3101,,,,<1>,,<0>,{isRepeat=true;disy=10;endT=100;beginT=0;interval=0;count=1;disx=10},,,,,,,,,,FALSE,,{lifeBar={show=true}}
421,3102,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;133.3;133.3;133.3;133.3>,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,,,,,,FALSE,,{lifeBar={show=true}}
431,3107,,,,<0.05;0.05;0.05;0.05;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1>,,<0;2397.6;166.6;166.6;166.6;166.6;166.6;166.6;166.6;166.6;200;200>,{isRepeat=true;disy=30;endT=100;beginT=0;interval=0;count=1;disx=20},,,,,,,,,,TRUE,,
432,1,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,,,,<90;3192;3193;3194;3195>,{bones=<hitman_move1>},TRUE,,
433,3192,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/huahai.skel,{scale=0.65;screenPos=0;offsetY=100;addTolayer=1;aniLoop=false;zorder=99;offsetX=0;lastTime=12166.66;delay=0;aniName=miaowahuamega_skill2_qian},,,TRUE,,
434,3193,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/huahai.skel,{scale=0.7;screenPos=0;offsetY=25;addTolayer=-1;aniLoop=false;zorder=-1;offsetX=0;lastTime=12166.66;delay=0;aniName=miaowahuamega_skill2_hou},,,TRUE,,
435,3194,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/dizhen.skel,{scale=0.7;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=false;zorder=-2;offsetX=0;lastTime=12166.66;delay=0;aniName=miaowahuamega_skill2},,,TRUE,,
436,3195,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/tiankong_x.skel,{scale=0.6;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=false;zorder=-3;offsetX=-80;lastTime=12166.66;delay=0;aniName=miaowahuamega_skill2},,,TRUE,,
1111,4001,,,,<0.3;0.3;0.4>,,<0;100;133.3>,{isRepeat=true;disy=10;endT=100;beginT=0;interval=0;count=1;disx=10},,,,,,,,,,FALSE,,{lifeBar={show=true}}
1121,4004,,,,<0.25;0.25;0.25;0.25>,,<0;266.6;166.6;166.6>,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,,,,,,FALSE,,{lifeBar={show=true}}
1131,4008,,,,<0.3;0.3;0.4>,,<0;133.3;166.6>,{isRepeat=true;disy=30;endT=100;beginT=0;interval=0;count=1;disx=20},,,,,,,,,,TRUE,,
1132,4091,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,<{hide=true;delay=0;lastTime=1600}>,,,,<90;4092>,,TRUE,,
1133,4092,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/sudu_bj_guang.skel,{scale=1.2;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=false;zorder=-1;offsetX=-200;lastTime=4900;aniName=xiaohuolong_skill2},,,TRUE,,
1211,5001,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;133.3;366.6;100;100>,{isRepeat=true;disy=10;endT=100;beginT=0;interval=0;count=1;disx=10},,,,,,,,,,FALSE,,{lifeBar={show=true}}
1221,5006,,,,<0.1;0.1;0.1;0.1;0.2;0.2;0.2>,,<0;100;100;666.6;66.6;66.6;66.6>,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,,,,,,FALSE,,{lifeBar={show=true}}
