变量名,_beizhu,type,itemWeightMap,itemCount,itemMap,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable,languages
默认值,,0,{},0,{},{equip_awake_frag=0},0,1,0,20990101,0,<1;200>,0,0,FALSE,<cn;tw;en;vn;th;kr;pt>
商店ID,备注,类型 1-固定；2-刷新,商品ID表({ID=权重;}),商品个数,商品ID表(ID=数量),消耗,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
1,,2,{203=100;235=100;200=100;234=100;201=100;213=100;231=100;215=100;225=100;224=100;212=100;230=100;211=100;214=100;210=100;221=100;222=100;220=100;204=100;223=100;205=100;233=100;202=100;232=100},1,{},{equip_awake_frag=200},0,1,0,20990101,1,<1;200>,0,0,FALSE,
2,,2,{203=100;235=100;200=100;234=100;201=100;213=100;231=100;215=100;225=100;224=100;212=100;230=100;211=100;214=100;210=100;221=100;222=100;220=100;204=100;223=100;205=100;233=100;202=100;232=100},1,{},{equip_awake_frag=200},0,1,0,20990101,2,<1;200>,0,0,FALSE,
3,,2,{30201=100;31201=100;30206=100;30209=100;30205=100;30208=100;30207=100;30202=100;31202=100;30203=100;30204=100},1,{},{equip_awake_frag=60},0,1,0,20990101,3,<1;200>,0,0,FALSE,
4,,2,{30315=100;30308=150;30309=150;30302=100;30303=100;30307=150;30304=100;30316=100;30317=100;30310=150;30313=100;30311=150;30305=100;30312=150;30306=100;30314=100;30301=100},1,{},{equip_awake_frag=300},0,1,0,20990101,3,<1;200>,0,0,FALSE,
5,,2,{30201=100;31201=100;30206=100;30209=100;30205=100;30208=100;30207=100;30202=100;31202=100;30203=100;30204=100},1,{},{equip_awake_frag=60},0,1,0,20990101,4,<1;200>,0,0,FALSE,
6,,2,{30315=100;30308=150;30309=150;30302=100;30303=100;30307=150;30304=100;30316=100;30317=100;30310=150;30313=100;30311=150;30305=100;30312=150;30306=100;30314=100;30301=100},1,{},{equip_awake_frag=300},0,1,0,20990101,4,<1;200>,0,0,FALSE,
7,,2,{30105=100;30103=100;30101=100;30104=100;30106=100;30102=100},1,{},{equip_awake_frag=30},0,1,0,20990101,5,<1;200>,0,0,FALSE,
8,,2,{30105=100;30103=100;30101=100;30104=100;30106=100;30102=100},1,{},{equip_awake_frag=30},0,1,0,20990101,6,<1;200>,0,0,FALSE,
61,,1,{},0,{501=1},{equip_awake_frag=24},0,1,0,20990101,7,<1;200>,0,0,FALSE,
62,,1,{},0,{902=5},{equip_awake_frag=30},0,1,0,20990101,8,<1;200>,0,0,FALSE,
63,,1,{},0,{2103=1},{equip_awake_frag=12},0,1,0,20990101,9,<1;200>,0,0,FALSE,
64,,1,{},0,{941=1},{equip_awake_frag=50},0,1,0,20990101,10,<1;200>,0,0,FALSE,
65,,1,{},0,{940=1},{equip_awake_frag=25},0,1,0,20990101,11,<1;200>,0,0,FALSE,
301,,1,{},0,{2152=1},{equip_awake_frag=500},0,1,0,20990101,12,<1;200>,3,10,FALSE,
302,,1,{},0,{2153=1},{equip_awake_frag=1000},0,1,0,20990101,13,<1;200>,3,5,FALSE,
,,1,{},0,{2154=1},{equip_awake_frag=5000},0,1,0,20990101,14,<100;200>,3,2,FALSE,
,,1,{},0,{6915=1},{equip_awake_frag=3000},0,1,0,20990101,15,<1;200>,3,2,FALSE,
