变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6
默认值,{},{},{},{},{},{}
ID,进阶消耗序列1,进阶消耗序列2,进阶消耗序列3,进阶消耗序列4,进阶消耗序列5,进阶消耗序列6
1,{4000=20},{4000=20},{4000=50},{4000=105},{4000=240},{4000=240}
2,{4000=20},{4000=20},{4000=50},{4000=105},{4000=240},{4000=240}
3,{4000=40},{4000=40},{4000=100},{4000=210},{4000=480},{4000=480}
4,{4000=60},{4000=60},{4000=150},{4000=315},{4000=720},{4000=720}
5,{4000=80},{4000=80},{4000=200},{4000=420},{4000=960},{4000=960}
6,{4000=100},{4000=100},{4000=250},{4000=525},{4000=1200},{4000=1200}
7,{4000=140},{4000=140},{4000=350},{4000=735},{4000=1680},{4000=1680}
8,{4000=180},{4000=180},{4000=450},{4000=945},{4000=2160},{4000=2160}
9,{4000=230},{4000=230},{4000=575},{4000=1215},{4000=2760},{4000=2760}
10,{4000=290},{4000=290},{4000=725},{4000=1530},{4000=3480},{4000=3480}
11,{4000=370},{4000=370},{4000=925},{4000=1950},{4000=4440},{4000=4440}
12,{4000=460},{4000=460},{4000=1150},{4000=2415},{4000=5520},{4000=5520}
13,{4000=560},{4000=560},{4000=1400},{4000=2940},{4000=6720},{4000=6720}
14,{4000=670},{4000=670},{4000=1675},{4000=3525},{4000=8040},{4000=8040}
15,{4000=790},{4000=790},{4000=1975},{4000=4155},{4000=9480},{4000=9480}
16,{4000=940},{4000=940},{4000=2325},{4000=4890},{4000=11070},{4000=11070}
17,{4000=1090},{4000=1090},{4000=2675},{4000=5625},{4000=12660},{4000=12660}
18,{4000=1240},{4000=1240},{4000=3025},{4000=6360},{4000=14250},{4000=14250}
19,{4000=1390},{4000=1390},{4000=3375},{4000=7095},{4000=15840},{4000=15840}
20,{4000=1540},{4000=1540},{4000=3725},{4000=7830},{4000=17430},{4000=17430}
21,{4000=1694},{4000=1694},{4000=4098},{4000=8613},{4000=19173},{4000=19173}
22,{4000=1863},{4000=1863},{4000=4508},{4000=9474},{4000=21090},{4000=21090}
23,{4000=2049},{4000=2049},{4000=4959},{4000=10421},{4000=23199},{4000=23199}
24,{4000=2254},{4000=2254},{4000=5455},{4000=11463},{4000=25519},{4000=25519}
25,{4000=2479},{4000=2479},{4000=6001},{4000=12609},{4000=28071},{4000=28071}
26,{4000=2727},{4000=2727},{4000=6601},{4000=13870},{4000=30878},{4000=30878}
27,{4000=3000},{4000=3000},{4000=7261},{4000=15257},{4000=33966},{4000=33966}
28,{4000=3300},{4000=3300},{4000=7987},{4000=16783},{4000=37363},{4000=37363}
29,{4000=3630},{4000=3630},{4000=8786},{4000=18461},{4000=41099},{4000=41099}
30,{4000=3993},{4000=3993},{4000=9665},{4000=20307},{4000=45209},{4000=45209}
31,{4000=4392},{4000=4392},{4000=10632},{4000=22338},{4000=49730},{4000=49730}
32,{4000=4831},{4000=4831},{4000=11695},{4000=24572},{4000=54703},{4000=54703}
33,{4000=5314},{4000=5314},{4000=12865},{4000=27029},{4000=60173},{4000=60173}
34,{4000=5845},{4000=5845},{4000=14152},{4000=29732},{4000=66190},{4000=66190}
35,{4000=6430},{4000=6430},{4000=15567},{4000=32705},{4000=72809},{4000=72809}
36,{4000=7073},{4000=7073},{4000=17124},{4000=35976},{4000=80090},{4000=80090}
37,{4000=7780},{4000=7780},{4000=18836},{4000=39574},{4000=88099},{4000=88099}
38,{4000=8558},{4000=8558},{4000=20720},{4000=43531},{4000=96909},{4000=96909}
39,{4000=9414},{4000=9414},{4000=22792},{4000=47884},{4000=106600},{4000=106600}
40,{4000=10355},{4000=10355},{4000=25071},{4000=52672},{4000=117260},{4000=117260}
41,{4000=11391},{4000=11391},{4000=27578},{4000=57939},{4000=128986},{4000=128986}
42,{4000=12530},{4000=12530},{4000=30336},{4000=63733},{4000=141885},{4000=141885}
43,{4000=13783},{4000=13783},{4000=33370},{4000=70106},{4000=156074},{4000=156074}
44,{4000=15161},{4000=15161},{4000=36707},{4000=77117},{4000=171681},{4000=171681}
45,{4000=16677},{4000=16677},{4000=40378},{4000=84829},{4000=188849},{4000=188849}
46,{4000=18345},{4000=18345},{4000=44416},{4000=93312},{4000=207734},{4000=207734}
47,{4000=20180},{4000=20180},{4000=48858},{4000=102643},{4000=228507},{4000=228507}
48,{4000=22198},{4000=22198},{4000=53744},{4000=112907},{4000=251358},{4000=251358}
49,{4000=24418},{4000=24418},{4000=59118},{4000=124198},{4000=276494},{4000=276494}
50,{4000=26860},{4000=26860},{4000=65030},{4000=136618},{4000=304143},{4000=304143}
