变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable
默认值,,{},0,{coin4=0},0,1,0,20990101,0,<1;100>,0,0,FALSE
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见
1,,{4000=10},50,{coin4=20},0,100,0,20990101,0,<1;250>,0,0,FALSE
2,,{4000=10},100,{coin4=40},0,80,0,20990101,0,<1;250>,0,0,FALSE
3,,{4000=10},150,{coin4=60},0,50,0,20990101,0,<1;250>,0,0,FALSE
50,,{19=10},3,{coin4=50},0,0,0,20990101,1,<1;250>,0,0,FALSE
51,,{14=10},10,{coin4=50},0,0,0,20990101,1,<1;250>,0,0,FALSE
52,,{100=10},3,{coin4=50},0,0,0,20990101,1,<1;250>,0,0,FALSE
100,,{4011=5;4012=5;4021=5;4023=5;4013=5;4022=5},1,{coin4=5},0,100,0,20990101,1,<1;250>,0,0,FALSE
200,,{4011=5;4012=5;4021=5;4023=5;4013=5;4022=5},1,{coin4=5},0,100,0,20990101,2,<1;250>,0,0,FALSE
201,,{4031=5;4041=5;4033=5;4051=5;4042=5;4032=5;4053=5;4043=5;4052=5},1,{coin4=30},0,100,0,20990101,2,<1;250>,0,0,FALSE
300,,{4031=5;4041=5;4033=5;4051=5;4042=5;4032=5;4053=5;4043=5;4052=5},1,{coin4=30},0,100,0,20990101,3,<1;250>,0,0,FALSE
400,,{4031=5;4041=5;4033=5;4051=5;4042=5;4032=5;4053=5;4043=5;4052=5},1,{coin4=30},0,100,0,20990101,4,<1;250>,0,0,FALSE
401,,{4061=5;4073=5;4074=5;4071=5;4063=5;4072=5;4064=5;4062=5},1,{coin4=200},0,100,0,20990101,4,<1;250>,0,0,FALSE
500,,{4061=5;4073=5;4074=5;4071=5;4063=5;4072=5;4064=5;4062=5},1,{coin4=200},0,100,0,20990101,5,<1;250>,0,0,FALSE
600,,{4093=5;4081=5;4092=5;4083=5;4082=5;4084=5;4095=8;4085=6;4096=5;4094=5},1,{coin4=500},0,100,0,20990101,6,<1;250>,0,0,FALSE
700,,{4093=5;4081=5;4092=5;4083=5;4082=5;4084=5;4095=8;4085=6;4096=5;4094=5},1,{coin4=500},0,100,0,20990101,7,<1;250>,0,0,FALSE
800,,{4093=5;4081=5;4092=5;4083=5;4082=5;4084=5;4095=8;4085=6;4096=5;4094=5},1,{coin4=500},0,0,0,20990101,6,<1;250>,0,0,FALSE
900,,{4093=5;4081=5;4092=5;4083=5;4082=5;4084=5;4095=8;4085=6;4096=5;4094=5},1,{coin4=500},0,0,0,20990101,7,<1;250>,0,0,FALSE
2001,,{967=10},1,{coin4=500},0,100,0,20990101,8,<1;250>,3,2,FALSE
