变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,vipWeight_kr,vipWeight_en,vipWeight_tw,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable
默认值,,{},0,{coin5=0},0,1,1,1,1,0,20990101,0,<1;150>,0,0,FALSE
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗,起始VIP等级,刷新几率权重(-1=必定出现),刷新几率权重(-1=必定出现),刷新几率权重(-1=必定出现),刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见
1,,{20761=5},5,{coin5=200},0,0,0,0,0,0,20990101,0,<250;250>,0,0,FALSE
2,,{21271=5},5,{coin5=200},0,0,0,0,0,0,20990101,1,<250;250>,0,0,FALSE
3,,{19=5},10,{coin5=20},0,0,0,0,0,0,20990101,4,<250;250>,0,0,FALSE
4,,{2102=10},10,{coin5=20},0,0,0,0,0,0,20990101,7,<250;250>,0,0,FALSE
5,,{2103=5},5,{coin5=20},0,0,0,0,0,0,20990101,6,<250;250>,0,0,FALSE
6,,{100=10},10,{coin5=20},0,0,0,0,0,0,20990101,5,<250;250>,0,0,FALSE
7,,{519=10},5,{coin5=1000},0,0,0,0,0,0,20990101,2,<250;250>,0,0,FALSE
8,,{801=10},10,{coin5=20},0,0,0,0,0,0,20990101,3,<250;250>,0,0,FALSE
101,,{22721=100;20601=100;20261=100;20731=0;21081=0;23411=100;21291=100;22031=100;21421=100;21501=100;21811=100;23141=100;20591=100;21391=100;23351=0;23001=100;20331=100;23661=100;20721=0;21071=100;21241=0;20571=100;20391=100;23541=100;21251=0;20881=100;21171=100;21311=0;21231=0;20491=100;23021=100;20741=0;22991=100;20241=100;20631=100;20161=100;21221=0;20401=100},3,{coin5=200},0,100,100,100,100,0,20990101,0,<1;250>,0,0,FALSE
