变量名,suitID,suitName,suitName_tw,suitName_en,suitName_vn,suitName_kr,suitName_pt,suitName_th,suitNum,suitQuality,attrType1,attrNum1,attrType2,attrNum2
默认值,1,"""""","""""","""""","""""","""""","""""","""""",6,1,0,,0,
ID,套装ID,套装名称,描述,描述,描述,描述,描述,描述,套装散件数量,套装品质,属性类型1,属性数值1,属性类型2,属性数值2
,,,,,,,,,,,,,,
1,1,强击,強擊,Punch,Punch,강격,Soco,ต่อย,3,2,7,4%,8,4%
2,1,强击,強擊,Punch,Punch,강격,Soco,ต่อย,6,2,11,300,12,300
3,1,强击,強擊,Punch,Punch,강격,Soco,ต่อย,3,3,7,5%,8,5%
4,1,强击,強擊,Punch,Punch,강격,Soco,ต่อย,6,3,11,400,12,400
5,1,强击,強擊,Punch,Punch,강격,Soco,ต่อย,3,4,7,6%,8,6%
6,1,强击,強擊,Punch,Punch,강격,Soco,ต่อย,6,4,11,500,12,500
7,1,强击,強擊,Punch,Punch,강격,Soco,ต่อย,3,5,7,9%,8,9%
8,1,强击,強擊,Punch,Punch,강격,Soco,ต่อย,6,5,11,700,12,700
9,1,强击,強擊,Punch,Punch,강격,Soco,ต่อย,3,6,7,12%,8,12%
10,1,强击,強擊,Punch,Punch,강격,Soco,ต่อย,6,6,11,1000,12,1000
11,2,致命,致命,Deadly,Deadly,치명,Mortal,อันตรายถึงชีวิต,3,2,14,200,,
12,2,致命,致命,Deadly,Deadly,치명,Mortal,อันตรายถึงชีวิต,6,2,15,300,,
13,2,致命,致命,Deadly,Deadly,치명,Mortal,อันตรายถึงชีวิต,3,3,14,300,,
14,2,致命,致命,Deadly,Deadly,치명,Mortal,อันตรายถึงชีวิต,6,3,15,450,,
15,2,致命,致命,Deadly,Deadly,치명,Mortal,อันตรายถึงชีวิต,3,4,14,400,,
16,2,致命,致命,Deadly,Deadly,치명,Mortal,อันตรายถึงชีวิต,6,4,15,600,,
17,2,致命,致命,Deadly,Deadly,치명,Mortal,อันตรายถึงชีวิต,3,5,14,600,,
18,2,致命,致命,Deadly,Deadly,치명,Mortal,อันตรายถึงชีวิต,6,5,15,900,,
19,2,致命,致命,Deadly,Deadly,치명,Mortal,อันตรายถึงชีวิต,3,6,14,800,,
20,2,致命,致命,Deadly,Deadly,치명,Mortal,อันตรายถึงชีวิต,6,6,15,1200,,
21,3,好战,好戰,Warlike,Warlike,전투광,Guerreiro,ชอบทำสงคราม,3,2,92,200,,
22,3,好战,好戰,Warlike,Warlike,전투광,Guerreiro,ชอบทำสงคราม,6,2,22,200,,
23,3,好战,好戰,Warlike,Warlike,전투광,Guerreiro,ชอบทำสงคราม,3,3,92,300,,
24,3,好战,好戰,Warlike,Warlike,전투광,Guerreiro,ชอบทำสงคราม,6,3,22,300,,
25,3,好战,好戰,Warlike,Warlike,전투광,Guerreiro,ชอบทำสงคราม,3,4,92,400,,
26,3,好战,好戰,Warlike,Warlike,전투광,Guerreiro,ชอบทำสงคราม,6,4,22,400,,
27,3,好战,好戰,Warlike,Warlike,전투광,Guerreiro,ชอบทำสงคราม,3,5,92,600,,
28,3,好战,好戰,Warlike,Warlike,전투광,Guerreiro,ชอบทำสงคราม,6,5,22,600,,
29,3,好战,好戰,Warlike,Warlike,전투광,Guerreiro,ชอบทำสงคราม,3,6,92,800,,
30,3,好战,好戰,Warlike,Warlike,전투광,Guerreiro,ชอบทำสงคราม,6,6,22,800,,
31,4,守御,守禦,Defend,Defend,방어,Defender,ปกป้อง,3,2,17,300,,
32,4,守御,守禦,Defend,Defend,방어,Defender,ปกป้อง,6,2,19,300,,
33,4,守御,守禦,Defend,Defend,방어,Defender,ปกป้อง,3,3,17,400,,
34,4,守御,守禦,Defend,Defend,방어,Defender,ปกป้อง,6,3,19,400,,
35,4,守御,守禦,Defend,Defend,방어,Defender,ปกป้อง,3,4,17,500,,
36,4,守御,守禦,Defend,Defend,방어,Defender,ปกป้อง,6,4,19,500,,
37,4,守御,守禦,Defend,Defend,방어,Defender,ปกป้อง,3,5,17,750,,
38,4,守御,守禦,Defend,Defend,방어,Defender,ปกป้อง,6,5,19,750,,
39,4,守御,守禦,Defend,Defend,방어,Defender,ปกป้อง,3,6,17,1000,,
40,4,守御,守禦,Defend,Defend,방어,Defender,ปกป้อง,6,6,19,1000,,
41,5,盾甲,盾甲,Shield,Shield,실드,Escudo,โล่,3,2,1,5%,,
42,5,盾甲,盾甲,Shield,Shield,실드,Escudo,โล่,6,2,16,300,,
43,5,盾甲,盾甲,Shield,Shield,실드,Escudo,โล่,3,3,1,6.50%,,
