变量名,attrNum1,attrRate1,attrNum2,attrRate2,attrNum3,attrRate3,attrNum4,attrRate4,attrNum5,attrRate5,attrNum6,attrRate6,attrNum7,attrRate7
默认值,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>
进阶阶段,属性加成值1,百分比系数1,属性加成值2,百分比系数2,属性加成值3,百分比系数3,属性加成值4,百分比系数4,属性加成值5,百分比系数5,属性加成值6,百分比系数6,属性加成值7,百分比系数7
0,<450;9;90;36;90;36>,<1.05;1.05;1.05;1.05;1.05;1.05>,<450;9;90;36;90;36>,<1.05;1.05;1.05;1.05;1.05;1.05>,<600;12;120;48;120;48>,<1.07;1.07;1.07;1.07;1.07;1.07>,<900;18;180;72;180;72>,<1.07;1.07;1.07;1.07;1.07;1.07>,<1200;24;240;96;240;96>,<1.1;1.1;1.1;1.1;1.1;1.1>,<1680;34;336;134;336;134>,<1.54;1.54;1.54;1.54;1.54;1.54>,<1680;34;336;134;336;134>,<1.54;1.54;1.54;1.54;1.54;1.54>
1,<900;18;180;72;180;72>,<1.1;1.1;1.1;1.1;1.1;1.1>,<900;18;180;72;180;72>,<1.1;1.1;1.1;1.1;1.1;1.1>,<1200;24;240;96;240;96>,<1.14;1.14;1.14;1.14;1.14;1.14>,<1800;36;360;144;360;144>,<1.14;1.14;1.14;1.14;1.14;1.14>,<2400;48;480;192;480;192>,<1.2;1.2;1.2;1.2;1.2;1.2>,<3360;67;672;269;672;269>,<1.68;1.68;1.68;1.68;1.68;1.68>,<3360;67;672;269;672;269>,<1.68;1.68;1.68;1.68;1.68;1.68>
2,<1350;27;270;108;270;108>,<1.15;1.15;1.15;1.15;1.15;1.15>,<1350;27;270;108;270;108>,<1.15;1.15;1.15;1.15;1.15;1.15>,<1800;36;360;144;360;144>,<1.21;1.21;1.21;1.21;1.21;1.21>,<2700;54;540;216;540;216>,<1.21;1.21;1.21;1.21;1.21;1.21>,<3600;72;720;288;720;288>,<1.3;1.3;1.3;1.3;1.3;1.3>,<5040;101;1008;403;1008;403>,<1.82;1.82;1.82;1.82;1.82;1.82>,<5040;101;1008;403;1008;403>,<1.82;1.82;1.82;1.82;1.82;1.82>
3,<1800;36;360;144;360;144>,<1.2;1.2;1.2;1.2;1.2;1.2>,<1800;36;360;144;360;144>,<1.2;1.2;1.2;1.2;1.2;1.2>,<2400;48;480;192;480;192>,<1.28;1.28;1.28;1.28;1.28;1.28>,<3600;72;720;288;720;288>,<1.28;1.28;1.28;1.28;1.28;1.28>,<4800;96;960;384;960;384>,<1.4;1.4;1.4;1.4;1.4;1.4>,<6720;134;1344;538;1344;538>,<1.96;1.96;1.96;1.96;1.96;1.96>,<6720;134;1344;538;1344;538>,<1.96;1.96;1.96;1.96;1.96;1.96>
4,<2250;45;450;180;450;180>,<1.25;1.25;1.25;1.25;1.25;1.25>,<2250;45;450;180;450;180>,<1.25;1.25;1.25;1.25;1.25;1.25>,<3000;60;600;240;600;240>,<1.35;1.35;1.35;1.35;1.35;1.35>,<4500;90;900;360;900;360>,<1.35;1.35;1.35;1.35;1.35;1.35>,<6000;120;1200;480;1200;480>,<1.5;1.5;1.5;1.5;1.5;1.5>,<8400;168;1680;672;1680;672>,<2.1;2.1;2.1;2.1;2.1;2.1>,<8400;168;1680;672;1680;672>,<2.1;2.1;2.1;2.1;2.1;2.1>
5,<2700;54;540;216;540;216>,<1.3;1.3;1.3;1.3;1.3;1.3>,<2700;54;540;216;540;216>,<1.3;1.3;1.3;1.3;1.3;1.3>,<3600;72;720;288;720;288>,<1.42;1.42;1.42;1.42;1.42;1.42>,<5400;108;1080;432;1080;432>,<1.42;1.42;1.42;1.42;1.42;1.42>,<7200;144;1440;576;1440;576>,<1.6;1.6;1.6;1.6;1.6;1.6>,<10080;202;2016;806;2016;806>,<2.24;2.24;2.24;2.24;2.24;2.24>,<10080;202;2016;806;2016;806>,<2.24;2.24;2.24;2.24;2.24;2.24>
6,<3150;63;630;252;630;252>,<1.35;1.35;1.35;1.35;1.35;1.35>,<3150;63;630;252;630;252>,<1.35;1.35;1.35;1.35;1.35;1.35>,<4200;84;840;336;840;336>,<1.49;1.49;1.49;1.49;1.49;1.49>,<6300;126;1260;504;1260;504>,<1.49;1.49;1.49;1.49;1.49;1.49>,<8400;168;1680;672;1680;672>,<1.7;1.7;1.7;1.7;1.7;1.7>,<11760;235;2352;941;2352;941>,<2.38;2.38;2.38;2.38;2.38;2.38>,<11760;235;2352;941;2352;941>,<2.38;2.38;2.38;2.38;2.38;2.38>
7,<3600;72;720;288;720;288>,<1.4;1.4;1.4;1.4;1.4;1.4>,<3600;72;720;288;720;288>,<1.4;1.4;1.4;1.4;1.4;1.4>,<4800;96;960;384;960;384>,<1.56;1.56;1.56;1.56;1.56;1.56>,<7200;144;1440;576;1440;576>,<1.56;1.56;1.56;1.56;1.56;1.56>,<9600;192;1920;768;1920;768>,<1.8;1.8;1.8;1.8;1.8;1.8>,<13440;269;2688;1075;2688;1075>,<2.52;2.52;2.52;2.52;2.52;2.52>,<13440;269;2688;1075;2688;1075>,<2.52;2.52;2.52;2.52;2.52;2.52>
8,<4050;81;810;324;810;324>,<1.45;1.45;1.45;1.45;1.45;1.45>,<4050;81;810;324;810;324>,<1.45;1.45;1.45;1.45;1.45;1.45>,<5400;108;1080;432;1080;432>,<1.63;1.63;1.63;1.63;1.63;1.63>,<8100;162;1620;648;1620;648>,<1.63;1.63;1.63;1.63;1.63;1.63>,<10800;216;2160;864;2160;864>,<1.9;1.9;1.9;1.9;1.9;1.9>,<15120;302;3024;1210;3024;1210>,<2.66;2.66;2.66;2.66;2.66;2.66>,<15120;302;3024;1210;3024;1210>,<2.66;2.66;2.66;2.66;2.66;2.66>
9,<4500;90;900;360;900;360>,<1.5;1.5;1.5;1.5;1.5;1.5>,<4500;90;900;360;900;360>,<1.5;1.5;1.5;1.5;1.5;1.5>,<6000;120;1200;480;1200;480>,<1.7;1.7;1.7;1.7;1.7;1.7>,<9000;180;1800;720;1800;720>,<1.7;1.7;1.7;1.7;1.7;1.7>,<12000;240;2400;960;2400;960>,<2;2;2;2;2;2>,<16800;336;3360;1344;3360;1344>,<2.8;2.8;2.8;2.8;2.8;2.8>,<16800;336;3360;1344;3360;1344>,<2.8;2.8;2.8;2.8;2.8;2.8>
