变量名,scene_id,_name,round,monsters,bossMark,showInfo,posAdjust,bossLifeCount,rebornSeq,hpC,speedC,damageC,specialDamageC,defenceC,specialDefenceC,bkCsv,storys,winStories,failStories,storyNames,storyNames_tw,storyNames_en,weatherTypeId
默认值,,,,<>,,FALSE,,,,1,1,1,1,1,1,stage/mgcb.csv,<>,<>,<>,<>,<>,<>,
ID,对应scene_conf里的关卡id,关卡名字,当前波次,怪物id,boss标志位<0;1;0;0;0;0>,是否显示BOSS标志位上的简介,站位微调<0;{x=10;y=20};0;0;0;0>,boss血条数,复活序列,整体hp修正,速度修正,整体物攻修正,整体特攻修正,整体防御力修正,整体特防修正,背景配置 ,剧情ID配置<round; storyId; heroId>,获胜剧情,失败剧情,剧情角色名,劇情角色名,剧情角色名,场景默认天气ID
1,10101,,1,<50071;50071;0;0;0;0>,,FALSE,,,,0.9,0.5,1,1,1,1,stage/city.csv,<<0;10001>;<1;1001>;<1;1011;1>;<1;1021;2>>,<>,<>,<>,<>,<>,
2,10101,,2,<60301;0;60301;0;30302;0>,<0;0;0;0;1;0>,TRUE,,,,1.1,0.5,4,4,2,2,stage/city.csv,<<1;1031;1>;<1;1041;2>;<2;1051;1>>,<>,<>,<>,<>,<>,
4,10102,,1,<52071;50791;50051;0;0;0>,,FALSE,,,,0.9,0.5,1,1,1,1,stage/city.csv,<<0;10021>;<1;1101;2>>,<>,<>,<>,<>,<>,
5,10102,,2,<53291;0;53291;0;180601;0>,<0;0;0;0;1;0>,TRUE,,,,1.1,0.5,1.5,1.5,1.5,1.5,stage/city.csv,<<99;10031>>,<>,<>,<>,<>,<>,
7,10103,,1,<50281;50783;50281;0;52013;0>,,FALSE,,,,0.9,0.5,1,1,1,1,stage/sg.csv,<<0;10041>;<1;1201;2>>,<>,<>,<>,<>,<>,
8,10103,,2,<50781;60541;50781;0;181293;0>,<0;0;0;0;1;0>,TRUE,,,,1.1,0.5,1.5,1.5,1.5,1.5,stage/sg2.csv,<<99;10051>>,<>,<>,<>,<>,<>,
10,10104,,1,<50551;0;50551;0;51313;0>,,FALSE,,,,0.9,0.5,1,1,1,1,stage/sl.csv,<<0;10061>>,<>,<>,<>,<>,<>,
11,10104,,2,<53011;53012;53011;0;183472;0>,<0;0;0;0;1;0>,TRUE,,,,1.1,0.5,1.5,1.5,1.5,1.5,stage/ty.csv,<<99;10071>>,<>,<>,<>,<>,<>,
