变量名,_beizhu,award,needExp,limit,sort,languages
默认值,,{},2000,0,1,<cn;tw;en;vn;th;kr>
ID,备注,物品,消耗经验,永久兑换次数(0-不限制),客户端排序,语言区域
1,,{29002=50},10000,2,1,<cn;tw;en;vn;th;kr>
2,,{501=1},2500,15,2,<cn;tw;en;vn;th;kr>
3,,{993=1},6000,3,3,<cn;tw;en;vn;th;kr>
4,,{502=1},1500,50,4,<cn;tw;en;vn;th;kr>
5,,{15=5},600,0,6,<cn;tw;en;vn;th;kr>
6,,{902=5},2000,0,7,<cn;tw;en;vn;th;kr>
7,,{529=800},2000,0,8,<cn;tw;en;vn;th;kr>
8,,{2103=3},2000,0,9,<cn;tw;en;vn;th;kr>
9,,{7324=1},6000,3,5,<cn>
10,,{124=10},2000,0,10,<cn>
