变量名,markID,_beizhu1,_beizhu2,_beizhu3,_beizhu4,star,attrType1,attrValue1,attrType2,attrValue2
默认值,0,,,,,0,0,"""""",0,""""""
ID,卡牌markID,精灵名字,第一属性,资质,初始星级,星级,加成属性类型1,加成属性值1,加成属性类型2,加成属性值2
1,1,,,,,1,1,0%,0,
2,1,,,,,2,1,0.06%,0,
3,1,,,,,3,1,0.11%,0,
4,1,,,,,4,1,0.17%,0,
5,1,,,,,5,1,0.28%,0,
6,1,,,,,6,1,0.39%,0,
7,1,,,,,7,1,0.56%,0,
8,1,,,,,8,1,0.73%,0,
9,1,,,,,9,1,0.95%,0,
10,1,,,,,10,1,1.18%,0,
11,1,,,,,11,1,1.40%,0,
12,1,,,,,12,1,1.68%,0,
13,1,,,,,13,1,2.00%,0,
14,1,,,,,14,1,2.40%,0,
15,1,,,,,15,1,2.80%,0,
16,1,,,,,16,1,3.20%,0,
17,1,,,,,17,1,3.80%,0,
18,1,,,,,18,1,4.20%,0,
19,11,,,,,1,8,0%,0,
20,11,,,,,2,8,0.08%,0,
21,11,,,,,3,8,0.16%,0,
22,11,,,,,4,8,0.24%,0,
23,11,,,,,5,8,0.40%,0,
24,11,,,,,6,8,0.56%,0,
25,11,,,,,7,8,0.80%,0,
26,11,,,,,8,8,1.04%,0,
27,11,,,,,9,8,1.36%,0,
28,11,,,,,10,8,1.68%,0,
29,11,,,,,11,8,2%,0,
30,11,,,,,12,8,2.40%,0,
31,11,,,,,13,8,2.80%,0,
32,11,,,,,14,8,3.20%,0,
33,11,,,,,15,8,3.60%,0,
34,11,,,,,16,8,4.00%,0,
35,11,,,,,17,8,4.50%,0,
36,11,,,,,18,8,5.00%,0,
37,21,,,,,1,10,0%,0,
38,21,,,,,2,10,0.08%,0,
39,21,,,,,3,10,0.16%,0,
40,21,,,,,4,10,0.24%,0,
41,21,,,,,5,10,0.40%,0,
42,21,,,,,6,10,0.56%,0,
43,21,,,,,7,10,0.80%,0,
44,21,,,,,8,10,1.04%,0,
45,21,,,,,9,10,1.36%,0,
46,21,,,,,10,10,1.68%,0,
47,21,,,,,11,10,2%,0,
48,21,,,,,12,10,2.40%,0,
49,21,,,,,13,10,2.80%,0,
50,21,,,,,14,10,3.20%,0,
51,21,,,,,15,10,3.60%,0,
52,21,,,,,16,10,4.00%,0,
53,21,,,,,17,10,4.50%,0,
54,21,,,,,18,10,5.00%,0,
55,31,,,,,1,1,0%,0,
56,31,,,,,2,1,0.03%,0,
57,31,,,,,3,1,0.04%,0,
58,31,,,,,4,1,0.06%,0,
59,31,,,,,5,1,0.08%,0,
60,31,,,,,6,1,0.13%,0,
61,31,,,,,7,1,0.17%,0,
62,31,,,,,8,1,0.22%,0,
63,31,,,,,9,1,0.28%,0,
64,31,,,,,10,1,0.35%,0,
65,31,,,,,11,1,0.42%,0,
66,31,,,,,12,1,0.50%,0,
67,31,,,,,13,1,0.60%,0,
68,31,,,,,14,1,0.70%,0,
69,31,,,,,15,1,0.80%,0,
70,31,,,,,16,1,1.00%,0,
71,31,,,,,17,1,1.20%,0,
72,31,,,,,18,1,1.40%,0,
73,41,,,,,1,7,0%,0,
74,41,,,,,2,7,0.04%,0,
75,41,,,,,3,7,0.06%,0,
76,41,,,,,4,7,0.08%,0,
77,41,,,,,5,7,0.12%,0,
78,41,,,,,6,7,0.18%,0,
79,41,,,,,7,7,0.24%,0,
80,41,,,,,8,7,0.32%,0,
81,41,,,,,9,7,0.40%,0,
82,41,,,,,10,7,0.50%,0,
83,41,,,,,11,7,0.60%,0,
84,41,,,,,12,7,0.72%,0,
85,41,,,,,13,7,0.80%,0,
86,41,,,,,14,7,0.90%,0,
87,41,,,,,15,7,1.00%,0,
88,41,,,,,16,7,1.10%,0,
89,41,,,,,17,7,1.30%,0,
90,41,,,,,18,7,1.60%,0,
91,51,,,,,1,7,0%,0,
92,51,,,,,2,7,0.08%,0,
93,51,,,,,3,7,0.16%,0,
94,51,,,,,4,7,0.24%,0,
95,51,,,,,5,7,0.40%,0,
96,51,,,,,6,7,0.56%,0,
97,51,,,,,7,7,0.80%,0,
98,51,,,,,8,7,1.04%,0,
99,51,,,,,9,7,1.36%,0,
100,51,,,,,10,7,1.68%,0,
101,51,,,,,11,7,2%,0,
102,51,,,,,12,7,2.40%,0,
103,51,,,,,13,7,2.80%,0,
104,51,,,,,14,7,3.20%,0,
105,51,,,,,15,7,3.60%,0,
106,51,,,,,16,7,4.00%,0,
107,51,,,,,17,7,4.50%,0,
108,51,,,,,18,7,5.00%,0,
109,61,,,,,1,7,0%,0,
110,61,,,,,2,7,0.04%,0,
111,61,,,,,3,7,0.06%,0,
112,61,,,,,4,7,0.08%,0,
113,61,,,,,5,7,0.12%,0,
114,61,,,,,6,7,0.18%,0,
115,61,,,,,7,7,0.24%,0,
116,61,,,,,8,7,0.32%,0,
117,61,,,,,9,7,0.40%,0,
118,61,,,,,10,7,0.50%,0,
119,61,,,,,11,7,0.60%,0,
120,61,,,,,12,7,0.72%,0,
121,61,,,,,13,7,0.80%,0,
122,61,,,,,14,7,0.90%,0,
123,61,,,,,15,7,1.00%,0,
124,61,,,,,16,7,1.10%,0,
125,61,,,,,17,7,1.30%,0,
126,61,,,,,18,7,1.60%,0,
127,71,,,,,1,10,0%,0,
128,71,,,,,2,10,0.04%,0,
129,71,,,,,3,10,0.06%,0,
130,71,,,,,4,10,0.08%,0,
131,71,,,,,5,10,0.12%,0,
132,71,,,,,6,10,0.18%,0,
133,71,,,,,7,10,0.24%,0,
134,71,,,,,8,10,0.32%,0,
135,71,,,,,9,10,0.40%,0,
136,71,,,,,10,10,0.50%,0,
137,71,,,,,11,10,0.60%,0,
138,71,,,,,12,10,0.72%,0,
139,71,,,,,13,10,0.80%,0,
140,71,,,,,14,10,0.90%,0,
141,71,,,,,15,10,1.00%,0,
142,71,,,,,16,10,1.10%,0,
143,71,,,,,17,10,1.30%,0,
144,71,,,,,18,10,1.60%,0,
145,81,,,,,1,9,0%,0,
146,81,,,,,2,9,0.04%,0,
147,81,,,,,3,9,0.06%,0,
148,81,,,,,4,9,0.08%,0,
149,81,,,,,5,9,0.12%,0,
150,81,,,,,6,9,0.18%,0,
151,81,,,,,7,9,0.24%,0,
152,81,,,,,8,9,0.32%,0,
153,81,,,,,9,9,0.40%,0,
154,81,,,,,10,9,0.50%,0,
155,81,,,,,11,9,0.60%,0,
156,81,,,,,12,9,0.72%,0,
157,81,,,,,13,9,0.80%,0,
158,81,,,,,14,9,0.90%,0,
159,81,,,,,15,9,1.00%,0,
160,81,,,,,16,9,1.10%,0,
161,81,,,,,17,9,1.30%,0,
162,81,,,,,18,9,1.60%,0,
163,91,,,,,1,13,0%,0,
164,91,,,,,2,13,0.08%,0,
165,91,,,,,3,13,0.16%,0,
166,91,,,,,4,13,0.24%,0,
167,91,,,,,5,13,0.40%,0,
168,91,,,,,6,13,0.56%,0,
169,91,,,,,7,13,0.80%,0,
170,91,,,,,8,13,1.04%,0,
171,91,,,,,9,13,1.36%,0,
172,91,,,,,10,13,1.68%,0,
173,91,,,,,11,13,2%,0,
174,91,,,,,12,13,2.40%,0,
175,91,,,,,13,13,2.80%,0,
176,91,,,,,14,13,3.20%,0,
177,91,,,,,15,13,3.60%,0,
178,91,,,,,16,13,4.00%,0,
179,91,,,,,17,13,4.50%,0,
180,91,,,,,18,13,5.00%,0,
181,101,,,,,1,10,0%,0,
182,101,,,,,2,10,0.04%,0,
183,101,,,,,3,10,0.06%,0,
184,101,,,,,4,10,0.08%,0,
185,101,,,,,5,10,0.12%,0,
186,101,,,,,6,10,0.18%,0,
187,101,,,,,7,10,0.24%,0,
188,101,,,,,8,10,0.32%,0,
189,101,,,,,9,10,0.40%,0,
190,101,,,,,10,10,0.50%,0,
191,101,,,,,11,10,0.60%,0,
192,101,,,,,12,10,0.72%,0,
193,101,,,,,13,10,0.80%,0,
194,101,,,,,14,10,0.90%,0,
195,101,,,,,15,10,1.00%,0,
196,101,,,,,16,10,1.10%,0,
197,101,,,,,17,10,1.30%,0,
198,101,,,,,18,10,1.60%,0,
199,111,,,,,1,8,0%,0,
200,111,,,,,2,8,0.04%,0,
201,111,,,,,3,8,0.06%,0,
202,111,,,,,4,8,0.08%,0,
203,111,,,,,5,8,0.12%,0,
204,111,,,,,6,8,0.18%,0,
205,111,,,,,7,8,0.24%,0,
206,111,,,,,8,8,0.32%,0,
207,111,,,,,9,8,0.40%,0,
208,111,,,,,10,8,0.50%,0,
209,111,,,,,11,8,0.60%,0,
210,111,,,,,12,8,0.72%,0,
211,111,,,,,13,8,0.80%,0,
212,111,,,,,14,8,0.90%,0,
213,111,,,,,15,8,1.00%,0,
214,111,,,,,16,8,1.10%,0,
215,111,,,,,17,8,1.30%,0,
216,111,,,,,18,8,1.60%,0,
217,121,,,,,1,9,0%,0,
218,121,,,,,2,9,0.04%,0,
219,121,,,,,3,9,0.06%,0,
220,121,,,,,4,9,0.08%,0,
221,121,,,,,5,9,0.12%,0,
222,121,,,,,6,9,0.18%,0,
223,121,,,,,7,9,0.24%,0,
224,121,,,,,8,9,0.32%,0,
225,121,,,,,9,9,0.40%,0,
226,121,,,,,10,9,0.50%,0,
227,121,,,,,11,9,0.60%,0,
228,121,,,,,12,9,0.72%,0,
229,121,,,,,13,9,0.80%,0,
230,121,,,,,14,9,0.90%,0,
231,121,,,,,15,9,1.00%,0,
232,121,,,,,16,9,1.10%,0,
233,121,,,,,17,9,1.30%,0,
234,121,,,,,18,9,1.60%,0,
235,131,,,,,1,8,0%,0,
236,131,,,,,2,8,0.08%,0,
237,131,,,,,3,8,0.16%,0,
238,131,,,,,4,8,0.24%,0,
239,131,,,,,5,8,0.40%,0,
240,131,,,,,6,8,0.56%,0,
241,131,,,,,7,8,0.80%,0,
242,131,,,,,8,8,1.04%,0,
243,131,,,,,9,8,1.36%,0,
244,131,,,,,10,8,1.68%,0,
245,131,,,,,11,8,2%,0,
246,131,,,,,12,8,2.40%,0,
247,131,,,,,12,8,2.40%,0,
248,131,,,,,13,8,2.80%,0,
249,131,,,,,14,8,3.20%,0,
250,131,,,,,15,8,3.60%,0,
251,131,,,,,16,8,4.00%,0,
252,131,,,,,17,8,4.50%,0,
253,131,,,,,18,8,5.00%,0,
254,141,,,,,1,0,0%,0,
255,141,,,,,2,0,0%,0,
256,141,,,,,3,0,0%,0,
257,141,,,,,4,0,0%,0,
258,141,,,,,5,0,0%,0,
259,141,,,,,6,0,0%,0,
260,141,,,,,7,0,0%,0,
261,141,,,,,8,0,0%,0,
262,141,,,,,9,0,0%,0,
263,141,,,,,10,0,0%,0,
264,141,,,,,11,0,0%,0,
265,141,,,,,12,0,0%,0,
266,151,,,,,1,13,0%,0,
267,151,,,,,2,13,0.08%,0,
268,151,,,,,3,13,0.16%,0,
269,151,,,,,4,13,0.24%,0,
270,151,,,,,5,13,0.40%,0,
271,151,,,,,6,13,0.56%,0,
272,151,,,,,7,13,0.80%,0,
273,151,,,,,8,13,1.04%,0,
274,151,,,,,9,13,1.36%,0,
275,151,,,,,10,13,1.68%,0,
276,151,,,,,11,13,2%,0,
277,151,,,,,12,13,2.40%,0,
278,151,,,,,13,13,2.80%,0,
279,151,,,,,14,13,3.20%,0,
280,151,,,,,15,13,3.60%,0,
281,151,,,,,16,13,4.00%,0,
282,151,,,,,17,13,4.50%,0,
283,151,,,,,18,13,5.00%,0,
284,161,,,,,1,7,0%,0,
285,161,,,,,2,7,0%,0,
286,161,,,,,3,7,0.10%,0,
287,161,,,,,4,7,0.25%,0,
288,161,,,,,5,7,0.40%,0,
289,161,,,,,6,7,0.70%,0,
290,161,,,,,7,7,1%,0,
291,161,,,,,8,7,1.30%,0,
292,161,,,,,9,7,1.75%,0,
293,161,,,,,10,7,2.20%,0,
294,161,,,,,11,7,2.65%,0,
295,161,,,,,12,7,3.25%,0,
296,161,,,,,13,7,3.85%,0,
297,161,,,,,14,7,4.45%,0,
298,161,,,,,15,7,5.05%,0,
299,161,,,,,16,7,5.65%,0,
300,161,,,,,17,7,6.25%,0,
301,161,,,,,18,7,6.85%,0,
302,171,,,,,1,8,0%,0,
303,171,,,,,2,8,0.04%,0,
304,171,,,,,3,8,0.06%,0,
305,171,,,,,4,8,0.08%,0,
306,171,,,,,5,8,0.12%,0,
307,171,,,,,6,8,0.18%,0,
308,171,,,,,7,8,0.24%,0,
309,171,,,,,8,8,0.32%,0,
310,171,,,,,9,8,0.40%,0,
311,171,,,,,10,8,0.50%,0,
312,171,,,,,11,8,0.60%,0,
313,171,,,,,12,8,0.72%,0,
314,171,,,,,13,8,0.80%,0,
315,171,,,,,14,8,0.90%,0,
316,171,,,,,15,8,1.00%,0,
317,171,,,,,16,8,1.10%,0,
318,171,,,,,17,8,1.30%,0,
319,171,,,,,18,8,1.60%,0,
320,181,,,,,1,0,0%,0,
321,181,,,,,2,0,0%,0,
322,181,,,,,3,0,0%,0,
323,181,,,,,4,0,0%,0,
324,181,,,,,5,0,0%,0,
325,181,,,,,6,0,0%,0,
326,181,,,,,7,0,0%,0,
327,181,,,,,8,0,0%,0,
328,181,,,,,9,0,0%,0,
329,181,,,,,10,0,0%,0,
330,181,,,,,11,0,0%,0,
331,181,,,,,12,0,0%,0,
332,191,,,,,1,13,0%,0,
333,191,,,,,2,13,0.04%,0,
334,191,,,,,3,13,0.06%,0,
335,191,,,,,4,13,0.08%,0,
336,191,,,,,5,13,0.12%,0,
337,191,,,,,6,13,0.18%,0,
338,191,,,,,7,13,0.24%,0,
339,191,,,,,8,13,0.32%,0,
340,191,,,,,9,13,0.40%,0,
341,191,,,,,10,13,0.50%,0,
342,191,,,,,11,13,0.60%,0,
343,191,,,,,12,13,0.72%,0,
344,191,,,,,13,13,0.80%,0,
345,191,,,,,14,13,0.90%,0,
346,191,,,,,15,13,1.00%,0,
347,191,,,,,16,13,1.10%,0,
348,191,,,,,17,13,1.30%,0,
349,191,,,,,18,13,1.60%,0,
350,201,,,,,1,0,0%,0,
351,201,,,,,2,0,0%,0,
352,201,,,,,3,0,0%,0,
353,201,,,,,4,0,0%,0,
354,201,,,,,5,0,0%,0,
355,201,,,,,6,0,0%,0,
356,201,,,,,7,0,0%,0,
357,201,,,,,8,0,0%,0,
358,201,,,,,9,0,0%,0,
359,201,,,,,10,0,0%,0,
360,201,,,,,11,0,0%,0,
361,201,,,,,12,0,0%,0,
362,211,,,,,1,0,0%,0,
363,211,,,,,2,0,0%,0,
364,211,,,,,3,0,0%,0,
365,211,,,,,4,0,0%,0,
366,211,,,,,5,0,0%,0,
367,211,,,,,6,0,0%,0,
368,211,,,,,7,0,0%,0,
369,211,,,,,8,0,0%,0,
370,211,,,,,9,0,0%,0,
371,211,,,,,10,0,0%,0,
372,211,,,,,11,0,0%,0,
373,211,,,,,12,0,0%,0,
374,221,,,,,1,8,0%,0,
375,221,,,,,2,8,0.08%,0,
376,221,,,,,3,8,0.16%,0,
377,221,,,,,4,8,0.24%,0,
378,221,,,,,5,8,0.40%,0,
379,221,,,,,6,8,0.56%,0,
380,221,,,,,7,8,0.80%,0,
381,221,,,,,8,8,1.04%,0,
382,221,,,,,9,8,1.36%,0,
