变量名,title,title_tw,title_en,title_vn,title_kr,title_pt,title_th,desc,desc_en,unlockFeature,type,sortIndex,flag,nameRes,lockbg1,unionFeature,serverDayInfo,goto
默认值,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",0,0,"""""","""""",,,""""""
序号,功能名,功能名,功能名,功能名_越南,功能名_韩,功能名_韩,功能名_韩,功能描述,功能描述,功能key（由对应unlock控制功能开放状态）,系统类型，属于pvp or pve,排序优先级（小的在前）,该配置是否有效（0有效;1无效）,标题资源路径,显示背景,公会等级需求（union_level 表openFeature字段）,开服天数需求,跳转字段
1,奖励副本,獎勵副本,Reward Quest,Nhiệm vụ thưởng,보상 던전,Missão de Recompensa,ภารกิจรางวัล,,,activityGate,pve,1,0,,city/adventure/activityselect/img_rcfb@.png,,,activityGate
2,冒险之路,冒險之路,Adventure Path,Đường phiêu lưu,모험의 길,Caminho da Aventura,เส้นทางผจญภัย,,,endlessTower,pve,2,0,,city/adventure/activityselect/img_wxtz@.png,,,endlessTower
3,派遣任务,派遣任務,Dispatch,Phái đi,파견 임무,Missão de Envio,ภารกิจส่ง,,,dispatchTask,pve,3,0,,city/adventure/activityselect/img_pq@.png,,,dispatchTask
4,以太乐园,以太樂園,Ether Park,Công viên Ether,에테르 파라다이스,Parque Éter,สวนอีเธอร์,,,randomTower,pve,5,0,,city/adventure/activityselect/img_ytly@.png,,,randomTower
5,元素挑战,元素挑戰,Element Trial,Thử thách nguyên tố,원소 도전,Desafio Elemental,ท้าทายธาตุ,,,cloneBattle,pve,4,0,,city/adventure/activityselect/img_ystz@.png,,,cloneBattle
6,钓鱼,釣魚,Fishing,Câu cá,낚시,Pesca,ตกปลา,,,fishing,pve,6,0,,city/adventure/activityselect/img_dy@.png,,,fishing
7,道馆挑战,道館挑戰,Gym Challenge,Thử thách Gym,체육관 도전,Desafio de Ginásio,ท้าทายยิม,,,gym,pve,7,0,,city/adventure/activityselect/img_dgtz.png,,,gymChallenge
8,狩猎地带,狩獵地帶,Safari Zone,Khu săn bắt,사파리존,Zona de Caça,เขตซาฟารี,,,hunting,pve,8,0,,city/adventure/activityselect/img_sldd@.png,,,hunting
9,宝可梦挑战,寶可夢挑戰,Pokémon Trial,Thử thách Pokémon,포켓몬 도전,Desafio Pokémon,ท้าทายโปเกมอน,,,normalBraveChallenge,pve,9,0,,city/adventure/activityselect/img_bkmtz@.png,,,normalBraveChallenge
101,竞技场,競技場,Arena,Đấu trường,아레나,Arena,อารีน่า,,,arena,pvp,1,0,,city/pvp/img_jjc.png,,,arena
102,公会战,公會戰,Guild War,Chiến bang hội,길드전,Guerra de Guildas,สงครามกิลด์,,,unionFight,pvp,3,0,,city/pvp/img_ghz.png,unionFight,{funcType=less;sevCsv=csv.union_fight.base[1].servOpenDays},unionFight
103,石英大会,石英大會,Quartz Cup,Cúp Thạch Anh,석영 대회,Copa Quartzo,ถ้วยควอตซ์,,,craft,pvp,2,0,,city/pvp/img_sydh.png,,{funcType=less;sevCsv=csv.craft.base[1].servOpenDays},craft
104,跨服石英,跨服石英,Cross-server Quartz,Thạch Anh liên server,서버 간 석영,Quartzo entre servidores,ควอตซ์ข้ามเซิร์ฟเวอร์,,,crossCraft,pvp,4,0,,city/pvp/img_kfsydh.png,,{funcType=less;sevCsv=csv.cross.craft.base[1].servOpenDays},crossCraft
105,跨服竞技场,跨服競技場,Cross-server Arena,Đấu trường liên server,서버 간 아레나,Arena entre servidores,อารีน่าข้ามเซิร์ฟเวอร์,,,crossArena,pvp,5,0,,city/pvp/img_kfjjc.png,,{funcType=less;sevCsv=csv.cross.arena.base[1].servOpenDays},crossArena
106,对战竞技场,對戰競技場,Battle Arena,Đấu trường chiến đấu,대전 아레나,Arena de Batalha,อารีน่าต่อสู้,,,onlineFight,pvp,6,0,,city/pvp/img_dzjjc.png,,{funcType=less;sevCsv=csv.cross.online_fight.base[1].servOpenDays},onlineFight
107,跨服商业街,跨服商業街,Cross-server Plaza,Phố liên server,서버 간 상점가,Praça entre servidores,พลาซ่าข้ามเซิร์ฟเวอร์,,,crossMine,pvp,7,0,,city/pvp/img_kfzyz.png,,{funcType=less;sevCsv=csv.cross.mine.base[1].servOpenDays},crossMine
