变量名,needRank,award,cost
默认值,,{},{}
ID,需要名次,排位奖励,消耗
1,1,{6051=3;521=5;rmb=2000},{}
2,3,{rmb=1500;521=4;gold=100000},{}
3,6,{rmb=1000;502=5;6052=3},{}
4,10,{rmb=500;501=2;gold=80000},{}
5,30,{501=5;rmb=300},{}
6,50,{rmb=300;gold=45000},{}
7,70,{rmb=300;gold=42500},{}
8,100,{501=1;rmb=300},{}
9,200,{rmb=300;gold=37500},{}
10,300,{rmb=300;gold=35000},{}
11,400,{501=1;rmb=200},{}
12,600,{941=1;rmb=200},{}
13,800,{rmb=200;gold=25000},{}
14,1000,{rmb=100;503=1},{}
15,1500,{rmb=100;gold=18000},{}
16,2000,{rmb=100;gold=18000},{}
17,3000,{rmb=100;503=1},{}
18,4000,{rmb=100;gold=16000},{}
19,6000,{rmb=100;gold=12000},{}
20,8000,{rmb=100;gold=12000},{}
21,10000,{rmb=100;gold=10000},{}
22,12000,{rmb=100;gold=8000},{}
23,16000,{rmb=100;gold=6000},{}
24,20000,{rmb=100;gold=6000},{}
25,30000,{rmb=100;gold=5000},{}
