变量名,range,periodAward,version
默认值,,{},0
ID,区间,排位奖励,奖励版本
1,<1;2>,{gold=80000;coin2=600;4000=60},0
2,<2;3>,{gold=74000;coin2=540;4000=55},0
3,<3;4>,{gold=71000;coin2=520;4000=50},0
4,<4;5>,{gold=68000;coin2=500;4000=50},0
5,<5;6>,{gold=65000;coin2=480;4000=45},0
6,<6;7>,{gold=62000;coin2=460;4000=45},0
7,<7;8>,{gold=59000;coin2=440;4000=45},0
8,<8;9>,{gold=56000;coin2=420;4000=40},0
9,<9;10>,{gold=53000;coin2=400;4000=40},0
10,<10;11>,{gold=50000;coin2=380;4000=40},0
11,<11;21>,{gold=47000;coin2=360;4000=35},0
12,<21;31>,{gold=44000;coin2=350;4000=35},0
13,<31;41>,{gold=41000;coin2=340;4000=35},0
14,<41;51>,{gold=38000;coin2=330;4000=35},0
15,<51;61>,{gold=35000;coin2=320;4000=35},0
16,<61;81>,{gold=32000;coin2=310;4000=30},0
17,<81;101>,{gold=30000;coin2=300;4000=30},0
18,<101;301>,{gold=28000;coin2=290;4000=30},0
19,<301;9999999>,{gold=26000;coin2=280;4000=30},0
101,<1;2>,{gold=120000;coin2=700;4000=70},101
102,<2;3>,{gold=114000;coin2=640;4000=65},101
103,<3;4>,{gold=111000;coin2=620;4000=60},101
104,<4;5>,{gold=108000;coin2=600;4000=60},101
105,<5;6>,{gold=105000;coin2=580;4000=55},101
106,<6;7>,{gold=102000;coin2=560;4000=55},101
107,<7;8>,{gold=99000;coin2=540;4000=55},101
108,<8;9>,{gold=96000;coin2=520;4000=50},101
109,<9;10>,{gold=93000;coin2=500;4000=50},101
110,<10;11>,{gold=90000;coin2=480;4000=50},101
111,<11;21>,{gold=87000;coin2=460;4000=45},101
112,<21;31>,{gold=84000;coin2=450;4000=45},101
113,<31;41>,{gold=81000;coin2=440;4000=45},101
114,<41;51>,{gold=78000;coin2=430;4000=45},101
115,<51;61>,{gold=75000;coin2=420;4000=45},101
116,<61;81>,{gold=72000;coin2=410;4000=40},101
117,<81;101>,{gold=70000;coin2=400;4000=40},101
118,<101;301>,{gold=68000;coin2=390;4000=40},101
119,<301;9999999>,{gold=66000;coin2=380;4000=40},101
