变量名,buildID,level,levelUpCost,levelUpCostTime,upgradeConditions,name,desc
默认值,0,1,{},1,<>,"""""",""""""
ID,建筑id 1:市中心 2:我的小屋,等级,升级消耗,升级所需时间(秒),升级条件,建筑名,描述
1,1,1,{},1,<>,市中心,市中心1
2,1,2,{gold=100},60,<>,市中心,市中心2
3,1,3,{gold=200},80,<>,市中心,市中心3
4,1,4,{gold=300},100,<>,市中心,市中心4
5,1,5,{gold=400},120,<>,市中心,市中心5
6,1,6,{gold=500},140,<>,市中心,市中心6
7,1,7,{gold=600},160,<>,市中心,市中心7
8,1,8,{gold=700},180,<>,市中心,市中心8
9,1,9,{gold=800},200,<>,市中心,市中心9
10,1,10,{gold=900},220,<>,市中心,市中心10
101,2,1,{},1,<>,我的小屋,
102,2,2,{gold=100},5,<201>,我的小屋,
103,2,3,{gold=200},5,<201>,我的小屋,
104,2,4,{gold=300},5,<201>,我的小屋,
105,2,5,{gold=400},5,<201>,我的小屋,
106,2,6,{gold=500},5,<202>,我的小屋,
107,2,7,{gold=600},5,<202>,我的小屋,
108,2,8,{gold=700},5,<203>,我的小屋,
109,2,9,{gold=800},5,<203>,我的小屋,
110,2,10,{gold=900},5,<203>,我的小屋,
201,3,1,{},1,<>,炼金工厂,
202,3,2,{gold=100},5,<>,炼金工厂,
203,3,3,{gold=200},5,<>,炼金工厂,
204,3,4,{gold=300},5,<>,炼金工厂,
205,3,5,{gold=400},5,<>,炼金工厂,
206,3,6,{gold=500},5,<>,炼金工厂,
207,3,7,{gold=600},5,<>,炼金工厂,
208,3,8,{gold=700},5,<>,炼金工厂,
209,3,9,{gold=800},5,<>,炼金工厂,
210,3,10,{gold=900},5,<>,炼金工厂,
301,4,1,{},1,<>,金融中心,
302,4,2,{gold=100},5,<>,金融中心,
303,4,3,{gold=200},5,<>,金融中心,
304,4,4,{gold=300},5,<>,金融中心,
305,4,5,{gold=400},5,<>,金融中心,
306,4,6,{gold=500},5,<>,金融中心,
307,4,7,{gold=600},5,<>,金融中心,
308,4,8,{gold=700},5,<>,金融中心,
309,4,9,{gold=800},5,<>,金融中心,
310,4,10,{gold=900},5,<>,金融中心,
401,5,1,{},1,<>,未知探险,
