变量名,range,award
默认值,<>,{}
ID,排名区间,排名奖励
1,<1;1>,{gold=80000;932=3;coin3=400}
2,<2;2>,{gold=75000;932=3;coin3=380}
3,<3;3>,{gold=70000;932=3;coin3=360}
4,<4;4>,{gold=65000;932=3;coin3=340}
5,<5;5>,{gold=60000;932=3;coin3=320}
6,<6;6>,{gold=55000;932=3;coin3=300}
7,<7;7>,{gold=50000;932=3;coin3=280}
8,<8;8>,{gold=45000;932=3;coin3=260}
9,<9;9>,{gold=40000;932=3;coin3=250}
10,<10;10>,{gold=38000;932=3;coin3=240}
11,<11;12>,{gold=36000;932=2;coin3=230}
12,<13;15>,{gold=34000;932=2;coin3=220}
13,<16;20>,{gold=32000;932=2;coin3=210}
14,<21;999>,{gold=30000;932=2;coin3=200}
