变量名,huodongID,_beizhu,bossID,gateID,baseHP,serverTargetAward,serverTargetRes,desc,bg,skillIcon,bossPos,bossScale
默认值,0,,0,0,100000,{},,"""""","""""",<>,{},1
ID,活动版本号,备注,BOSS的ID,关卡ID,基础血量,全服目标奖励,全服目标奖励宝箱资源,BOSS描述,背景图,技能图标显示,boss位置,boss缩放
1,1001,,25001,70001,30000000,{talent_point=1;rmb=20;gold=100000},config/world_boss/box/bx.png,,,<config/world_boss/skill_icon/icon_1.png;config/world_boss/skill_icon/icon_2.png;config/world_boss/skill_icon/icon_3.png;config/world_boss/skill_icon/icon_4.png>,{},0.9
2,1002,,25102,70002,30000000,{rmb=20;2103=5;gold=100000},config/world_boss/box/bx.png,,,<config/world_boss/skill_icon/icon_5.png;config/world_boss/skill_icon/icon_6.png;config/world_boss/skill_icon/icon_7.png;config/world_boss/skill_icon/icon_8.png>,{},1.2
3,1003,,25202,70003,30000000,{850=100;rmb=20;gold=100000},config/world_boss/box/bx.png,,,<config/world_boss/skill_icon/icon_9.png;config/world_boss/skill_icon/icon_10.png;config/world_boss/skill_icon/icon_12.png;config/world_boss/skill_icon/icon_11.png>,{},1.2
4,1004,,25001,70001,30000000,{rmb=20;451=60;gold=100000},config/world_boss/box/bx.png,,,<config/world_boss/skill_icon/icon_1.png;config/world_boss/skill_icon/icon_2.png;config/world_boss/skill_icon/icon_3.png;config/world_boss/skill_icon/icon_4.png>,{},0.9
5,1005,,25102,70002,30000000,{talent_point=1;rmb=20;gold=100000},config/world_boss/box/bx.png,,,<config/world_boss/skill_icon/icon_5.png;config/world_boss/skill_icon/icon_6.png;config/world_boss/skill_icon/icon_7.png;config/world_boss/skill_icon/icon_8.png>,{},1.2
6,1006,,25202,70003,30000000,{rmb=20;2103=5;gold=100000},config/world_boss/box/bx.png,,,<config/world_boss/skill_icon/icon_9.png;config/world_boss/skill_icon/icon_10.png;config/world_boss/skill_icon/icon_12.png;config/world_boss/skill_icon/icon_11.png>,{},1.2
7,1007,,25001,70001,30000000,{850=100;rmb=20;gold=100000},config/world_boss/box/bx.png,,,<config/world_boss/skill_icon/icon_1.png;config/world_boss/skill_icon/icon_2.png;config/world_boss/skill_icon/icon_3.png;config/world_boss/skill_icon/icon_4.png>,{},0.9
8,1008,,25102,70002,30000000,{rmb=20;451=60;gold=100000},config/world_boss/box/bx.png,,,<config/world_boss/skill_icon/icon_5.png;config/world_boss/skill_icon/icon_6.png;config/world_boss/skill_icon/icon_7.png;config/world_boss/skill_icon/icon_8.png>,{},1.2
9,1009,,25202,70003,30000000,{talent_point=1;rmb=20;gold=100000},config/world_boss/box/bx.png,,,<config/world_boss/skill_icon/icon_9.png;config/world_boss/skill_icon/icon_10.png;config/world_boss/skill_icon/icon_12.png;config/world_boss/skill_icon/icon_11.png>,{},1.2
10,1010,,25001,70001,30000000,{rmb=20;2103=5;gold=100000},config/world_boss/box/bx.png,,,<config/world_boss/skill_icon/icon_1.png;config/world_boss/skill_icon/icon_2.png;config/world_boss/skill_icon/icon_3.png;config/world_boss/skill_icon/icon_4.png>,{},0.9
11,1011,,25102,70002,30000000,{850=100;rmb=20;gold=100000},config/world_boss/box/bx.png,,,<config/world_boss/skill_icon/icon_5.png;config/world_boss/skill_icon/icon_6.png;config/world_boss/skill_icon/icon_7.png;config/world_boss/skill_icon/icon_8.png>,{},1.2
12,1012,,25202,70003,30000000,{rmb=20;451=60;gold=100000},config/world_boss/box/bx.png,,,<config/world_boss/skill_icon/icon_9.png;config/world_boss/skill_icon/icon_10.png;config/world_boss/skill_icon/icon_12.png;config/world_boss/skill_icon/icon_11.png>,{},1.2
