变量名,gateLibID,weight,hardDegree,times,timeLimit,posX,posY,scale
默认值,0,0,1,10,60,1,1,1
ID,关卡库id,权值,副本难度,挑战次数,副本持续时间,图片X坐标,图片Y坐标,图片缩放
61001,2020,50,1,10,180,1,1,1
61002,2020,50,1,10,180,1,1,1
61003,2020,50,1,10,180,1,1,1
61004,2020,50,1,10,180,1,1,1
61011,2020,35,2,5,180,1,1,1
61012,2020,35,2,5,180,1,1,1
61013,2020,35,2,5,180,1,1,1
61014,2020,35,2,5,180,1,1,1
61021,2020,15,3,3,180,1,1,1
61022,2020,15,3,3,180,1,1,1
61023,2020,15,3,3,180,1,1,1
61024,2020,15,3,3,180,1,1,1
62001,2021,100,1,10,180,1,1,1
62002,2021,100,1,10,180,1,1,1
62003,2021,100,1,10,180,1,1,1
62004,2021,100,1,10,180,1,1,1
62011,2021,35,2,5,180,1,1,1
62012,2021,35,2,5,180,1,1,1
62013,2021,35,2,5,180,1,1,1
62014,2021,35,2,5,180,1,1,1
62021,2021,35,2,5,180,1,1,1
62022,2021,35,2,5,180,1,1,1
62023,2021,35,2,5,180,1,1,1
62024,2021,35,2,5,180,1,1,1
62031,2021,15,3,3,180,1,1,1
62032,2021,15,3,3,180,1,1,1
62033,2021,15,3,3,180,1,1,1
62034,2021,15,3,3,180,1,1,1
62041,2021,15,3,3,180,1,1,1
62042,2021,15,3,3,180,1,1,1
62043,2021,15,3,3,180,1,1,1
62044,2021,15,3,3,180,1,1,1
