变量名,huodongID,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_en,desc_vn,desc_kr,addTimes
默认值,0,0,9999,{},"""""","""""","""""","""""","""""",0
ID,活动版本ID,任务类型,任务参数,任务特殊参数,任务描述,任务描述,任务描述,任务描述,任务描述,奖励抽卡次数
1,1001,17,1,{},当日登录游戏,,,,,1
2,1001,18,200,{},当日聚宝200次,,,,,1
3,1001,41,10,{},当日进行10次竞技场挑战,,,,,1
11,1001,28,3000,{},当日消耗体力达3000点,,,,,1
12,1001,28,9000,{},当日消耗体力达9000点,,,,,1
13,1001,28,18000,{},当日消耗体力达18000点,,,,,1
14,1001,28,24000,{},当日消耗体力达24000点,,,,,1
15,1001,28,36000,{},当日消耗体力达360000点,,,,,1
16,1001,28,60000,{},当日消耗体力达60000点,,,,,1
17,1001,28,90000,{},当日消耗体力达90000点,,,,,1
18,1001,28,120000,{},当日消耗体力达120000点,,,,,1
21,1001,22,60,{},当日充值60钻,,,,,1
22,1001,22,300,{},当日充值300钻,,,,,1
23,1001,22,600,{},当日充值600钻,,,,,1
24,1001,22,1000,{},当日充值1000钻,,,,,1
25,1001,22,3000,{},当日充值3000钻,,,,,1
26,1001,22,5000,{},当日充值5000钻,,,,,2
27,1001,22,8000,{},当日充值8000钻,,,,,3
28,1001,22,10000,{},当日充值10000钻,,,,,5
31,1001,21,80000,{},当日消耗80000钻,,,,,1
32,1001,21,150000,{},当日消耗150000钻,,,,,1
33,1001,21,300000,{},当日消耗300000钻,,,,,1
34,1001,21,500000,{},当日消耗500000钻,,,,,1
35,1001,21,1000000,{},当日消耗1000000钻,,,,,1
