变量名,huodongID,needRmb,needRmb_en,needRmb_tw,needRmb_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,award,award_en,award_tw,award_kr,icon
默认值,0,1,1,1,1,"""""","""""","""""","""""","""""",{},{},{},{},""""""
ID,活动版本ID,要求充值,要求充值,要求充值,要求充值,描述,描述,描述,描述_越南,描述_韩,奖励,奖励,奖励,奖励,奖励图标
1,3001,6480,1,1,1,单笔充值6480钻石,,,,,{rmb=6480},{},{},{},activity/once_recharge_award/icon_czfz1.png
2,3001,3280,1,1,1,单笔充值3280钻石,,,,,{rmb=3280},{},{},{},activity/once_recharge_award/icon_czfz2.png
3,3001,1980,1,1,1,单笔充值1980钻石,,,,,{rmb=1980},{},{},{},activity/once_recharge_award/icon_czfz3.png
4,3001,980,1,1,1,单笔充值980钻石,,,,,{rmb=980},{},{},{},activity/once_recharge_award/icon_czfz4.png
5,3001,600,1,1,1,单笔充值600钻石,,,,,{rmb=600},{},{},{},activity/once_recharge_award/icon_czfz5.png
6,3001,300,1,1,1,单笔充值300钻石,,,,,{rmb=300},{},{},{},activity/once_recharge_award/icon_czfz6.png
7,3001,60,1,1,1,单笔充值60钻石,,,,,{rmb=60},{},{},{},activity/once_recharge_award/icon_czfz7.png
11,3003,6480,1,1,1,单笔充值6480钻石,,,,,{rmb=6480},{},{},{},activity/once_recharge_award/icon_czfz1.png
12,3003,3280,1,1,1,单笔充值3280钻石,,,,,{rmb=3280},{},{},{},activity/once_recharge_award/icon_czfz2.png
13,3003,1980,1,1,1,单笔充值1980钻石,,,,,{rmb=1980},{},{},{},activity/once_recharge_award/icon_czfz3.png
14,3003,980,1,1,1,单笔充值980钻石,,,,,{rmb=980},{},{},{},activity/once_recharge_award/icon_czfz4.png
15,3003,600,1,1,1,单笔充值600钻石,,,,,{rmb=600},{},{},{},activity/once_recharge_award/icon_czfz5.png
16,3003,300,1,1,1,单笔充值300钻石,,,,,{rmb=300},{},{},{},activity/once_recharge_award/icon_czfz6.png
17,3003,60,1,1,1,单笔充值60钻石,,,,,{rmb=60},{},{},{},activity/once_recharge_award/icon_czfz7.png
21,3004,6480,1,1,1,单笔充值6480钻石,,,,,{rmb=3880},{},{},{},activity/once_recharge_award/icon_czfz1.png
22,3004,3280,1,1,1,单笔充值3280钻石,,,,,{rmb=2080},{},{},{},activity/once_recharge_award/icon_czfz2.png
23,3004,1980,1,1,1,单笔充值1980钻石,,,,,{rmb=1280},{},{},{},activity/once_recharge_award/icon_czfz3.png
24,3004,980,1,1,1,单笔充值980钻石,,,,,{rmb=680},{},{},{},activity/once_recharge_award/icon_czfz4.png
25,3004,600,1,1,1,单笔充值600钻石,,,,,{rmb=460},{},{},{},activity/once_recharge_award/icon_czfz5.png
26,3004,300,1,1,1,单笔充值300钻石,,,,,{rmb=280},{},{},{},activity/once_recharge_award/icon_czfz6.png
27,3004,60,1,1,1,单笔充值60钻石,,,,,{rmb=60},{},{},{},activity/once_recharge_award/icon_czfz7.png
