变量名,_beizhu,huodongID,items,costMap,position,limitTimes
默认值,,0,{},{},0,0
"商店ID	",备注,活动版本ID,商品ID表({ID=数量}),消耗({ID=数量}),商店栏位,限定兑换次数
1001,,1001,{516=1},{532=5},1,5
1002,,1001,{452=50},{532=5},2,3
1003,,1001,{519=1},{532=5},3,3
1004,,1001,{100=5},{532=5},4,8
1005,,1001,{1001=10},{532=5},5,5
1006,,1001,{29001=5},{532=5},6,10
1007,,1001,{525=1},{533=10},7,5
1008,,1001,{851=100},{533=10},8,5
1009,,1001,{925=1},{533=10},9,1
1010,,1001,{29002=5},{533=10},10,10
1011,,1001,{23511=5},{533=10},11,10
1012,,1001,{23021=5},{533=10},12,10
1013,,1001,{20741=5},{533=10},13,10
1014,,1002,{516=1},{532=5},1,5
1015,,1002,{452=50},{532=5},2,3
1016,,1002,{519=1},{532=5},3,3
1017,,1002,{100=5},{532=5},4,8
1018,,1002,{1001=10},{532=5},5,5
1019,,1002,{29001=5},{532=5},6,10
1020,,1002,{525=1},{533=10},7,5
1021,,1002,{851=100},{533=10},8,5
1022,,1002,{925=1},{533=10},9,1
1023,,1002,{29002=5},{533=10},10,10
1024,,1002,{23511=5},{533=10},11,10
1025,,1002,{23021=5},{533=10},12,10
1026,,1002,{20741=5},{533=10},13,10
2001,,1008,{27071=80},{533=100},1,1
2002,,1008,{27091=80},{533=200},2,1
2003,,1008,{29076=80},{533=200},3,1
2004,,1008,{27021=80},{533=150},4,1
2005,,1008,{521=10},{533=1},5,999
2006,,1008,{539=7},{533=1},6,999
2007,,1008,{gold=1000000},{532=1},7,999
2008,,1008,{902=1},{532=1},8,999
2009,,1008,{851=100},{532=1},9,999
2010,,1008,{111=20},{532=1},10,999
3001,,1009,{27101=80},{533=100},1,1
3002,,1009,{27111=80},{533=200},2,1
3003,,1009,{27102=80},{533=200},3,1
3004,,1009,{23601=80},{533=150},4,1
3005,,1009,{521=10},{533=1},5,999
3006,,1009,{539=7},{533=1},6,999
3007,,1009,{gold=1000000},{532=1},7,999
3008,,1009,{902=1},{532=1},8,999
3009,,1009,{851=100},{532=1},9,999
3010,,1009,{111=20},{532=1},10,999
4001,,1010,{24111=80},{533=100},1,1
4002,,1010,{27081=80},{533=200},2,1
4003,,1010,{24101=80},{533=200},3,1
4004,,1010,{24161=80},{533=150},4,1
4005,,1010,{521=10},{533=1},5,999
4006,,1010,{539=7},{533=1},6,999
4007,,1010,{gold=1000000},{532=1},7,999
4008,,1010,{902=1},{532=1},8,999
4009,,1010,{851=100},{532=1},9,999
4010,,1010,{111=20},{532=1},10,999
5001,,1011,{24121=80},{533=100},1,1
5002,,1011,{21254=80},{533=200},2,1
5003,,1011,{23252=80},{533=200},3,1
5004,,1011,{24023=80},{533=150},4,1
5005,,1011,{521=10},{533=1},5,999
5006,,1011,{539=5},{533=1},6,999
5007,,1011,{2103=10},{532=1},7,999
5008,,1011,{902=1},{532=1},8,999
5009,,1011,{851=100},{532=1},9,999
5010,,1011,{111=20},{532=1},10,999
6001,,1012,{21991=80},{533=100},1,1
6002,,1012,{21281=80},{533=150},2,1
6003,,1012,{22461=80},{533=200},3,1
6004,,1012,{24024=80},{533=200},4,1
6005,,1012,{521=10},{533=1},5,999
6006,,1012,{539=5},{533=1},6,999
6007,,1012,{2103=10},{532=1},7,999
6008,,1012,{902=1},{532=1},8,999
6009,,1012,{851=100},{532=1},9,999
6010,,1012,{111=20},{532=1},10,999
7001,,1013,{21961=80},{533=100},1,1
7002,,1013,{21971=80},{533=150},2,1
7003,,1013,{21981=80},{533=200},3,1
7004,,1013,{24101=80},{533=200},4,1
7005,,1013,{521=10},{533=1},5,999
7006,,1013,{539=5},{533=1},6,999
7007,,1013,{2103=10},{532=1},7,999
7008,,1013,{902=1},{532=1},8,999
7009,,1013,{851=100},{532=1},9,999
7010,,1013,{111=20},{532=1},10,999
8001,,1014,{23631=80},{533=100},1,1
8002,,1014,{23621=80},{533=150},2,1
8003,,1014,{27021=80},{533=200},3,1
8004,,1014,{27111=80},{533=200},4,1
8005,,1014,{521=10},{533=1},5,999
8006,,1014,{539=5},{533=1},6,999
8007,,1014,{2103=10},{532=1},7,999
8008,,1014,{902=1},{532=1},8,999
8009,,1014,{851=100},{532=1},9,999
8010,,1014,{111=20},{532=1},10,999
9001,,1015,{23211=80},{533=100},1,1
9002,,1015,{23221=80},{533=150},2,1
