变量名,_beizhu,type,needFrags,needSpecialFrags,costItemFrag,needCards,needSpecialCards,costItemCard,cardConvertNum
默认值,"""""",0,<>,<>,{gold=20000},<>,<>,{gold=500000},10
ID,备注,类型,转化一个需要的碎片<碎片品质;碎片属性系;costNum>,指定特殊碎片<<fragID1;num>;<fragID2;num>>(fragID支持配置万能碎片itemID),碎片转化消耗固定材料,精灵转换需<稀有度;属性系> -1为任意,指定特殊卡牌<markID>,卡牌转化消耗固定材料,精灵转换数量
50001,,2,<>,<<20001;1>;<502;1>>,{gold=10000},<>,<1;9001>,{gold=300000},30
50011,,2,<>,<<20011;1>>,{gold=10000},<>,<11;9001>,{gold=300000},30
50021,,2,<>,<<20021;1>>,{gold=10000},<>,<21;9001>,{gold=300000},30
50031,,2,<>,<<20031;1>>,{gold=10000},<>,<31>,{gold=200000},20
50041,,2,<>,<<20041;1>>,{gold=10000},<>,<41>,{gold=200000},20
50051,,2,<>,<<20051;1>>,{gold=10000},<>,<51;9001>,{gold=300000},30
50054,,2,<>,<<20051;1>>,{gold=20000},<>,<54;9002>,{gold=750000},50
50061,,2,<>,<<20061;1>>,{gold=10000},<>,<61>,{gold=200000},20
50071,,2,<>,<<20071;1>>,{gold=10000},<>,<71>,{gold=200000},20
50081,,2,<>,<<20081;1>>,{gold=10000},<>,<81>,{gold=200000},20
50091,,2,<>,<<20091;1>>,{gold=10000},<>,<91;9001>,{gold=300000},30
50101,,2,<>,<<20101;1>>,{gold=10000},<>,<101>,{gold=200000},20
50111,,2,<>,<<20111;1>>,{gold=10000},<>,<111>,{gold=200000},20
50121,,2,<>,<<20121;1>>,{gold=10000},<>,<121>,{gold=200000},20
50131,,2,<>,<<20131;1>>,{gold=10000},<>,<131;9001>,{gold=300000},30
50151,,2,<>,<<20151;1>>,{gold=10000},<>,<151;9001>,{gold=300000},30
50161,,2,<>,<<20161;1>>,{gold=15000},<>,<161;9002>,{gold=750000},50
50171,,2,<>,<<20171;1>>,{gold=10000},<>,<171>,{gold=200000},20
50191,,2,<>,<<20191;1>>,{gold=10000},<>,<191>,{gold=200000},20
50221,,2,<>,<<20221;1>>,{gold=10000},<>,<221;9001>,{gold=300000},30
50231,,2,<>,<<20231;1>>,{gold=10000},<>,<231>,{gold=200000},20
50241,,2,<>,<<20241;1>>,{gold=15000},<>,<241;9002>,{gold=750000},50
50251,,2,<>,<<20251;1>>,{gold=15000},<>,<251;9002>,{gold=750000},50
50261,,2,<>,<<20261;1>>,{gold=15000},<>,<261;9002>,{gold=750000},50
50271,,2,<>,<<20271;1>>,{gold=10000},<>,<271;9001>,{gold=300000},30
50281,,2,<>,<<20281;1>>,{gold=10000},<>,<281;9001>,{gold=300000},30
50301,,2,<>,<<20301;1>>,{gold=10000},<>,<301;9001>,{gold=300000},30
50321,,2,<>,<<20321;1>>,{gold=20000},<>,<321;9002>,{gold=750000},50
50331,,2,<>,<<20331;1>>,{gold=15000},<>,<331;9002>,{gold=750000},50
50341,,2,<>,<<20341;1>>,{gold=10000},<>,<341;9001>,{gold=300000},30
50351,,2,<>,<<20351;1>>,{gold=10000},<>,<351>,{gold=200000},20
50371,,2,<>,<<20371;1>>,{gold=10000},<>,<371;9001>,{gold=300000},30
50381,,2,<>,<<20381;1>>,{gold=15000},<>,<381;9002>,{gold=750000},50
50391,,2,<>,<<20391;1>>,{gold=15000},<>,<391;9002>,{gold=750000},50
50401,,2,<>,<<20401;1>>,{gold=15000},<>,<401;9002>,{gold=750000},50
50403,,2,<>,<<20401;1>>,{gold=15000},<>,<403;9002>,{gold=750000},50
50441,,2,<>,<<20441;1>>,{gold=20000},<>,<441;9002>,{gold=750000},50
50451,,2,<>,<<20451;1>>,{gold=10000},<>,<451>,{gold=200000},20
50461,,2,<>,<<20461;1>>,{gold=10000},<>,<461;9001>,{gold=300000},30
50471,,2,<>,<<20471;1>>,{gold=10000},<>,<471;9001>,{gold=300000},30
50481,,2,<>,<<20481;1>>,{gold=10000},<>,<481;9001>,{gold=300000},30
50491,,2,<>,<<20491;1>>,{gold=15000},<>,<491;9002>,{gold=750000},50
50501,,2,<>,<<20501;1>>,{gold=15000},<>,<501;9002>,{gold=750000},50
50541,,2,<>,<<20541;1>>,{gold=10000},<>,<541>,{gold=200000},20
50551,,2,<>,<<20551;1>>,{gold=10000},<>,<551;9001>,{gold=300000},30
50561,,2,<>,<<20561;1>>,{gold=15000},<>,<561;9002>,{gold=750000},50
50571,,2,<>,<<20571;1>>,{gold=15000},<>,<571;9002>,{gold=750000},50
50591,,2,<>,<<20591;1>>,{gold=15000},<>,<591;9002>,{gold=750000},50
50601,,2,<>,<<20601;1>>,{gold=15000},<>,<601;9002>,{gold=750000},50
50611,,2,<>,<<20611;1>>,{gold=15000},<>,<611;9002>,{gold=750000},50
50631,,2,<>,<<20631;1>>,{gold=15000},<>,<631;9002>,{gold=750000},50
50632,,2,<>,<<20631;1>>,{gold=20000},<>,<631;9002>,{gold=750000},50
50641,,2,<>,<<20641;1>>,{gold=15000},<>,<641;9002>,{gold=750000},50
50691,,2,<>,<<20691;1>>,{gold=10000},<>,<691;9001>,{gold=300000},30
50701,,2,<>,<<20701;1>>,{gold=15000},<>,<701;9002>,{gold=750000},50
50711,,2,<>,<<20711;1>>,{gold=15000},<>,<711;9002>,{gold=750000},50
50721,,2,<>,<<20721;1>>,{gold=15000},<>,<721;9002>,{gold=750000},50
50731,,2,<>,<<20731;1>>,{gold=15000},<>,<731;9002>,{gold=750000},50
50741,,2,<>,<<20741;1>>,{gold=15000},<>,<741;9002>,{gold=750000},50
50751,,2,<>,<<20751;1>>,{gold=15000},<>,<751;9002>,{gold=750000},50
50761,,2,<>,<<20761;1>>,{gold=20000},<>,<761;9003>,{gold=1600000},80
50771,,2,<>,<<20771;1>>,{gold=15000},<>,<771;9002>,{gold=750000},50
50781,,2,<>,<<20781;1>>,{gold=10000},<>,<781;9001>,{gold=300000},30
50791,,2,<>,<<20791;1>>,{gold=10000},<>,<791;9001>,{gold=300000},30
50801,,2,<>,<<20801;1>>,{gold=10000},<>,<801;9001>,{gold=300000},30
50861,,2,<>,<<20861;1>>,{gold=15000},<>,<861;9002>,{gold=750000},50
50881,,2,<>,<<20881;1>>,{gold=15000},<>,<881;9002>,{gold=750000},50
50891,,2,<>,<<20891;1>>,{gold=10000},<>,<891>,{gold=200000},20
50971,,2,<>,<<20971;1>>,{gold=10000},<>,<971;9002>,{gold=200000},20
51031,,2,<>,<<21031;1>>,{gold=15000},<>,<1031;9002>,{gold=750000},50
51071,,2,<>,<<21071;1>>,{gold=15000},<>,<1071;9002>,{gold=750000},50
51072,,2,<>,<<21071;1>>,{gold=15000},<>,<1071;9002>,{gold=750000},50
51081,,2,<>,<<21081;1>>,{gold=15000},<>,<1081;9002>,{gold=750000},50
51171,,2,<>,<<21171;1>>,{gold=15000},<>,<1171;9002>,{gold=750000},50
51173,,2,<>,<<21171;1>>,{gold=20000},<>,<1171;9002>,{gold=750000},50
51221,,2,<>,<<21221;1>>,{gold=15000},<>,<1221;9002>,{gold=750000},50
51231,,2,<>,<<21231;1>>,{gold=15000},<>,<1231;9002>,{gold=750000},50
51241,,2,<>,<<21241;1>>,{gold=15000},<>,<1241;9002>,{gold=750000},50
51251,,2,<>,<<21251;1>>,{gold=15000},<>,<1251;9002>,{gold=750000},50
51254,,2,<>,<<21254;1>>,{gold=15000},<>,<1254;9003>,{gold=750000},80
51261,,2,<>,<<21261;1>>,{gold=20000},<>,<1261;9003>,{gold=1600000},80
51271,,2,<>,<<21271;1>>,{gold=20000},<>,<1271;9003>,{gold=1600000},80
51281,,2,<>,<<21281;1>>,{gold=20000},<>,<1281;9003>,{gold=1600000},80
51291,,2,<>,<<21291;1>>,{gold=15000},<>,<1291;9002>,{gold=750000},50
51301,,2,<>,<<21301;1>>,{gold=15000},<>,<1301;9002>,{gold=750000},50
51304,,2,<>,<<21301;1>>,{gold=20000},<>,<1304;9002>,{gold=750000},50
51311,,2,<>,<<21311;1>>,{gold=15000},<>,<1311;9002>,{gold=750000},50
51351,,2,<>,<<21351;1>>,{gold=10000},<>,<1351>,{gold=200000},20
51391,,2,<>,<<21391;1>>,{gold=15000},<>,<1391;9002>,{gold=750000},50
51397,,2,<>,<<21391;1>>,{gold=15000},<>,<1397;9002>,{gold=750000},50
51421,,2,<>,<<21421;1>>,{gold=15000},<>,<1421;9002>,{gold=750000},50
51441,,2,<>,<<21441;1>>,{gold=10000},<>,<1441;9001>,{gold=300000},30
51481,,2,<>,<<21481;1>>,{gold=20000},<>,<1481;9002>,{gold=750000},50
51501,,2,<>,<<21501;1>>,{gold=15000},<>,<1501;9002>,{gold=750000},50
51611,,2,<>,<<21611;1>>,{gold=10000},<>,<1611;9001>,{gold=300000},30
51641,,2,<>,<<21641;1>>,{gold=10000},<>,<1641;9001>,{gold=300000},30
