变量名,name,name_tw,name_en,name_vn,name_kr,languages,cardID,icon,desc,desc_tw,desc_en,desc_kr,desc1,desc1_tw,desc1_en,desc1_kr,quality,type,stackMax,effBtn,pageTag,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_kr,effect,sortType,sortValue
默认值,"""""","""""","""""","""""","""""",<cn;tw;en;vn;th;kr>,0,config/portrait/jinglingtouxiang/img_25_pkq@.png,一种无法合成精灵特殊的碎片,"""""","""""","""""",主要用于进行精灵Z觉醒，但也可以用来提升极限属性，甚至作为超进化材料,"""""","""""","""""",4,5,9999,<1>,<3>,"""""","""""","""""","""""","""""","""""","""""",可在精灵Z觉醒里兑换获得,"""""","""""","""""",{drawcard=false;gain=false},0,0
碎片ID,碎片名称,碎片名称,碎片名称,碎片名称,碎片名称,语言区域,卡牌ID,碎片图标,描述,描述,描述,描述_韩,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息_韩,碎片品质,碎片类型(1卡牌碎片2装备碎片3道具碎片4携带道具碎片5专属觉醒碎片6通用觉醒碎片),堆叠上限,功能按键,特殊页签显示,产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),前三个都没就读描述,前三個都沒就讀描述,前三个都没就读描述,前三个都没就读描述_韩,分别表示在抽卡，恭喜获得,排序类型,排序价值
50001,妙蛙种子·Z觉醒碎片,妙蛙種子·Z招式碎片,Bulbasaur Z-Move Shard,Mảnh Z-Move của Bulbasaur,이상해씨 Z이동 조각,<cn;tw;en;vn;th;kr>,1,config/portrait/jinglingtouxiang/img_1_mwzz@.png,用于提升妙蛙种子的Z觉醒养成,用於提升妙蛙種子的Z招式培育,Used to enhance the Z-Move cultivation of Ivysaur,이브이사우르의 Z 기술 육성에 사용됩니다.,用于提升妙蛙种子的Z觉醒养成,用於提升妙蛙種子的Z招式養成,Used to enhance the Z-Move training of Venusaur,피카츄의 Z 기술 훈련 향상에 사용됩니다.,4,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be obtained by exchanging in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50011,小火龙·Z觉醒碎片,小火龍·Z招式碎片,Charmander Z-Move Shard,Mảnh Z-Move của Charmander,파이리 Z기술 조각,<cn;tw;en;vn;th;kr>,11,config/portrait/jinglingtouxiang/img_4_xhl@.png,用于提升小火龙的Z觉醒养成,提升小火龍Z招式養成的工具,Item for powering up Charmander's Z-Move,파이리의 Z기술을 강화하는 아이템,用于提升小火龙的Z觉醒养成,提升小火龍Z招式養成的工具,Tool for raising Charmander's Z-Move,파이리의 Z기술 육성을 위한 도구,4,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be exchanged for in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50021,杰尼龟·Z觉醒碎片,傑尼龜·Z招式碎片,Squirtle Z-Move Shard,Mảnh Z-Move của Squirtle,꼬부기 Z이벤트 조각,<cn;tw;en;vn;th;kr>,21,config/portrait/jinglingtouxiang/img_7_jng@.png,用于提升杰尼龟的Z觉醒养成,提升傑尼龜Z招式的培育,Raising a Squirtle's Z-Move,꼬부기의 Z 기술 육성,用于提升杰尼龟的Z觉醒养成,提升傑尼龜Z招式養成的工具,Item to enhance the Z-Move training of Squirtle,꼬부기의 Z 기술 훈련을 향상시키는 아이템,4,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be exchanged for in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50031,绿毛虫·Z觉醒碎片,綠毛蟲·Z招式碎片,Caterpie Z-Move Shard,Mảnh Z-Move của Caterpie,캐터피 Z이벤트 조각,<cn;tw;en;vn;th;kr>,31,config/portrait/jinglingtouxiang/img_10_lmc@.png,用于提升绿毛虫的Z觉醒养成,提升綠毛蟲Z招式養成的工具,Tool for improving Butterfree's Z-Move cultivation,버터플의 Z 기술 육성을 위한 도구,用于提升绿毛虫的Z觉醒养成,提升綠毛蟲Z招式的培育,Raising a Butterfree's Z-Move,캐터피의 Z 기술 육성,3,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be exchanged for in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50041,大针蜂·Z觉醒碎片,大針蜂 Z 覺醒碎片,Beedrill Z-Move Shard,Mảnh Z-Move của Beedrill,독침붕 Z기술 조각,<cn;tw;en;vn;th;kr>,41,config/portrait/jinglingtouxiang/img_15_dzf@.png,用于提升大针蜂的Z觉醒养成,提升大針蜂Z招式養成的工具,Tool for enhancing the Beedrill Z-Move cultivation,독침벌 Z이동 육성 향상 도구,用于提升大针蜂的Z觉醒养成,提升大針蜂Z招式的培育,Raising a Beedrill's Z-Move,독침붕의 Z기술 육성,3,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be exchanged for in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50051,波波·Z觉醒碎片,波波·Z招式碎片,Pidgey Z-Move Shard,Mảnh Z-Move của Pidgey,피죤 Z기술 조각,<cn;tw;en;vn;th;kr>,51,config/portrait/jinglingtouxiang/img_16_bb@.png,用于提升波波的Z觉醒养成,提升波波Z招式養成的工具,Tool for enhancing Popplio's Z-Move development,포푸니의 Z기술 육성을 위한 도구,用于提升波波的Z觉醒养成,提升波波Z招式的培育,Raising a Popplio's Z-Move,포플리 Z기술 육성,4,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be exchanged for in Z-Moves.,Z기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50054,超级大比鸟Z觉醒碎片,超級大比鳥Z招式碎片,Mega Pidgeot Z-Move Shard,Mảnh Z-Move của Mega Pidgeot,메가 피죤 Z기술 조각,<cn;tw;en;vn;th;kr>,54,config/portrait/jinglingtouxiang/img_18_cjdbn@.png,用于提升超级大比鸟Z觉醒养成,用於提升超級大比鳥Z招式養成,Used to enhance Super Pidgeot Z-Move training.,슈퍼 피죤 Z 기술 훈련 향상에 사용됩니다.,用于提升超级大比鸟Z觉醒养成,用於提升超級大比鳥Z招式養成,Used to enhance the Super Pidgeot Z-Move development,슈퍼 피죤 Z기술 개발 향상에 사용됩니다,5,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在精靈Z招式中兌換獲得,Can be obtained by exchanging in Z-Moves.,Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
50061,小拉达·Z觉醒碎片,小拉達·Z招式碎片,Rattata Z-Move Shard,Mảnh Z-Move của Rattata,꼬렛 Z기술 조각,<cn;tw;en;vn;th;kr>,61,config/portrait/jinglingtouxiang/img_19_xld@.png,用于提升小拉达的Z觉醒养成,提升小拉達Z招式養成的工具,Tool for enhancing Rattata's Z-Move training,꼬렛의 Z기술 훈련을 향상시키는 도구,用于提升小拉达的Z觉醒养成,提升小拉達Z招式養成的工具,Tool for raising the Z-Move of Rattata,꼬렛의 Z기술 육성을 위한 도구,3,5,99999,<1>,<3>,zawakeFragExclusive,,,,,,,可在精灵Z觉醒里兑换获得,可在寶可夢Z招式中兌換獲得,Can be exchanged for in Pokémon Z-Moves.,포켓몬 Z 기술에서 교환하여 얻을 수 있습니다.,{drawcard=false;gain=false},0,0
