变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5
默认值,{},{},{},{},{}
等级,道具消耗序列1,道具消耗序列2,道具消耗序列3,道具消耗序列4,道具消耗序列5
0,{501=1;gold=5000},{501=2;gold=5000},{501=2;gold=5000},{501=3;gold=5000},{501=3;gold=5000}
1,{501=1;gold=5000},{501=2;gold=5000},{501=2;gold=5000},{501=3;gold=5000},{501=3;gold=5000}
2,{501=1;gold=5000},{501=2;gold=5000},{501=2;gold=5000},{501=3;gold=5000},{501=3;gold=5000}
3,{501=2;gold=5000},{501=4;gold=5000},{501=4;gold=5000},{501=5;gold=5000},{501=5;gold=5000}
4,{501=2;gold=5000},{501=4;gold=5000},{501=4;gold=5000},{501=5;gold=5000},{501=5;gold=5000}
5,{501=2;gold=5000},{501=4;gold=5000},{501=4;gold=5000},{501=5;gold=5000},{501=5;gold=5000}
6,{501=3;gold=5000},{501=6;gold=5000},{501=6;gold=5000},{501=8;gold=5000},{501=8;gold=5000}
7,{501=3;gold=5000},{501=6;gold=5000},{501=6;gold=5000},{501=8;gold=5000},{501=8;gold=5000}
8,{501=3;gold=5000},{501=6;gold=5000},{501=6;gold=5000},{501=8;gold=5000},{501=8;gold=5000}
9,{501=4;gold=5000},{501=8;gold=5000},{501=8;gold=5000},{501=10;gold=5000},{501=10;gold=5000}
10,{501=4;gold=5000},{501=8;gold=5000},{501=8;gold=5000},{501=10;gold=5000},{501=10;gold=5000}
11,{501=4;gold=5000},{501=8;gold=5000},{501=8;gold=5000},{501=10;gold=5000},{501=10;gold=5000}
12,{501=5;gold=5000},{501=10;gold=5000},{501=10;gold=5000},{501=13;gold=5000},{501=13;gold=5000}
13,{501=5;gold=5000},{501=10;gold=5000},{501=10;gold=5000},{501=13;gold=5000},{501=13;gold=5000}
14,{501=5;gold=5000},{501=10;gold=5000},{501=10;gold=5000},{501=13;gold=5000},{501=13;gold=5000}
15,{501=6;gold=5000},{501=12;gold=5000},{501=12;gold=5000},{501=15;gold=5000},{501=15;gold=5000}
16,{501=6;gold=5000},{501=12;gold=5000},{501=12;gold=5000},{501=15;gold=5000},{501=15;gold=5000}
17,{501=6;gold=5000},{501=12;gold=5000},{501=12;gold=5000},{501=15;gold=5000},{501=15;gold=5000}
18,{501=7;gold=5000},{501=14;gold=5000},{501=14;gold=5000},{501=18;gold=5000},{501=18;gold=5000}
19,{501=7;gold=5000},{501=14;gold=5000},{501=14;gold=5000},{501=18;gold=5000},{501=18;gold=5000}
20,{501=7;gold=5000},{501=14;gold=5000},{501=14;gold=5000},{501=18;gold=5000},{501=18;gold=5000}
21,{501=8;gold=5000},{501=16;gold=5000},{501=16;gold=5000},{501=20;gold=5000},{501=20;gold=5000}
22,{501=8;gold=5000},{501=16;gold=5000},{501=16;gold=5000},{501=20;gold=5000},{501=20;gold=5000}
23,{501=8;gold=5000},{501=16;gold=5000},{501=16;gold=5000},{501=20;gold=5000},{501=20;gold=5000}
24,{501=9;gold=5000},{501=18;gold=5000},{501=18;gold=5000},{501=23;gold=5000},{501=23;gold=5000}
25,{501=9;gold=5000},{501=18;gold=5000},{501=18;gold=5000},{501=23;gold=5000},{501=23;gold=5000}
26,{501=9;gold=5000},{501=18;gold=5000},{501=18;gold=5000},{501=23;gold=5000},{501=23;gold=5000}
27,{501=10;gold=5000},{501=20;gold=5000},{501=20;gold=5000},{501=25;gold=5000},{501=25;gold=5000}
28,{501=10;gold=5000},{501=20;gold=5000},{501=20;gold=5000},{501=25;gold=5000},{501=25;gold=5000}
29,{501=10;gold=5000},{501=20;gold=5000},{501=20;gold=5000},{501=25;gold=5000},{501=25;gold=5000}
30,{501=10;gold=5000},{501=20;gold=5000},{501=20;gold=5000},{501=25;gold=5000},{501=25;gold=5000}
31,{501=11;gold=5500},{501=21;gold=5500},{501=21;gold=5500},{501=26;gold=5500},{501=26;gold=5500}
32,{501=12;gold=6050},{501=22;gold=6050},{501=22;gold=6050},{501=27;gold=6050},{501=27;gold=6050}
33,{501=13;gold=6655},{501=23;gold=6655},{501=23;gold=6655},{501=28;gold=6655},{501=28;gold=6655}
34,{501=14;gold=7321},{501=24;gold=7321},{501=24;gold=7321},{501=29;gold=7321},{501=29;gold=7321}
35,{501=15;gold=8053},{501=25;gold=8053},{501=25;gold=8053},{501=30;gold=8053},{501=30;gold=8053}
36,{501=16;gold=8858},{501=26;gold=8858},{501=26;gold=8858},{501=32;gold=8858},{501=32;gold=8858}
37,{501=17;gold=9744},{501=27;gold=9744},{501=27;gold=9744},{501=34;gold=9744},{501=34;gold=9744}
38,{501=18;gold=10718},{501=28;gold=10718},{501=28;gold=10718},{501=36;gold=10718},{501=36;gold=10718}
39,{501=19;gold=11790},{501=29;gold=11790},{501=29;gold=11790},{501=38;gold=11790},{501=38;gold=11790}
40,{501=20;gold=12969},{501=30;gold=12969},{501=30;gold=12969},{501=40;gold=12969},{501=40;gold=12969}
41,{501=21;gold=14266},{501=32;gold=14266},{501=32;gold=14266},{501=42;gold=14266},{501=42;gold=14266}
42,{501=22;gold=15693},{501=34;gold=15693},{501=34;gold=15693},{501=44;gold=15693},{501=44;gold=15693}
43,{501=23;gold=17262},{501=36;gold=17262},{501=36;gold=17262},{501=46;gold=17262},{501=46;gold=17262}
44,{501=24;gold=18988},{501=38;gold=18988},{501=38;gold=18988},{501=48;gold=18988},{501=48;gold=18988}
45,{501=25;gold=20887},{501=40;gold=20887},{501=40;gold=20887},{501=50;gold=20887},{501=50;gold=20887}
46,{501=26;gold=22976},{501=42;gold=22976},{501=42;gold=22976},{501=53;gold=22976},{501=53;gold=22976}
47,{501=27;gold=25274},{501=44;gold=25274},{501=44;gold=25274},{501=56;gold=25274},{501=56;gold=25274}
48,{501=28;gold=27801},{501=46;gold=27801},{501=46;gold=27801},{501=59;gold=27801},{501=59;gold=27801}
49,{501=29;gold=30581},{501=48;gold=30581},{501=48;gold=30581},{501=62;gold=30581},{501=62;gold=30581}
50,{501=30;gold=33639},{501=50;gold=33639},{501=50;gold=33639},{501=65;gold=33639},{501=65;gold=33639}
51,{501=32;gold=37003},{501=53;gold=37003},{501=53;gold=37003},{501=68;gold=37003},{501=68;gold=37003}
52,{501=34;gold=40703},{501=56;gold=40703},{501=56;gold=40703},{501=71;gold=40703},{501=71;gold=40703}
53,{501=36;gold=44773},{501=59;gold=44773},{501=59;gold=44773},{501=75;gold=44773},{501=75;gold=44773}
54,{501=38;gold=49250},{501=62;gold=49250},{501=62;gold=49250},{501=79;gold=49250},{501=79;gold=49250}
55,{501=40;gold=54175},{501=65;gold=54175},{501=65;gold=54175},{501=83;gold=54175},{501=83;gold=54175}
56,{501=42;gold=59593},{501=68;gold=59593},{501=68;gold=59593},{501=87;gold=59593},{501=87;gold=59593}
57,{501=44;gold=65552},{501=71;gold=65552},{501=71;gold=65552},{501=91;gold=65552},{501=91;gold=65552}
58,{501=46;gold=72107},{501=75;gold=72107},{501=75;gold=72107},{501=96;gold=72107},{501=96;gold=72107}
59,{501=48;gold=79318},{501=79;gold=79318},{501=79;gold=79318},{501=101;gold=79318},{501=101;gold=79318}
60,{501=50;gold=87250},{501=83;gold=87250},{501=83;gold=87250},{501=106;gold=87250},{501=106;gold=87250}
61,{501=53;gold=95975},{501=87;gold=95975},{501=87;gold=95975},{501=111;gold=95975},{501=111;gold=95975}
62,{501=56;gold=105573},{501=91;gold=105573},{501=91;gold=105573},{501=117;gold=105573},{501=117;gold=105573}
63,{501=59;gold=116130},{501=96;gold=116130},{501=96;gold=116130},{501=123;gold=116130},{501=123;gold=116130}
64,{501=62;gold=127743},{501=101;gold=127743},{501=101;gold=127743},{501=129;gold=127743},{501=129;gold=127743}
65,{501=65;gold=140517},{501=106;gold=140517},{501=106;gold=140517},{501=135;gold=140517},{501=135;gold=140517}
66,{501=68;gold=154569},{501=111;gold=154569},{501=111;gold=154569},{501=142;gold=154569},{501=142;gold=154569}
