变量名,sceneID,addMp1,addMp2,activeSkillMp1,lostBloodMp1,slayAddMp1Fix,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefence,defenceIgnoreC,specialDefenceIgnore,strikeLevelC,strikeDamageC,strikeResistanceC,blockLevelC,breakBlockLevelC,blockPowerC,dodgeC,hitC,damageAddC,damageSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,mainSkillAddC,mainSkillSubC,speedC,curePowerC,natureRestraintC,buffGroup
默认值,,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
ID,场景ID正数左边负数右边,初始怒气,初始Mp2(预留),攻击固定恢复怒气（限定前3回合）,损血怒气修正（与lostOnePercentHpAddMp相乘）,击杀怒气修正,血量修正,mp1魔法值修正,initMp1修正,HP回复修正,MP1回复修正,MP2回复修正,物攻修正,特攻修正,物防修正,特防修正,防御忽视修正,特防忽视修正,暴击等级修正,暴击伤害修正,暴击抗性修正,格挡等级修正,破格挡等级修正,格挡强度修正,闪避等级修正,命中等级修正,伤害加成修正,伤害减免修正,伤害加深修正,伤害降低修正,吸血,反弹,大招伤害加成,大招伤害抗性,速度修正,治疗效果,属性克制修正,进场BUFF组 <{id=buff表ID;lifeTime=持续时间;prob=加BUFF成功概率;value=BUFF的相应值，同skill_process表}>
1,0,0,0,0,1,<1;1>,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
2,-1,10000,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
3,1,10000,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
4,10101,10000,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
5,-10101,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
6,-2,0,0,0,1,<1;1>,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
7,2,0,0,0,1,<1;1>,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
8,999999,0,0,0,1,<1;1>,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
9,-999999,0,0,0,1,<1;1>,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
10,-60201,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<{prob=1;id=900023;value=<2>;lifeTime=99}>
11,-60202,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<{prob=1;id=900023;value=<2>;lifeTime=99}>
12,-60203,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<{prob=1;id=900023;value=<2>;lifeTime=99}>
13,-60204,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<{prob=1;id=900023;value=<2>;lifeTime=99}>
14,-60205,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<{prob=1;id=900023;value=<2>;lifeTime=99}>
15,-60206,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<{prob=1;id=900023;value=<2>;lifeTime=99}>
16,-60207,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<{prob=1;id=900023;value=<2>;lifeTime=99}>
20,-60251,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<{prob=1;id=900024;value=<4>;lifeTime=99}>
21,-60252,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<{prob=1;id=900024;value=<4>;lifeTime=99}>
22,-60253,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<{prob=1;id=900024;value=<4>;lifeTime=99}>
23,-60254,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<{prob=1;id=900024;value=<4>;lifeTime=99}>
24,-60255,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<{prob=1;id=900024;value=<4>;lifeTime=99}>
25,-60256,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<{prob=1;id=900024;value=<4>;lifeTime=99}>
26,-60257,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<{prob=1;id=900024;value=<4>;lifeTime=99}>
101,-30101,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,<>
102,-30102,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,<>
103,-30103,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,<>
104,-30201,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,<>
105,-30202,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,<>
106,-30203,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,<>
107,-30301,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,<>
108,-30302,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,<>
109,-30303,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,<>
110,-30304,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,<>
111,-30401,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,<>
112,-30402,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,<>
113,-30403,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,<>
114,-30404,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,<>
115,-30501,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,<>
116,-30502,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,<>
117,-30503,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,<>
118,-30504,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,<>
119,-30505,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,<>
1001,-9,0,0,0,1,<1;1>,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
1002,9,0,0,0,1,<1;1>,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
1011,-10,-200,0,100,0.3,<1;1>,2.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
1012,10,-200,0,100,0.3,<1;1>,2.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
1021,-11,-200,0,0,1,<1;1>,1,1,1,0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
1031,-13,0,0,0,1,<1;1>,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
1032,13,0,0,0,1,<1;1>,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
1041,-14,-200,0,100,0.3,<1;1>,2.25,1,1,1,1,1,1,1,1.1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
