变量名,_beizhu,fragID,cardID,languages
默认值,,,,<cn;tw;en;vn;th;kr;pt>
ID,备注,碎片id,卡牌id,语言区域
1,,20001,1,
2,,20001,2,
3,,20001,3,
4,,20001,4,
11,,20011,11,
12,,20011,12,
13,,20011,13,
14,,20011,14,
15,,20011,15,
21,,20021,21,
22,,20021,22,
23,,20021,23,
24,,20021,24,
31,,20031,31,
33,,20031,33,
41,,20041,41,
44,,20041,44,
51,,20051,51,
52,,20051,52,
53,,20051,53,
54,,20051,54,
61,,20061,61,
62,,20061,62,
71,,20071,71,
72,,20071,72,
81,,20081,81,
82,,20081,82,
91,,20091,91,
92,,20091,92,
93,,20091,93,
101,,20101,101,
102,,20101,102,
111,,20111,111,
112,,20111,112,
113,,20111,113,
121,,20121,121,
122,,20121,122,
123,,20121,123,
131,,20131,131,
132,,20131,132,
133,,20131,133,
151,,20151,151,
152,,20151,152,
153,,20151,153,
161,,20161,161,
162,,20161,162,
163,,20161,163,
171,,20171,171,
172,,20171,172,
173,,20171,173,
191,,20191,191,
192,,20191,192,
211,,20211,211,
212,,20211,212,
221,,20221,221,
222,,20221,222,
231,,20231,231,
232,,20231,232,
241,,20241,241,
242,,20241,242,
251,,20251,251,
261,,20261,261,
262,,20261,262,
263,,20261,263,
264,,20261,264,
271,,20271,271,
272,,20271,272,
273,,20271,273,
281,,20281,281,
282,,20281,282,
283,,20281,283,
301,,20301,301,
302,,20301,302,
303,,20301,303,
321,,20321,321,
331,,20331,331,
332,,20331,332,
333,,20331,333,
341,,20341,341,
351,,20351,351,
352,,20351,352,
371,,20371,371,
372,,20371,372,
381,,20381,381,
382,,20381,382,
391,,20391,391,
392,,20391,392,
393,,20391,393,
394,,20391,394,
401,,20401,401,
402,,20401,402,
403,,20401,403,
411,,20411,411,
431,,20431,431,
441,,20441,441,
451,,20451,451,
452,,20451,452,
461,,20461,461,
462,,20461,462,
463,,20461,463,
464,,20461,464,
471,,20471,471,
472,,20471,472,
481,,20481,481,
482,,20481,482,
491,,20491,491,
492,,20491,492,
493,,20491,493,
501,,20501,501,
502,,20501,502,
503,,20501,503,
541,,20541,541,
542,,20541,542,
551,,20551,551,
552,,20551,552,
561,,20561,561,
571,,20571,571,
572,,20571,572,
574,,20571,574,
591,,20591,591,
592,,20591,592,
593,,20591,593,
601,,20601,601,
602,,20601,602,
603,,20601,603,
611,,20611,611,
631,,20631,631,
632,,20631,632,
641,,20641,641,
691,,20691,691,
692,,20691,692,
701,,20701,701,
711,,20711,711,
712,,20711,712,
721,,20721,721,
731,,20731,731,
741,,20741,741,
751,,20751,751,
752,,20751,752,
753,,20751,753,
761,,20761,761,
762,,20761,762,
763,,20761,763,
771,,20771,771,
781,,20781,781,
782,,20781,782,
783,,20781,783,
791,,20791,791,
792,,20791,792,
793,,20791,793,
801,,20801,801,
802,,20801,802,
803,,20801,803,
861,,20861,861,
862,,20861,862,
863,,20861,863,
881,,20881,881,
882,,20881,882,
883,,20881,883,
884,,20881,884,
891,,20891,891,
892,,20891,892,
893,,20891,893,
901,,20901,901,
971,,20971,971,
972,,20971,972,
1031,,21031,1031,
1032,,21031,1032,
1071,,21071,1071,
1072,,21071,1072,
1081,,21081,1081,
1082,,21081,1082,
1171,,21171,1171,
1172,,21171,1172,
1173,,21171,1173,
1221,,21221,1221,
1231,,21231,1231,
1241,,21241,1241,
1251,,21251,1251,
1252,,21251,1252,
1253,,21251,1253,
1254,,21254,1254,
1261,,21261,1261,
1271,,21271,1271,
1281,,21281,1281,
1291,,21291,1291,
1292,,21291,1292,
1293,,21291,1293,
1301,,21301,1301,
1302,,21301,1302,
1303,,21301,1303,
1304,,21301,1304,
1311,,21311,1311,
1312,,21311,1312,
1313,,21311,1313,
1314,,21311,1314,
1351,,21351,1351,
1352,,21351,1352,
1353,,21351,1353,
1391,,21391,1391,
1392,,21391,1392,
1393,,21391,1393,
1394,,21391,1394,
1396,,21391,1396,
1397,,21391,1397,
1421,,21421,1421,
1422,,21421,1422,
1423,,21421,1423,
1441,,21441,1441,
1442,,21441,1442,
1443,,21441,1443,
1481,,21481,1481,
1501,,21501,1501,
1502,,21501,1502,
1503,,21501,1503,
1504,,21501,1504,
1511,,21511,1511,
1611,,21611,1611,
1612,,21611,1612,
1641,,21641,1641,
1671,,21671,1671,
1771,,21771,1771,
1772,,21771,1772,
1801,,21801,1801,
1802,,21801,1802,
1811,,21811,1811,
1812,,21811,1812,
1813,,21811,1813,
1841,,21841,1841,
1851,,21851,1851,
1852,,21851,1852,
1853,,21851,1853,
1861,,21861,1861,
1862,,21861,1862,
1863,,21861,1863,
1891,,21891,1891,
1892,,21891,1892,
1893,,21891,1893,
1901,,21901,1901,
1902,,21901,1902,
1903,,21901,1903,
1911,,21911,1911,
1921,,21921,1921,
1931,,21931,1931,
1941,,21941,1941,
1951,,21951,1951,
1961,,21961,1961,
1962,,21961,1962,
1971,,21971,1971,
1972,,21971,1972,
1981,,21981,1981,
1982,,21981,1982,
1991,,21991,1991,
2011,,22011,2011,
2012,,22011,2012,
2013,,22011,2013,
2021,,22021,2021,
2022,,22021,2022,
2023,,22021,2023,
2031,,22031,2031,
2032,,22031,2032,
2033,,22031,2033,
2041,,22041,2041,
2071,,22071,2071,
2072,,22071,2072,
2073,,22071,2073,
2121,,22121,2121,
2131,,22131,2131,
2231,,22231,2231,
2232,,22231,2232,
2233,,22231,2233,
2241,,22241,2241,
2242,,22241,2242,
2243,,22241,2243,
2271,,22271,2271,
2272,,22271,2272,
2301,,22301,2301,
2302,,22301,2302,
2303,,22301,2303,
2351,,22351,2351,
2361,,22361,2361,
2371,,22371,2371,
2381,,22381,2381,
2391,,22391,2391,
2401,,22401,2401,
2411,,22411,2411,
2421,,22421,2421,
2431,,22431,2431,
2441,,22441,2441,
2442,,22441,2442,
2461,,22461,2461,
2471,,22471,2471,
2472,,22471,2472,
2473,,22471,2473,
2481,,22481,2481,
2482,,22481,2482,
2483,,22481,2483,
2491,,22491,2491,
2492,,22491,2492,
2493,,22491,2493,
2591,,22591,2591,
2592,,22591,2592,
2593,,22591,2593,
2611,,22611,2611,
2612,,22611,2612,
2631,,22631,2631,
2632,,22631,2632,
2633,,22631,2633,
2681,,22681,2681,
2682,,22681,2682,
2683,,22681,2683,
2721,,22721,2721,
2722,,22721,2722,
2723,,22721,2723,
2821,,22821,2821,
2822,,22821,2822,
2831,,22831,2831,
2832,,22831,2832,
2841,,22841,2841,
2842,,22841,2842,
2843,,22841,2843,
2871,,22871,2871,
2872,,22871,2872,
2873,,22871,2873,
2891,,22891,2891,
2921,,22921,2921,
2922,,22922,2922,
2923,,22921,2923,
2924,,22922,2924,
2961,,22961,2961,
2962,,22961,2962,
2963,,22961,2963,
2991,,22991,2991,
2992,,22991,2992,
2993,,22991,2993,
3001,,23001,3001,
3002,,23001,3002,
3003,,23001,3003,
3011,,23011,3011,
3012,,23011,3012,
3021,,23021,3021,
3051,,23051,3051,
3141,,23141,3141,
3142,,23141,3142,
3143,,23141,3143,
3151,,23151,3151,
3152,,23151,3152,
3161,,23161,3161,
3171,,23171,3171,
3181,,23181,3181,
3191,,23191,3191,
3201,,23201,3201,
3211,,23211,3211,
3221,,23221,3221,
3231,,23231,3231,
3241,,23241,3241,
3242,,23241,3242,
3244,,23244,3244,
3251,,23251,3251,
3261,,23261,3261,
3262,,23261,3262,
3271,,23271,3271,
3281,,23281,3281,
3282,,23281,3282,
3283,,23281,3283,
3291,,23291,3291,
3292,,23291,3292,
3293,,23291,3293,
3301,,23301,3301,
3302,,23301,3302,
3303,,23301,3303,
3304,,23301,3304,
3341,,23341,3341,
3342,,23341,3342,
3351,,23351,3351,
3352,,23351,3352,
3353,,23351,3353,
3411,,23411,3411,
3412,,23411,3412,
3413,,23411,3413,
3431,,23431,3431,
3432,,23431,3432,
3471,,23471,3471,
3472,,23471,3472,
3501,,23501,3501,
3502,,23501,3502,
3511,,23511,3511,
3541,,23541,3541,
3542,,23541,3542,
3543,,23541,3543,
3561,,23561,3561,
3562,,23561,3562,
3591,,23591,3591,
3592,,23591,3592,
3601,,23601,3601,
3611,,23611,3611,
3621,,23621,3621,
3622,,23621,3622,
3623,,23621,3623,
3631,,23631,3631,
3632,,23631,3632,
3641,,23641,3641,
3642,,23641,3642,
3651,,23651,3651,
3661,,23661,3661,
3662,,23661,3662,
3663,,23661,3663,
3671,,23671,3671,
3681,,23681,3681,
3682,,23681,3682,
3683,,23681,3683,
3771,,23771,3771,
3772,,23771,3772,
3841,,23841,3841,
3842,,23841,3842,
3843,,23841,3843,
3951,,23951,3951,
3961,,23961,3961,
4024,,24024,4024,
4031,,24031,4031,
4051,,24051,4051,
4071,,24071,4071,
4081,,24081,4081,
4101,,24101,4101,
4111,,24111,4111,
4121,,24121,4121,
4131,,24131,4131,
4132,,24131,4132,
4141,,24141,4141,
4151,,24151,4151,
4161,,24161,4161,
4171,,24171,4171,
4172,,24171,4172,
4181,,24181,4181,
4191,,24191,4191,
4201,,24201,4201,
4211,,24211,4211,
4221,,24221,4221,
4231,,24231,4231,
4241,,24241,4241,
4251,,24251,4251,
4261,,24261,4261,
4271,,24271,4271,
4291,,24291,4291,
4301,,24301,4301,
4311,,24311,4311,
4321,,24321,4321,
4331,,24331,4331,
4341,,24341,4341,
4351,,24351,4351,
4361,,24361,4361,
4371,,24371,4371,
4381,,24381,4381,
4391,,24391,4391,
4401,,24401,4401,
4411,,24411,4411,
4421,,24421,4421,
4431,,24431,4431,
4441,,24441,4441,
4451,,24451,4451,
4461,,24461,4461,
4481,,24481,4481,
4491,,24491,4491,
7001,,27001,7001,
7021,,27021,7021,
7031,,27031,7031,
7041,,27041,7041,
7051,,27051,7051,
7061,,27061,7061,
7071,,27071,7071,
7081,,27081,7081,
7091,,27091,7091,
7101,,27101,7101,
7111,,27111,7111,
7121,,27121,7121,
8101,,29061,8101,
8102,,29071,8102,
8103,,29081,8103,
8104,,29091,8104,
8105,,29101,8105,
8106,,29111,8106,
8107,,29121,8107,
