变量名,_beizhu,attrType,advance,randomRange1,cost1,randomRange2,cost2
默认值,"""""",7,1,<<<-4;15>;10>;<<16;30>;10>>,{451=1},<<<-4;15>;10>;<<16;30>;10>>,{451=1}
ID,备注,属性,突破阶段,道具1随机范围 <<随机下限;随机上限>;权重>,单次随机道具1消耗,道具2随机范围 <<随机下限;随机上限>;权重>,单次随机道具2消耗
1,,1,1,<<<-8;65>;100>>,{451=6},<<<16;97>;100>>,{452=3}
2,,1,2,<<<-8;65>;100>>,{451=6},<<<16;97>;100>>,{452=3}
3,,1,3,<<<-16;65>;100>>,{451=6},<<<8;97>;100>>,{452=3}
4,,1,4,<<<-24;65>;100>>,{451=6},<<<8;97>;100>>,{452=3}
5,,1,5,<<<-24;65>;100>>,{451=6},<<<0;97>;100>>,{452=3}
6,,1,6,<<<-40;65>;100>>,{451=6},<<<0;97>;100>>,{452=3}
7,,1,7,<<<-40;65>;100>>,{451=6},<<<0;97>;100>>,{452=3}
8,,1,8,<<<-65;65>;100>>,{451=6},<<<0;97>;100>>,{452=3}
9,,1,9,<<<-65;65>;100>>,{451=6},<<<0;97>;100>>,{452=3}
10,,1,10,<<<-65;52>;100>>,{451=6},<<<0;97>;100>>,{452=3}
11,,1,11,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
12,,1,12,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
13,,1,13,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
14,,1,14,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
15,,1,15,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
16,,1,16,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
17,,1,17,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
18,,1,18,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
19,,1,19,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
20,,1,20,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
21,,1,21,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
22,,1,22,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
23,,1,23,<<<-80;30>;100>>,{451=20},<<<0;97>;100>>,{452=10}
24,,1,24,<<<-80;30>;100>>,{451=20},<<<0;97>;100>>,{452=10}
25,,1,25,<<<-80;30>;100>>,{451=20},<<<0;97>;100>>,{452=10}
26,,1,26,<<<-80;30>;100>>,{451=20},<<<0;97>;100>>,{452=10}
27,,1,27,<<<-80;30>;100>>,{451=20},<<<0;97>;100>>,{452=10}
28,,1,28,<<<-80;30>;100>>,{451=20},<<<0;97>;100>>,{452=10}
29,,1,29,<<<-80;30>;100>>,{451=20},<<<0;97>;100>>,{452=10}
30,,1,30,<<<-80;30>;100>>,{451=20},<<<0;97>;100>>,{452=10}
31,,1,31,<<<-80;30>;100>>,{451=20},<<<0;97>;100>>,{452=10}
32,,1,32,<<<-80;30>;100>>,{451=20},<<<0;97>;100>>,{452=10}
33,,13,1,<<<-1;2>;100>>,{451=6},<<<1;3>;100>>,{452=3}
34,,13,2,<<<-1;2>;100>>,{451=6},<<<1;3>;100>>,{452=3}
35,,13,3,<<<-1;2>;100>>,{451=6},<<<0;3>;100>>,{452=3}
36,,13,4,<<<-1;2>;100>>,{451=6},<<<0;3>;100>>,{452=3}
37,,13,5,<<<-2;2>;100>>,{451=6},<<<0;3>;100>>,{452=3}
38,,13,6,<<<-2;2>;100>>,{451=6},<<<0;3>;100>>,{452=3}
39,,13,7,<<<-3;2>;100>>,{451=6},<<<0;3>;100>>,{452=3}
40,,13,8,<<<-3;2>;100>>,{451=6},<<<0;3>;100>>,{452=3}
41,,13,9,<<<-3;1>;100>>,{451=6},<<<0;3>;100>>,{452=3}
42,,13,10,<<<-3;-1>;40>;<<0;1>;60>>,{451=6},<<<0;2>;80>;<<3;3>;20>>,{452=3}
43,,13,11,<<<-3;-1>;50>;<<0;1>;50>>,{451=6},<<<0;2>;80>;<<3;3>;20>>,{452=3}
44,,13,12,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
45,,13,13,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
46,,13,14,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
