变量名,seq,level,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3
默认值,0,0,0,"""""",0,"""""",0,""""""
ID,属性序列类型,等级,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3
1,1,1,1,2520,0,,0,
2,1,2,1,2560,0,,0,
3,1,3,1,2601,0,,0,
4,1,4,1,2641,0,,0,
5,1,5,1,2681,0,,0,
6,1,6,1,2722,0,,0,
7,1,7,1,2762,0,,0,
8,1,8,1,2802,0,,0,
9,1,9,1,2843,0,,0,
10,1,10,1,2883,0,,0,
11,1,11,1,2974,0,,0,
12,1,12,1,3019,0,,0,
13,1,13,1,3064,0,,0,
14,1,14,1,3110,0,,0,
15,1,15,1,3155,0,,0,
16,1,16,1,3200,0,,0,
17,1,17,1,3246,0,,0,
18,1,18,1,3291,0,,0,
19,1,19,1,3336,0,,0,
20,1,20,1,3382,0,,0,
21,1,21,1,3528,0,,0,
22,1,22,1,3578,0,,0,
23,1,23,1,3629,0,,0,
24,1,24,1,3679,0,,0,
25,1,25,1,3730,0,,0,
26,1,26,1,3780,0,,0,
27,1,27,1,3830,0,,0,
28,1,28,1,3881,0,,0,
29,1,29,1,3931,0,,0,
30,1,30,1,3982,0,,0,
31,1,31,1,4183,0,,0,
32,1,32,1,4239,0,,0,
33,1,33,1,4294,0,,0,
34,1,34,1,4350,0,,0,
35,1,35,1,4405,0,,0,
36,1,36,1,4460,0,,0,
37,1,37,1,4516,0,,0,
38,1,38,1,4571,0,,0,
39,1,39,1,4627,0,,0,
40,1,40,1,4682,0,,0,
41,1,41,1,4939,0,,0,
42,1,42,1,5000,0,,0,
43,1,43,1,5060,0,,0,
44,1,44,1,5121,0,,0,
45,1,45,1,5181,0,,0,
46,1,46,1,5242,0,,0,
47,1,47,1,5302,0,,0,
48,1,48,1,5363,0,,0,
49,1,49,1,5423,0,,0,
50,1,50,1,5484,0,,0,
51,1,51,1,5796,0,,0,
52,1,52,1,5862,0,,0,
53,1,53,1,5927,0,,0,
54,1,54,1,5993,0,,0,
55,1,55,1,6058,0,,0,
56,1,56,1,6124,0,,0,
57,1,57,1,6189,0,,0,
58,1,58,1,6255,0,,0,
59,1,59,1,6320,0,,0,
60,1,60,1,6386,0,,0,
61,1,61,1,6754,0,,0,
62,1,62,1,6824,0,,0,
63,1,63,1,6895,0,,0,
64,1,64,1,6965,0,,0,
65,1,65,1,7036,0,,0,
66,1,66,1,7106,0,,0,
67,1,67,1,7177,0,,0,
68,1,68,1,7248,0,,0,
69,1,69,1,7318,0,,0,
70,1,70,1,7389,0,,0,
71,1,71,1,7812,0,,0,
72,1,72,1,7888,0,,0,
73,1,73,1,7963,0,,0,
74,1,74,1,8039,0,,0,
75,1,75,1,8114,0,,0,
76,1,76,1,8190,0,,0,
77,1,77,1,8266,0,,0,
78,1,78,1,8341,0,,0,
79,1,79,1,8417,0,,0,
80,1,80,1,8492,0,,0,
81,1,81,1,8971,0,,0,
82,1,82,1,9052,0,,0,
83,1,83,1,9132,0,,0,
84,1,84,1,9213,0,,0,
85,1,85,1,9294,0,,0,
86,1,86,1,9374,0,,0,
87,1,87,1,9455,0,,0,
88,1,88,1,9536,0,,0,
89,1,89,1,9616,0,,0,
90,1,90,1,9697,0,,0,
91,1,91,1,10231,0,,0,
92,1,92,1,10317,0,,0,
93,1,93,1,10403,0,,0,
94,1,94,1,10488,0,,0,
95,1,95,1,10574,0,,0,
96,1,96,1,10660,0,,0,
97,1,97,1,10745,0,,0,
98,1,98,1,10831,0,,0,
99,1,99,1,10917,0,,0,
100,1,100,1,11002,0,,0,
101,2,1,7,500,8,500,0,
102,2,2,7,508,8,508,0,
103,2,3,7,516,8,516,0,
104,2,4,7,524,8,524,0,
105,2,5,7,532,8,532,0,
106,2,6,7,540,8,540,0,
107,2,7,7,548,8,548,0,
108,2,8,7,556,8,556,0,
109,2,9,7,564,8,564,0,
110,2,10,7,572,8,572,0,
111,2,11,7,590,8,590,0,
112,2,12,7,599,8,599,0,
113,2,13,7,608,8,608,0,
114,2,14,7,617,8,617,0,
115,2,15,7,626,8,626,0,
116,2,16,7,635,8,635,0,
117,2,17,7,644,8,644,0,
118,2,18,7,653,8,653,0,
119,2,19,7,662,8,662,0,
120,2,20,7,671,8,671,0,
121,2,21,7,700,8,700,0,
122,2,22,7,710,8,710,0,
123,2,23,7,720,8,720,0,
124,2,24,7,730,8,730,0,
125,2,25,7,740,8,740,0,
126,2,26,7,750,8,750,0,
127,2,27,7,760,8,760,0,
128,2,28,7,770,8,770,0,
129,2,29,7,780,8,780,0,
130,2,30,7,790,8,790,0,
131,2,31,7,830,8,830,0,
132,2,32,7,841,8,841,0,
133,2,33,7,852,8,852,0,
134,2,34,7,863,8,863,0,
135,2,35,7,874,8,874,0,
136,2,36,7,885,8,885,0,
137,2,37,7,896,8,896,0,
138,2,38,7,907,8,907,0,
139,2,39,7,918,8,918,0,
140,2,40,7,929,8,929,0,
141,2,41,7,980,8,980,0,
142,2,42,7,992,8,992,0,
143,2,43,7,1004,8,1004,0,
144,2,44,7,1016,8,1016,0,
145,2,45,7,1028,8,1028,0,
146,2,46,7,1040,8,1040,0,
147,2,47,7,1052,8,1052,0,
148,2,48,7,1064,8,1064,0,
149,2,49,7,1076,8,1076,0,
150,2,50,7,1088,8,1088,0,
151,2,51,7,1150,8,1150,0,
152,2,52,7,1163,8,1163,0,
153,2,53,7,1176,8,1176,0,
154,2,54,7,1189,8,1189,0,
155,2,55,7,1202,8,1202,0,
156,2,56,7,1215,8,1215,0,
157,2,57,7,1228,8,1228,0,
158,2,58,7,1241,8,1241,0,
159,2,59,7,1254,8,1254,0,
160,2,60,7,1267,8,1267,0,
161,2,61,7,1340,8,1340,0,
162,2,62,7,1354,8,1354,0,
163,2,63,7,1368,8,1368,0,
164,2,64,7,1382,8,1382,0,
165,2,65,7,1396,8,1396,0,
166,2,66,7,1410,8,1410,0,
167,2,67,7,1424,8,1424,0,
168,2,68,7,1438,8,1438,0,
169,2,69,7,1452,8,1452,0,
170,2,70,7,1466,8,1466,0,
171,2,71,7,1550,8,1550,0,
172,2,72,7,1565,8,1565,0,
173,2,73,7,1580,8,1580,0,
174,2,74,7,1595,8,1595,0,
175,2,75,7,1610,8,1610,0,
176,2,76,7,1625,8,1625,0,
177,2,77,7,1640,8,1640,0,
178,2,78,7,1655,8,1655,0,
179,2,79,7,1670,8,1670,0,
180,2,80,7,1685,8,1685,0,
181,2,81,7,1780,8,1780,0,
182,2,82,7,1796,8,1796,0,
183,2,83,7,1812,8,1812,0,
184,2,84,7,1828,8,1828,0,
185,2,85,7,1844,8,1844,0,
186,2,86,7,1860,8,1860,0,
187,2,87,7,1876,8,1876,0,
188,2,88,7,1892,8,1892,0,
189,2,89,7,1908,8,1908,0,
190,2,90,7,1924,8,1924,0,
191,2,91,7,2030,8,2030,0,
192,2,92,7,2047,8,2047,0,
193,2,93,7,2064,8,2064,0,
194,2,94,7,2081,8,2081,0,
195,2,95,7,2098,8,2098,0,
196,2,96,7,2115,8,2115,0,
197,2,97,7,2132,8,2132,0,
198,2,98,7,2149,8,2149,0,
199,2,99,7,2166,8,2166,0,
200,2,100,7,2183,8,2183,0,
201,3,1,9,350,10,350,0,
202,3,2,9,356,10,356,0,
203,3,3,9,361,10,361,0,
204,3,4,9,367,10,367,0,
205,3,5,9,372,10,372,0,
206,3,6,9,378,10,378,0,
207,3,7,9,384,10,384,0,
208,3,8,9,389,10,389,0,
209,3,9,9,395,10,395,0,
210,3,10,9,400,10,400,0,
211,3,11,9,413,10,413,0,
212,3,12,9,419,10,419,0,
213,3,13,9,426,10,426,0,
214,3,14,9,432,10,432,0,
215,3,15,9,438,10,438,0,
216,3,16,9,445,10,445,0,
217,3,17,9,451,10,451,0,
218,3,18,9,457,10,457,0,
219,3,19,9,463,10,463,0,
220,3,20,9,470,10,470,0,
221,3,21,9,490,10,490,0,
222,3,22,9,497,10,497,0,
223,3,23,9,504,10,504,0,
224,3,24,9,511,10,511,0,
225,3,25,9,518,10,518,0,
226,3,26,9,525,10,525,0,
227,3,27,9,532,10,532,0,
228,3,28,9,539,10,539,0,
229,3,29,9,546,10,546,0,
230,3,30,9,553,10,553,0,
231,3,31,9,581,10,581,0,
232,3,32,9,589,10,589,0,
233,3,33,9,596,10,596,0,
234,3,34,9,604,10,604,0,
235,3,35,9,612,10,612,0,
236,3,36,9,620,10,620,0,
237,3,37,9,627,10,627,0,
238,3,38,9,635,10,635,0,
239,3,39,9,643,10,643,0,
240,3,40,9,650,10,650,0,
241,3,41,9,686,10,686,0,
242,3,42,9,694,10,694,0,
243,3,43,9,703,10,703,0,
244,3,44,9,711,10,711,0,
245,3,45,9,720,10,720,0,
246,3,46,9,728,10,728,0,
247,3,47,9,736,10,736,0,
248,3,48,9,745,10,745,0,
249,3,49,9,753,10,753,0,
250,3,50,9,762,10,762,0,
251,3,51,9,805,10,805,0,
252,3,52,9,814,10,814,0,
253,3,53,9,823,10,823,0,
254,3,54,9,832,10,832,0,
255,3,55,9,841,10,841,0,
256,3,56,9,851,10,851,0,
257,3,57,9,860,10,860,0,
258,3,58,9,869,10,869,0,
259,3,59,9,878,10,878,0,
260,3,60,9,887,10,887,0,
261,3,61,9,938,10,938,0,
262,3,62,9,948,10,948,0,
263,3,63,9,958,10,958,0,
264,3,64,9,967,10,967,0,
265,3,65,9,977,10,977,0,
266,3,66,9,987,10,987,0,
267,3,67,9,997,10,997,0,
268,3,68,9,1007,10,1007,0,
269,3,69,9,1016,10,1016,0,
270,3,70,9,1026,10,1026,0,
271,3,71,9,1085,10,1085,0,
272,3,72,9,1096,10,1096,0,
273,3,73,9,1106,10,1106,0,
274,3,74,9,1117,10,1117,0,
275,3,75,9,1127,10,1127,0,
276,3,76,9,1138,10,1138,0,
277,3,77,9,1148,10,1148,0,
278,3,78,9,1159,10,1159,0,
279,3,79,9,1169,10,1169,0,
280,3,80,9,1180,10,1180,0,
281,3,81,9,1246,10,1246,0,
282,3,82,9,1257,10,1257,0,
283,3,83,9,1268,10,1268,0,
284,3,84,9,1280,10,1280,0,
285,3,85,9,1291,10,1291,0,
286,3,86,9,1302,10,1302,0,
287,3,87,9,1313,10,1313,0,
288,3,88,9,1324,10,1324,0,
289,3,89,9,1336,10,1336,0,
290,3,90,9,1347,10,1347,0,
291,3,91,9,1421,10,1421,0,
292,3,92,9,1433,10,1433,0,
293,3,93,9,1445,10,1445,0,
294,3,94,9,1457,10,1457,0,
295,3,95,9,1469,10,1469,0,
296,3,96,9,1481,10,1481,0,
297,3,97,9,1492,10,1492,0,
298,3,98,9,1504,10,1504,0,
299,3,99,9,1516,10,1516,0,
300,3,100,9,1528,10,1528,0,
301,4,1,1,1260,7,250,8,250
302,4,2,1,1280,7,254,8,254
303,4,3,1,1301,7,258,8,258
304,4,4,1,1321,7,262,8,262
305,4,5,1,1341,7,266,8,266
306,4,6,1,1361,7,270,8,270
307,4,7,1,1381,7,274,8,274
308,4,8,1,1401,7,278,8,278
309,4,9,1,1422,7,282,8,282
310,4,10,1,1442,7,286,8,286
311,4,11,1,1487,7,295,8,295
312,4,12,1,1510,7,300,8,300
313,4,13,1,1532,7,304,8,304
314,4,14,1,1555,7,309,8,309
315,4,15,1,1578,7,313,8,313
316,4,16,1,1600,7,318,8,318
317,4,17,1,1623,7,322,8,322
318,4,18,1,1646,7,327,8,327
319,4,19,1,1668,7,331,8,331
320,4,20,1,1691,7,336,8,336
321,4,21,1,1764,7,350,8,350
322,4,22,1,1789,7,355,8,355
323,4,23,1,1815,7,360,8,360
324,4,24,1,1840,7,365,8,365
325,4,25,1,1865,7,370,8,370
326,4,26,1,1890,7,375,8,375
327,4,27,1,1915,7,380,8,380
328,4,28,1,1941,7,385,8,385
329,4,29,1,1966,7,390,8,390
330,4,30,1,1991,7,395,8,395
331,4,31,1,2092,7,415,8,415
332,4,32,1,2120,7,421,8,421
333,4,33,1,2147,7,426,8,426
334,4,34,1,2175,7,432,8,432
335,4,35,1,2203,7,437,8,437
336,4,36,1,2230,7,443,8,443
337,4,37,1,2258,7,448,8,448
338,4,38,1,2286,7,454,8,454
339,4,39,1,2314,7,459,8,459
340,4,40,1,2341,7,465,8,465
341,4,41,1,2470,7,490,8,490
342,4,42,1,2500,7,496,8,496
343,4,43,1,2530,7,502,8,502
344,4,44,1,2561,7,508,8,508
345,4,45,1,2591,7,514,8,514
346,4,46,1,2621,7,520,8,520
347,4,47,1,2651,7,526,8,526
348,4,48,1,2682,7,532,8,532
349,4,49,1,2712,7,538,8,538
350,4,50,1,2742,7,544,8,544
351,4,51,1,2898,7,575,8,575
352,4,52,1,2931,7,582,8,582
353,4,53,1,2964,7,588,8,588
354,4,54,1,2997,7,595,8,595
355,4,55,1,3029,7,601,8,601
356,4,56,1,3062,7,608,8,608
357,4,57,1,3095,7,614,8,614
358,4,58,1,3128,7,621,8,621
359,4,59,1,3160,7,627,8,627
360,4,60,1,3193,7,634,8,634
361,4,61,1,3377,7,670,8,670
362,4,62,1,3412,7,677,8,677
363,4,63,1,3448,7,684,8,684
364,4,64,1,3483,7,691,8,691
365,4,65,1,3518,7,698,8,698
366,4,66,1,3553,7,705,8,705
367,4,67,1,3589,7,712,8,712
368,4,68,1,3624,7,719,8,719
369,4,69,1,3659,7,726,8,726
370,4,70,1,3695,7,733,8,733
371,4,71,1,3906,7,775,8,775
372,4,72,1,3944,7,783,8,783
373,4,73,1,3982,7,790,8,790
374,4,74,1,4020,7,798,8,798
375,4,75,1,4057,7,805,8,805
376,4,76,1,4095,7,813,8,813
377,4,77,1,4133,7,820,8,820
378,4,78,1,4171,7,828,8,828
379,4,79,1,4209,7,835,8,835
380,4,80,1,4246,7,843,8,843
381,4,81,1,4486,7,890,8,890
382,4,82,1,4526,7,898,8,898
383,4,83,1,4566,7,906,8,906
384,4,84,1,4607,7,914,8,914
385,4,85,1,4647,7,922,8,922
386,4,86,1,4687,7,930,8,930
387,4,87,1,4728,7,938,8,938
388,4,88,1,4768,7,946,8,946
389,4,89,1,4808,7,954,8,954
390,4,90,1,4849,7,962,8,962
391,4,91,1,5116,7,1015,8,1015
392,4,92,1,5159,7,1024,8,1024
393,4,93,1,5202,7,1032,8,1032
394,4,94,1,5244,7,1041,8,1041
395,4,95,1,5287,7,1049,8,1049
396,4,96,1,5330,7,1058,8,1058
397,4,97,1,5373,7,1066,8,1066
398,4,98,1,5416,7,1075,8,1075
399,4,99,1,5459,7,1083,8,1083
400,4,100,1,5501,7,1092,8,1092
401,5,1,9,350,10,350,0,
402,5,2,9,356,10,356,0,
403,5,3,9,361,10,361,0,
404,5,4,9,367,10,367,0,
405,5,5,9,372,10,372,0,
406,5,6,9,378,10,378,0,
407,5,7,9,384,10,384,0,
408,5,8,9,389,10,389,0,
409,5,9,9,395,10,395,0,
410,5,10,9,400,10,400,0,
411,5,11,9,413,10,413,0,
412,5,12,9,419,10,419,0,
413,5,13,9,426,10,426,0,
414,5,14,9,432,10,432,0,
415,5,15,9,438,10,438,0,
416,5,16,9,445,10,445,0,
417,5,17,9,451,10,451,0,
418,5,18,9,457,10,457,0,
419,5,19,9,463,10,463,0,
420,5,20,9,470,10,470,0,
421,5,21,9,490,10,490,0,
422,5,22,9,497,10,497,0,
423,5,23,9,504,10,504,0,
424,5,24,9,511,10,511,0,
425,5,25,9,518,10,518,0,
426,5,26,9,525,10,525,0,
427,5,27,9,532,10,532,0,
428,5,28,9,539,10,539,0,
429,5,29,9,546,10,546,0,
430,5,30,9,553,10,553,0,
431,5,31,9,581,10,581,0,
432,5,32,9,589,10,589,0,
433,5,33,9,596,10,596,0,
434,5,34,9,604,10,604,0,
435,5,35,9,612,10,612,0,
436,5,36,9,620,10,620,0,
437,5,37,9,627,10,627,0,
438,5,38,9,635,10,635,0,
439,5,39,9,643,10,643,0,
440,5,40,9,650,10,650,0,
441,5,41,9,686,10,686,0,
442,5,42,9,694,10,694,0,
443,5,43,9,703,10,703,0,
444,5,44,9,711,10,711,0,
445,5,45,9,720,10,720,0,
446,5,46,9,728,10,728,0,
447,5,47,9,736,10,736,0,
448,5,48,9,745,10,745,0,
449,5,49,9,753,10,753,0,
450,5,50,9,762,10,762,0,
451,5,51,9,805,10,805,0,
452,5,52,9,814,10,814,0,
453,5,53,9,823,10,823,0,
454,5,54,9,832,10,832,0,
455,5,55,9,841,10,841,0,
456,5,56,9,851,10,851,0,
457,5,57,9,860,10,860,0,
458,5,58,9,869,10,869,0,
459,5,59,9,878,10,878,0,
460,5,60,9,887,10,887,0,
461,5,61,9,938,10,938,0,
462,5,62,9,948,10,948,0,
463,5,63,9,958,10,958,0,
464,5,64,9,967,10,967,0,
465,5,65,9,977,10,977,0,
466,5,66,9,987,10,987,0,
467,5,67,9,997,10,997,0,
468,5,68,9,1007,10,1007,0,
469,5,69,9,1016,10,1016,0,
470,5,70,9,1026,10,1026,0,
471,5,71,9,1085,10,1085,0,
472,5,72,9,1096,10,1096,0,
473,5,73,9,1106,10,1106,0,
474,5,74,9,1117,10,1117,0,
475,5,75,9,1127,10,1127,0,
476,5,76,9,1138,10,1138,0,
477,5,77,9,1148,10,1148,0,
478,5,78,9,1159,10,1159,0,
479,5,79,9,1169,10,1169,0,
480,5,80,9,1180,10,1180,0,
481,5,81,9,1246,10,1246,0,
482,5,82,9,1257,10,1257,0,
483,5,83,9,1268,10,1268,0,
484,5,84,9,1280,10,1280,0,
485,5,85,9,1291,10,1291,0,
486,5,86,9,1302,10,1302,0,
487,5,87,9,1313,10,1313,0,
488,5,88,9,1324,10,1324,0,
489,5,89,9,1336,10,1336,0,
490,5,90,9,1347,10,1347,0,
491,5,91,9,1421,10,1421,0,
492,5,92,9,1433,10,1433,0,
493,5,93,9,1445,10,1445,0,
494,5,94,9,1457,10,1457,0,
495,5,95,9,1469,10,1469,0,
496,5,96,9,1481,10,1481,0,
497,5,97,9,1492,10,1492,0,
498,5,98,9,1504,10,1504,0,
499,5,99,9,1516,10,1516,0,
500,5,100,9,1528,10,1528,0,
501,6,1,1,1260,7,250,8,250
502,6,2,1,1280,7,254,8,254
503,6,3,1,1301,7,258,8,258
504,6,4,1,1321,7,262,8,262
505,6,5,1,1341,7,266,8,266
506,6,6,1,1361,7,270,8,270
507,6,7,1,1381,7,274,8,274
508,6,8,1,1401,7,278,8,278
509,6,9,1,1422,7,282,8,282
510,6,10,1,1442,7,286,8,286
511,6,11,1,1487,7,295,8,295
512,6,12,1,1510,7,300,8,300
513,6,13,1,1532,7,304,8,304
514,6,14,1,1555,7,309,8,309
515,6,15,1,1578,7,313,8,313
516,6,16,1,1600,7,318,8,318
517,6,17,1,1623,7,322,8,322
518,6,18,1,1646,7,327,8,327
519,6,19,1,1668,7,331,8,331
520,6,20,1,1691,7,336,8,336
521,6,21,1,1764,7,350,8,350
522,6,22,1,1789,7,355,8,355
523,6,23,1,1815,7,360,8,360
524,6,24,1,1840,7,365,8,365
