变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,<cn;en;tw;th;vn;kr;pt>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,vip等级限制,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
101,,{21901=2},{coin12=1200},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
102,,{23001=2},{coin12=1200},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
103,,{23141=2},{coin12=800},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
104,,{23411=2},{coin12=800},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
111,,{21901=2},{coin12=1500},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
112,,{23001=2},{coin12=1500},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
113,,{23141=2},{coin12=1000},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
114,,{23411=2},{coin12=1000},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
201,,{21901=2},{coin12=1200},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
211,,{23001=2},{coin12=1200},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
221,,{22231=2},{coin12=1200},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
231,,{23141=2},{coin12=800},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
241,,{23411=2},{coin12=800},-1,0,0,20990101,0,<210;210>,0,0,FALSE,
600,,{15=2},{coin12=200},-1,0,0,20990101,0,<1;210>,0,0,FALSE,
610,,{514=30},{coin12=500},-1,0,0,20990101,0,<1;210>,0,0,FALSE,
620,,{5000=40},{coin12=1000},-1,0,0,20990101,0,<1;210>,0,0,FALSE,
630,,{529=100},{coin12=300},-1,0,0,20990101,0,<1;210>,0,0,FALSE,
1001,,{992=1},{coin12=3600},-1,0,0,20990101,0,<210;210>,3,2,FALSE,
1002,,{993=1},{coin12=10000},-1,0,0,20990101,0,<210;210>,3,1,FALSE,
1101,,{2208=1},{coin12=24000},-1,0,0,20990101,0,<1;210>,4,1,FALSE,
