变量名,_beizhu,rankMax,award
默认值,,,{}
ID,备注,名次内,排行奖励
1,,1,{gold=2000000;rmb=1500;521=10;535=4000}
2,,2,{gold=1800000;rmb=1400;521=8;535=3600}
3,,3,{gold=1600000;rmb=1300;521=6;535=3200}
4,,4,{gold=1400000;rmb=1200;521=4;535=2800}
5,,8,{gold=1200000;rmb=1100;521=2;535=2400}
6,,16,{gold=1100000;rmb=1000;535=2200}
7,,32,{gold=1000000;rmb=900;535=2000}
8,,64,{gold=900000;rmb=800;535=1800}
9,,100,{gold=800000;rmb=700;535=1600}
10,,200,{gold=700000;rmb=600;535=1400}
11,,300,{gold=600000;rmb=500;535=1200}
12,,500,{gold=550000;rmb=400;535=1100}
13,,1000,{gold=500000;rmb=300;535=1000}
14,,2000,{gold=450000;rmb=200;535=900}
15,,99999,{gold=400000;rmb=100;535=800}
