变量名,unitID,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,group,weight,speed,stamina,staminaCost,staminaRecovery,sprintRandom,sprintInterval,sprintMultiple,sprintTime
默认值,0,"""""","""""","""""","""""","""""","""""","""""",0,100,50,100.1,10.5,10.5,10,2,1.5,1
ID,选手ID,描述,描述,描述,描述,描述,描述,描述,选手组,选手随机权重,初始速度(1s),体力,体力每0.1秒消耗,体力每0.1秒回复,冲刺概率（0-100）,冲刺每0.1秒随机一次,冲刺影响速度倍数,冲刺维持时长(多少个0.1s)
,,,,,,,,,,,,,,,,,,
1,721,急冻鸟,急凍鳥,Articuno,Articuno,프리져,Articuno,อาร์ติคูโน่,1,,500,150,1.5,1,38,12,,18
2,741,火焰鸟,火焰鳥,Moltres,Moltres,파이어,Moltres,มอลเตรส,1,,560,145,1.5,1,35,14,,16
3,731,闪电鸟,閃電鳥,Zapdos,Zapdos,썬더,Zapdos,แซปดอส,1,,590,140,1.5,1,32,15,,15
4,753,快龙,快龍,Dragonite,Dragonite,망나뇽,Dragonite,ดราก้อนไนต์,1,,630,135,1.5,1,30,16,,14
5,1893,暴飞龙,暴飛龍,Salamence,Salamence,보만다,Salamência,ซาลาเมนซ์,2,,500,150,1.5,1,38,12,,18
6,863,波克基思,波克基斯,Togekiss,Togekiss,토게키스,Togekiss,โทเกะคิส,2,,560,145,1.5,1,35,14,,16
7,1951,拉帝欧斯,拉帝歐斯,Latios,Latios,라티오스,Latios,ลาติโอส,2,,590,140,1.5,1,32,15,,15
8,1941,拉帝亚斯,拉帝亞斯,Latias,Latias,라티아스,Latias,ลาเทียส,2,,630,135,1.5,1,30,16,,14
9,2401,克雷色利亚,克雷色利亞,Cresselia,Cresselia,크레세리아,Cressélia,เครสเซเลีย,3,,425,150,1.5,1,38,12,,18
10,1395,沙奈朵,沙奈朵,Gardevoir,Gardevoir,가디안,Guarda-roupa,การ์เดวัวร์,3,,481,145,1.5,1,35,14,,16
11,2843,哥德小姐,哥德小姐,Gothitelle,Gothitelle,고디모아젤,Gothitelle,โกธิเทล,3,,502,140,1.5,1,32,15,,15
12,2993,水晶灯火灵,水晶燈火靈,Chandelure,Chandelure,샹델라,Lustre,ชานเดอลูร์,3,,536,135,1.5,1,30,16,,14
13,1261,洛奇亚,洛奇亞,Lugia,Lugia,루기아,Lugia,ลูเกีย,4,,598,150,1.5,1,38,12,,18
14,1271,凤王,鳳王,Ho-Oh,Ho-Oh,칠색조,Ho-Oh,โฮโอ้,4,,672,145,1.5,1,35,14,,16
15,1961,盖欧卡,蓋歐卡,Kyogre,Kyogre,가이오가,Kyogre,ไคโอเกร,4,,708,140,1.5,1,32,15,,15
16,1971,固拉多,固拉多,Groudon,Groudon,그란돈,Groudon,กราวดอน,4,,756,135,1.5,1,30,16,,14
17,242,风速狗,風速狗,Arcanine,Arcanine,윈디,Arcanina,อาร์คานีน,5,,500,150,1.5,1,38,12,,18
18,1171,戴鲁比,戴魯比,Houndour,Houndour,델빌,Honra,ฮาวน์ดัวร์,5,,560,145,1.5,1,35,14,,16
19,1841,阿勃梭鲁,阿勃梭魯,Absol,Absol,앱솔,Absol,แอบโซล,5,,590,140,1.5,1,32,15,,15
20,2242,路卡利欧,路卡利歐,Lucario,Lucario,루카리오,Lucário,ลูคาริโอ,5,,630,135,1.5,1,30,16,,14
21,23,水箭龟,水箭龜,Blastoise,Blastoise,거북왕,Blastoise,บลาสต์,6,,425,150,1.5,1,38,12,,18
22,641,拉普拉斯,拉普拉斯,Lapras,Lapras,라프라스,Lapras,ลาปราส,6,,481,145,1.5,1,35,14,,16
23,2033,帝王拿波,帝王拿波,Empoleon,Empoleon,엠페르트,Empoleão,เอ็มโปเลียน,6,,502,140,1.5,1,32,15,,15
24,803,大力鳄,大力鱷,Feraligatr,Feraligatr,장크로다일,Feraligatr,เฟราลิกาเตอร์,6,,536,135,1.5,1,30,16,,14
25,1313,巨沼怪,巨沼怪,Swampert,Swampert,대짱이,Swampert,สวอมเพิร์ต,7,,425,150,1.5,1,38,12,,18
26,552,宝石海星,寶石海星,Starmie,Starmie,아쿠스타,Estrela,สตาร์มี่,7,,481,145,1.5,1,35,14,,16
27,3772,超坏星,超壞星,Toxapex,Toxapex,더시마사리,Toxapex,ทอกซาเพ็กซ์,7,,502,140,1.5,1,32,15,,15
28,3303,甲贺忍蛙,甲賀忍蛙,Greninja,Greninja,개굴닌자,Greninja,เกรนินจา,7,,536,135,1.5,1,30,16,,14
29,2822,索罗亚克,索羅亞克,Zoroark,Zoroark,조로아크,Zoroark,โซโรอาร์ค,8,,500,150,1.5,1,38,12,,18
30,2432,达克莱伊,達克萊伊,Darkrai,Darkrai,다크라이,Darkrai,ดาร์กไร,8,,560,145,1.5,1,35,14,,16
31,2723,流氓鳄,流氓鱷,Krookodile,Krookodile,악비아르,Krookodile,ครูโคไดล์,8,,590,140,1.5,1,32,15,,15
32,1082,玛狃拉,瑪狃拉,Weavile,Weavile,포푸니라,Weavile,วีวิล,8,,630,135,1.5,1,30,16,,14
33,131,皮宝宝,皮寶寶,Cleffa,Cleffa,삐,Cleffa,เคลฟฟา,9,,375,150,1.5,1,38,12,,18
34,151,宝宝丁,寶寶丁,Igglybuff,Igglybuff,푸푸린,Igglybuff,อิ๊กลี่บัฟ,9,,420,145,1.5,1,35,14,,16
35,3431,绵绵泡芙,綿綿泡芙,Swirlix,Swirlix,나룸퍼프,Redemoinho,สเวิร์ลลิกซ์,9,,443,140,1.5,1,32,15,,15
36,471,大舌头,大舌頭,Lickitung,Lickitung,내루미,Lambendo,ลิคกิทุง,9,,473,135,1.5,1,30,16,,14
37,1253,班吉拉斯,班基拉斯,Tyranitar,Tyranitar,마기라스,Tiranitar,ไทรันนิต้า,10,,375,150,1.5,1,38,12,,18
38,1503,波士可多拉,波士可朵拉,Aggron,Aggron,보스로라,Agressão,อักรอน,10,,420,145,1.5,1,35,14,,16
39,712,卡比兽,卡比獸,Snorlax,Snorlax,잠만보,Snorlax,สนอร์แลกซ์,10,,443,140,1.5,1,32,15,,15
40,1423,请假王,請假王,Slaking,Slaking,게을킹,Apagando,การสลัด,10,,473,135,1.5,1,30,16,,14
41,2442,谢米·天空,謝米·天空形態,Shaymin - Sky,Shaymin - Sky,404404,Shaymin - Céu,เชมิน - สกาย,11,,598,150,1.5,1,38,12,,18
42,3211,莱希拉姆,萊希拉姆,Reshiram,Reshiram,레시라무,Reshiram,เรชิรัม,11,,672,145,1.5,1,35,14,,16
43,3221,捷克罗姆,捷克羅姆,Zekrom,Zekrom,제크로무,Zekrom,เซโครม,11,,708,140,1.5,1,32,15,,15
44,3241,酋雷姆,酋雷姆,Kyurem,Kyurem,큐레무,Kyurem,คิวเรม,11,,756,135,1.5,1,30,16,,14
45,1221,雷公,雷公,Raikou,Raikou,라이코,Raikou,ไรโค,12,,500,150,1.5,1,38,12,,18
46,1231,炎帝,炎帝,Entei,Entei,앤테이,Entei,เอ็นเทอิ,12,,560,145,1.5,1,35,14,,16
47,1241,水君,水君,Suicune,Suicune,스이쿤,Suicune,ซุยคูน,12,,590,140,1.5,1,32,15,,15
48,7001,小智版皮卡丘,小智版皮卡丘,Pikachu de Ash,Pikachu de Ash,Pikachu de Ash,Pikachu de Ash,ปิกาจูของแอช,12,,630,135,1.5,1,30,16,,14
49,1911,雷吉洛克,雷吉洛克,Regirock,Regirock,레지락,Regirock,เรจิร็อค,13,,500,150,1.5,1,38,12,,18
50,1921,雷吉艾斯,雷吉艾斯,Regice,Regice,레지아이스,Regice,เรจิซ,13,,560,145,1.5,1,35,14,,16
51,1931,雷吉斯奇鲁,雷吉斯奇魯,Registeel,Registeel,레지스틸,Registeel,เรจิสตีล,13,,590,140,1.5,1,32,15,,15
52,2381,雷吉奇卡斯,雷吉奇卡斯,Regigigas,Regigigas,레지기가스,Regigigas,เรจิกิกัส,13,,630,135,1.5,1,30,16,,14
53,9001,百变怪·紫色,百變怪·紫色,Ditto - Purple,Ditto - Purple,메타몽: 보라색,Idem - Roxo,ดิทโต้ - สีม่วง,14,,375,150,1.5,1,38,12,,18
54,9002,百变怪·橙色,百變怪·橙色,Ditto - Orange,Ditto - Orange,메타몽: 주황색,Idem - Laranja,เช่นเดียวกัน - ส้ม,14,,420,145,1.5,1,35,14,,16
55,9003,百变怪·红色,百變怪·紅色,Ditto - Red,Ditto - Red,메타몽: 빨간색,Idem - Vermelho,เช่นเดียวกัน - สีแดง,14,,443,140,1.5,1,32,15,,15
56,221,可达鸭,可達鴨,Psyduck,Psyduck,고라파덕,Pato Psíquico,ไซดั๊ก,14,,473,135,1.5,1,30,16,,14
57,1982,超级裂空座,超級裂空座,Mega Rayquaza,Mega Rayquaza,메가레쿠쟈,Mega Rayquaza,เมก้าเรย์ควาซ่า,15,,598,150,1.5,1,38,12,,18
58,2351,帝牙卢卡,帝牙盧卡,Dialga,Dialga,디아루가,Dialga,เดียลกา,15,,672,145,1.5,1,35,14,,16
59,2361,帕路奇亚,帕路奇亞,Palkia,Palkia,펄기아,Palkia,ปาลเกีย,15,,708,140,1.5,1,32,15,,15
60,2391,骑拉帝纳,騎拉帝納,Giratina,Giratina,기라티나,Giratina,จิราติน่า,15,,756,135,1.5,1,30,16,,14
