变量名,_beizhu,attrType1,attrFix1,attrType2,attrFix2,attrType3,attrFix3,attrType4,attrFix4,attrType5,attrFix5,attrType6,attrFix6
默认值,,1,1,7,1,8,1,9,1,10,1,13,1
ID,备注,修正属性类型1,修正属性数值1,修正属性类型2,修正属性数值2,属性类型3,修正属性数值3,属性类型4,修正属性数值4,属性类型5,修正属性数值5,属性类型5,修正属性数值5
761,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
1261,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
1271,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
1281,,1,0.8,7,0.8,8,0.8,9,0.8,10,0.8,13,0.8
1961,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
1971,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
1972,,1,0.8,7,0.8,8,0.8,9,0.8,10,0.8,13,0.8
1981,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
1982,,1,0.8,7,0.8,8,0.8,9,0.8,10,0.8,13,0.8
1991,,1,0.8,7,0.8,8,0.8,9,0.8,10,0.8,13,0.8
2351,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
2361,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
2381,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
2391,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
2431,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
2441,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
2442,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
3211,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
3221,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
3241,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
3261,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
3262,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
3271,,1,0.8,7,0.8,8,0.8,9,0.8,10,0.8,13,0.8
3601,,1,0.8,7,0.8,8,0.8,9,0.8,10,0.8,13,0.8
3611,,1,0.8,7,0.8,8,0.8,9,0.8,10,0.8,13,0.8
3631,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
3641,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
3642,,1,0.9,7,0.9,8,0.9,9,0.9,10,0.9,13,0.9
4161,,1,0.8,7,0.8,8,0.8,9,0.8,10,0.8,13,0.8
4171,,1,0.8,7,0.8,8,0.8,9,0.8,10,0.8,13,0.8
4172,,1,0.8,7,0.8,8,0.8,9,0.8,10,0.8,13,0.8
