变量名,rank,award,score,version
默认值,,{},0,0
ID,名次内,排行奖励,积分奖励,奖励版本
1,1,{14=20;coin13=12000;gold=150000},5000,1
2,2,{14=16;coin13=10000;gold=125000},4000,1
3,3,{14=12;coin13=8000;gold=100000},3000,1
4,6,{14=10;coin13=7000;gold=90000},2000,1
5,10,{14=8;coin13=6000;gold=80000},1000,1
6,30,{14=6;coin13=5000;gold=70000},0,1
7,99999,{14=4;coin13=4000;gold=60000},0,1
101,1,{14=30;coin13=18000;gold=225000},7500,2
102,2,{14=24;coin13=15000;gold=187500},6000,2
103,3,{14=18;coin13=12000;gold=150000},4500,2
104,6,{14=15;coin13=10500;gold=135000},3000,2
105,10,{14=12;coin13=9000;gold=120000},1500,2
106,30,{14=9;coin13=7500;gold=105000},0,2
107,99999,{14=6;coin13=6000;gold=90000},0,2
201,1,{14=50;coin13=30000;gold=375000},10000,3
202,2,{14=40;coin13=25000;gold=312500},8000,3
203,3,{14=30;coin13=20000;gold=250000},6000,3
204,6,{14=25;coin13=17500;gold=225000},4000,3
205,10,{14=20;coin13=15000;gold=200000},2000,3
206,30,{14=15;coin13=12500;gold=175000},0,3
207,99999,{14=10;coin13=10000;gold=150000},0,3
