变量名,type,_beizhu,battleTimes,cure,damage,specialDamage,hpMax,defence,specialDefence,mp1Recover
默认值,1,,1,-1,-1,-1,-1,-1,-1,-1
ID,战场类型(1=常规 2=车轮 3=单挑),进入战斗次数同ID,实际战斗次数,治疗率修正,物攻修正,特攻修正,血量修正,物防修正,特防修正,回怒速度修正
1,1,,1,1,1.2,1.2,1,1,1,1
2,1,,2,1,1,1,1,0.9,0.9,1
3,1,,3,0.9,0.9,0.9,0.9,0.8,0.8,0.9
4,1,,4,0.8,0.8,0.8,0.8,0.7,0.7,0.8
5,1,,5,0.7,0.7,0.7,0.7,0.6,0.6,0.7
6,1,,6,0.6,0.6,0.6,0.6,0.45,0.45,0.6
7,1,,7,0.45,0.5,0.5,0.45,0.3,0.3,0.45
8,1,,8,0.3,0.5,0.5,0.3,0.2,0.2,0.3
9,1,,9,0.2,0.4,0.4,0.2,0.1,0.1,0.2
10,1,,10,0.1,0.4,0.4,0.1,0.1,0.1,0.1
11,2,,1,1,1.2,1.2,1,1,1,1
12,2,,2,1,1,1,1,0.9,0.9,1
13,2,,3,0.9,0.9,0.9,0.9,0.8,0.8,0.9
14,2,,4,0.8,0.8,0.8,0.8,0.7,0.7,0.8
15,2,,5,0.7,0.7,0.7,0.7,0.6,0.6,0.7
16,2,,6,0.6,0.6,0.6,0.6,0.45,0.45,0.6
17,2,,7,0.45,0.5,0.5,0.45,0.3,0.3,0.45
18,2,,8,0.3,0.5,0.5,0.3,0.2,0.2,0.3
19,2,,9,0.2,0.4,0.4,0.2,0.1,0.1,0.2
20,2,,10,0.1,0.4,0.4,0.1,0.1,0.1,0.1
21,3,,1,1,1.2,1.2,1,1,1,1
22,3,,2,1,1,1,1,0.9,0.9,1
23,3,,3,0.9,0.9,0.9,0.9,0.8,0.8,0.9
24,3,,4,0.8,0.8,0.8,0.8,0.7,0.7,0.8
25,3,,5,0.7,0.7,0.7,0.7,0.6,0.6,0.7
26,3,,6,0.6,0.6,0.6,0.6,0.45,0.45,0.6
27,3,,7,0.45,0.5,0.5,0.45,0.3,0.3,0.45
28,3,,8,0.3,0.5,0.5,0.3,0.2,0.2,0.3
29,3,,9,0.2,0.4,0.4,0.2,0.1,0.1,0.2
30,3,,10,0.1,0.4,0.4,0.1,0.1,0.1,0.1
